"amendment_version","stage","analysis_variant","outcome","response_column","comparison","estimate","standard_error","conf_low","conf_high","p_value","q_value_bh_3_outcomes","effect_scale","multiplicative_effect","multiplicative_conf_low","multiplicative_conf_high","additive_observer_effect","n","status"
"post_stage4a_staged_refit_amendment_v1","s1_anchor_amendment","real_start_anchor","log_duration_minutes","log_duration","active_minus_pre14",0.0112510507692824,0.00534563536190762,0.000773797985459717,0.021728303553105,0.0353159310880331,0.105947793264099,"log_ratio",1.01131458188135,1.00077409744436,1.02196608219341,,217200,"completed"
"post_stage4a_staged_refit_amendment_v1","s1_anchor_amendment","real_start_anchor","log_effort_distance_plus_one","log_effort_distance","active_minus_pre14",-0.00234191747788871,0.00249192405255044,-0.00722599887309668,0.00254216391731925,0.347318665525588,0.406596856572612,"log_ratio",0.997660822671363,0.99280004588587,1.00254539795592,,217200,"completed"
"post_stage4a_staged_refit_amendment_v1","s1_anchor_amendment","real_start_anchor","number_observers","observer_count","active_minus_pre14",-0.00498993117118628,0.00601270931271015,-0.0167746248736068,0.0067947625312342,0.406596856572612,0.406596856572612,"additive_observers",,,,-0.00498993117118628,217200,"completed"
