"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","engine","n","converged","singular_fit","rank_deficient","convergence_message","maximum_absolute_gradient","event_block_variance","observer_variance","location_variance","residual_variance","status","analysis_variant"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_35707a9578d5","Pelagic Cormorant","core_species","conditional_positive_numeric_count","lme4_lmer_REML",18881,TRUE,FALSE,FALSE,"",0.00149553670780733,0.0218798548464125,0.0997353267564959,0.256513683409886,0.595081706746998,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_40f730f5ad72","Long-tailed Duck","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.6277357125327,0.994152517295455,11.0152193031131,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_40f730f5ad72","Long-tailed Duck","core_species","conditional_positive_numeric_count","lme4_lmer_REML",2946,TRUE,FALSE,FALSE,"",0.00073613591666799,0.170902633898942,0.13436503433776,0.499682939283307,1.31940897509605,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_4ae57d328ec6","Greater Scaup","core_species","checklist_reporting","lme4_glmer_nAGQ0",216227,TRUE,FALSE,FALSE,"",,0.347478489084446,0.728396128572686,6.50270577204631,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_4ae57d328ec6","Greater Scaup","core_species","conditional_positive_numeric_count","lme4_lmer_REML",4514,TRUE,FALSE,FALSE,"",0.00194920175999869,0.162756044183317,0.196678625730046,0.901699447978651,1.58364262171567,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_59441ff7abde","Brant","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,2.26984399241947,0.357750637705507,10.5281062974157,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_59441ff7abde","Brant","core_species","conditional_positive_numeric_count","lme4_lmer_REML",3796,TRUE,FALSE,FALSE,"",0.0089207424025517,0.21146353496622,0.123732948042311,0.639076393766387,1.77203208094609,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_5a9a3495d0ea","Western Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",216824,TRUE,FALSE,FALSE,"",,1.38529131469776,1.21281520505824,8.01067676619131,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_5a9a3495d0ea","Western Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",712,TRUE,TRUE,FALSE,"boundary (singular) fit: see help('isSingular')",7.38327798899263e-05,0,0.0618226555844383,0.0016367372740295,0.0749124566745295,"completed_with_singular_warning","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_6b4cfd1ab927","Horned Grebe","core_species","checklist_reporting","lme4_glmer_nAGQ0",217142,TRUE,FALSE,FALSE,"",,2.95646888838393,0.898599237439843,10.4353427922036,,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_6b4cfd1ab927","Horned Grebe","core_species","conditional_positive_numeric_count","lme4_lmer_REML",13054,TRUE,FALSE,FALSE,"",0.00247548086917959,0.0163532908809313,0.117760627255046,0.19373120504847,0.593766225543762,"completed","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_6cbe5bbd310c","Rhinoceros Auklet","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.96685120338063,1.19811701742749,14.7405938541579,,"completed","long_span_event_excluded"
