"analysis_variant","analysis_taxon_id","species","outcome","real_estimate","variant_estimate","estimate_delta","real_q_value","variant_q_value","changed_direction","changed_bh_significance","real_status","variant_status"
"long_span_event_excluded","atx_6b4cfd1ab927","Horned Grebe","checklist_reporting",-0.0651785928173614,-0.0660969922359673,-0.0009183994186059,0.187559165616422,0.17828493934546,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_6b4cfd1ab927","Horned Grebe","conditional_positive_numeric_count",0.02314426524402,0.023474649692717,0.000330384448696992,0.440825368380463,0.430841991455199,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_6cbe5bbd310c","Rhinoceros Auklet","checklist_reporting",-0.278007626177219,-0.278284187001261,-0.000276560824041594,0.13182267402822,0.131504942483844,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_6cbe5bbd310c","Rhinoceros Auklet","conditional_positive_numeric_count",,,,,,,,"failed_insufficient_support","failed_insufficient_support"
"long_span_event_excluded","atx_725074cbfcb6","Glaucous-winged Gull","checklist_reporting",0.125309783891051,0.124498428870532,-0.000811355020519142,7.04795786676474e-05,8.07163660991034e-05,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_725074cbfcb6","Glaucous-winged Gull","conditional_positive_numeric_count",0.179188111159659,0.179287516639123,9.94054794637711e-05,1.37962914008105e-30,1.29626339968189e-30,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_7571c026ae99","American Herring Gull","checklist_reporting",0.355026953077971,0.354916230242049,-0.000110722835921562,1.42567577264538e-07,1.4397872648271e-07,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_7571c026ae99","American Herring Gull","conditional_positive_numeric_count",0.0680025081159775,0.0680025081173764,1.39890876660331e-12,0.173061110160588,0.173061110147962,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_7b80ddaff058","Great Blue Heron","checklist_reporting",0.00571400073722803,0.00496390810335609,-0.000750092633871939,0.90805059398875,0.931741450884289,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_7b80ddaff058","Great Blue Heron","conditional_positive_numeric_count",0.013190131050937,0.0126222902760103,-0.000567840774926717,0.478534903653249,0.493264207022899,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_7d980a7c8c37","Northern Pintail","checklist_reporting",0.159721542666788,0.158743430828349,-0.000978111838438989,0.00301641261693581,0.00326832099740632,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_7d980a7c8c37","Northern Pintail","conditional_positive_numeric_count",0.0787997114752725,0.0793168158618208,0.000517104386548284,0.114640680463806,0.111476981957804,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_815c98107028","Mallard","checklist_reporting",0.0172900498479785,0.0176221243870752,0.000332074539096696,0.777384522056635,0.766072077466345,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_815c98107028","Mallard","conditional_positive_numeric_count",0.0680899275427716,0.0682081106686106,0.000118183125839,2.53054176996357e-05,2.44738898919136e-05,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_82312e6f2848","Common Goldeneye","checklist_reporting",0.00608051067354237,0.00500279216307064,-0.00107771851047173,0.90805059398875,0.931741450884289,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_82312e6f2848","Common Goldeneye","conditional_positive_numeric_count",0.181955949182746,0.182215939688704,0.000259990505957597,4.94843116837402e-17,4.52975763196978e-17,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_8608f2ed61cf","Pigeon Guillemot","checklist_reporting",-0.0182024176074577,-0.0182783669332315,-7.5949325773754e-05,0.90805059398875,0.925191445621143,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_8608f2ed61cf","Pigeon Guillemot","conditional_positive_numeric_count",0.0132710505557505,0.0134424015477655,0.000171350992015037,0.793531032670205,0.790102957108639,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_86eda7ed9025","Red-necked Grebe","checklist_reporting",0.060900819220703,0.0609369963313991,3.61771106960757e-05,0.308523778955522,0.316588282293772,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_86eda7ed9025","Red-necked Grebe","conditional_positive_numeric_count",0.0289570183208736,0.0289570182858733,-3.50003220850326e-11,0.481845956582565,0.493264207022899,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_87b306550dba","Harlequin Duck","checklist_reporting",0.141310764503657,0.140336689211882,-0.000974075291775262,0.013348946849282,0.0142622054127796,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_87b306550dba","Harlequin Duck","conditional_positive_numeric_count",0.192218124413856,0.192373398620408,0.000155274206552175,2.28386682884792e-15,2.1532979959815e-15,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_98ca0000b734","Brandt's Cormorant","checklist_reporting",0.0161062257600517,0.0157993014851504,-0.000306924274901269,0.90805059398875,0.931741450884289,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_98ca0000b734","Brandt's Cormorant","conditional_positive_numeric_count",0.0459951083641969,0.0462562153511907,0.000261106986993762,0.639477626605093,0.63947762663931,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_99238953638b","Bufflehead","checklist_reporting",-0.061701002989512,-0.0623476611802435,-0.000646658190731543,0.0865874217167362,0.0818643321240203,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_99238953638b","Bufflehead","conditional_positive_numeric_count",0.112836941064109,0.113034183863714,0.000197242799605188,2.39896375016722e-15,2.1532979959815e-15,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_9ae1aa9b7fdf","Common Loon","checklist_reporting",-0.0633617454694581,-0.0643105769432751,-0.000948831473816997,0.193631090063235,0.183701040074414,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_9ae1aa9b7fdf","Common Loon","conditional_positive_numeric_count",0.0562060134282531,0.0563116400151417,0.000105626586888598,0.00653237926033317,0.0064125479210003,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_a113baee5693","American Wigeon","checklist_reporting",0.0950066288449567,0.0942018824382541,-0.000804746406702569,0.00752501110916733,0.00826245745677126,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_a113baee5693","American Wigeon","conditional_positive_numeric_count",0.0659568797337884,0.0665895824179859,0.000632702684197475,0.0124543119611823,0.012041027535659,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_a444854c6b66","Double-crested Cormorant","checklist_reporting",0.00970225029941918,0.00952611267003924,-0.000176137629379939,0.90805059398875,0.925191445621143,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_a444854c6b66","Double-crested Cormorant","conditional_positive_numeric_count",0.096547411382747,0.0966377364415269,9.03250587798582e-05,5.47772524931234e-05,5.41923985214251e-05,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_aa5353f6d6d2","Iceland Gull","checklist_reporting",0.2813774471632,0.281386064694803,8.61753160324996e-06,2.5141811465937e-08,2.51214165798669e-08,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_aa5353f6d6d2","Iceland Gull","conditional_positive_numeric_count",0.204900714755,0.204900714750919,-4.08115208294646e-12,0.000301733916150504,0.000301733916219993,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_acf526bb8010","Marbled Murrelet","checklist_reporting",-0.0432686787482038,-0.0379854346745513,0.00528324407365254,0.90805059398875,0.925191445621143,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_acf526bb8010","Marbled Murrelet","conditional_positive_numeric_count",0.0716657064148049,0.0687963860311846,-0.00286932038362027,0.478534903653249,0.493264207022899,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_b3d3ea90f9cb","Canada Goose","checklist_reporting",-0.00669366639738695,-0.00686212257335994,-0.000168456175972992,0.90805059398875,0.925191445621143,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_b3d3ea90f9cb","Canada Goose","conditional_positive_numeric_count",0.0420486777835096,0.0423566773788213,0.000307999595311699,0.0578807347671999,0.0555388978323009,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_c12b832d2b03","California Gull","checklist_reporting",0.291290272374968,0.291076104594673,-0.000214167780295038,9.67337109599651e-11,1.00703123447493e-10,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_c12b832d2b03","California Gull","conditional_positive_numeric_count",0.177957952810347,0.178023933845195,6.59810348480061e-05,6.18851315128324e-05,6.14237594865396e-05,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_c2d1fbbaf6d3","Red-breasted Merganser","checklist_reporting",-0.0206398709172058,-0.0204468828441917,0.000192988073014124,0.83706674637863,0.841966475758913,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_c2d1fbbaf6d3","Red-breasted Merganser","conditional_positive_numeric_count",0.129960228250887,0.129828860162732,-0.000131368088155143,1.90222175679277e-05,1.94559738445843e-05,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_c34f23342a55","Pacific Loon","checklist_reporting",-0.0816585174202203,-0.0816639493111219,-5.43189090156104e-06,0.219489215456277,0.219449521345706,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_c34f23342a55","Pacific Loon","conditional_positive_numeric_count",0.155059550248253,0.155059550469981,2.2172758074035e-10,0.0138126616771523,0.0138126615418556,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_c9db024faf12","American Crow","checklist_reporting",0.0343751077928536,0.0339718240144104,-0.000403283778443203,0.28226231123441,0.29096248069139,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_c9db024faf12","American Crow","conditional_positive_numeric_count",0.0108656549037497,0.0107335848907125,-0.00013207001303718,0.487393473305239,0.495140369175101,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_d002764a39e8","Lesser Scaup","checklist_reporting",0.257838357682109,0.257709248585676,-0.000129109096432767,0.000468197696598626,0.000471955275222083,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_d002764a39e8","Lesser Scaup","conditional_positive_numeric_count",0.0350949747644242,0.0350319343698159,-6.30403946082769e-05,0.66151572149065,0.662347793829005,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_d7dd9536145c","Barrow's Goldeneye","checklist_reporting",0.0396386488781012,0.0373107198729063,-0.00232792900519491,0.518542648360724,0.562504911233161,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_d7dd9536145c","Barrow's Goldeneye","conditional_positive_numeric_count",0.0445212906845442,0.0468189984028067,0.0022977077182625,0.421022011698159,0.397154522690126,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_e0e678a61ad7","Short-billed Gull","checklist_reporting",0.240304570698171,0.239279380311441,-0.00102519038673041,2.70191568459478e-11,3.39976077907801e-11,FALSE,FALSE,"completed","completed"
"long_span_event_excluded","atx_e0e678a61ad7","Short-billed Gull","conditional_positive_numeric_count",0.275251859389461,0.275529918384301,0.000278058994840069,1.61527221031249e-20,1.48856503029732e-20,FALSE,FALSE,"completed","completed"
