"offset_days","outcome","positive_bh_q_lt_0_05","negative_bh_q_lt_0_05","estimable_species","real_start_anchor_positive_bh","positive_tally_fraction_of_real","analysis_variant"
,"checklist_reporting",14,1,48,14,1,"long_span_event_excluded"
,"conditional_positive_numeric_count",19,0,46,19,1,"long_span_event_excluded"
