"stage","analysis_taxon_id","species","outcome","comparison","parent_estimate","s1_estimate","estimate_delta","parent_standard_error","s1_standard_error","parent_ratio","s1_ratio","parent_q_value","s1_q_value","parent_status","s1_status","changed_direction","changed_bh_significance"
"s1_anchor","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","active_minus_pre14",0.0204389407246026,0.00290798122032899,-0.0175309595042736,0.0378551599404455,0.0374379205348639,1.02064924623713,1.00291221349919,0.744314368058393,0.938086777815919,"completed","completed",FALSE,FALSE
"s1_anchor","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","active_minus_pre14",0.0190583583400087,0.0251627213132282,0.00610436297321954,0.0198704051428351,0.0194703678200811,1.01924112810213,1.02548197472231,0.500794317612144,0.334322139143871,"completed","completed",FALSE,FALSE
"s1_anchor","atx_04cf65098f13","Red-throated Loon","checklist_reporting","active_minus_pre14",-0.00129015980844558,-0.0288065524640403,-0.0275163926555947,0.139083614428681,0.140520651591914,0.998710672089921,0.971604400765367,0.992598813068013,0.90805059398875,"completed","completed",FALSE,FALSE
"s1_anchor","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","active_minus_pre14",0.0438395787883444,0.0759112104869748,0.0320716316986304,0.0945672359381801,0.0914562818732119,1.04481473099849,1.07886677784867,0.771927823788218,0.519446502904035,"completed","completed",FALSE,FALSE
"s1_anchor","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","active_minus_pre14",-0.0326890335453941,-0.0151217761297563,0.0175672574156378,0.066050758322716,0.0630147516219132,0.967839478410006,0.984991983787707,0.744798270375646,0.90805059398875,"completed","completed",FALSE,FALSE
"s1_anchor","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","active_minus_pre14",0.0272248294295547,-0.037416365697092,-0.0646411951266467,0.0647336245527855,0.0593290849463224,1.02759881124831,0.963274977183233,0.775181948538418,0.639477626605093,"completed","completed",TRUE,FALSE
"s1_anchor","atx_1328b44be502","Black Scoter","checklist_reporting","active_minus_pre14",0.126173044820064,0.128041816650545,0.00186877183048098,0.0661257063169389,0.068095482202043,1.13447846692048,1.13660053053052,0.142436358995875,0.13961964549622,"completed","completed",FALSE,FALSE
"s1_anchor","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","active_minus_pre14",0.011957946660692,0.0336952103503146,0.0217372636896226,0.0679416302227821,0.069850013531563,1.01202972874161,1.03426932409815,0.87940898823518,0.706297750912106,"completed","completed",FALSE,FALSE
"s1_anchor","atx_136b0e66254b","Common Murre","checklist_reporting","active_minus_pre14",-0.136177431298835,-0.149314904005354,-0.0131374727065185,0.095019174655233,0.0941694053315899,0.872687776625303,0.861297846047853,0.291480704191967,0.219489215456277,"completed","completed",FALSE,FALSE
"s1_anchor","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","active_minus_pre14",-0.162888411500191,-0.137990971250766,0.024897440249425,0.118931599366686,0.123547389714822,0.849685998310505,0.871106556712949,0.306930551311193,0.421022011698159,"completed","completed",FALSE,FALSE
"s1_anchor","atx_15dd5efcd8d6","Black Turnstone","checklist_reporting","active_minus_pre14",-0.0451551050743009,-0.024988823384868,0.0201662816894329,0.0677933548048174,0.068052391347602,0.955849213271549,0.97532081275277,0.670604342596355,0.90805059398875,"completed","completed",FALSE,FALSE
"s1_anchor","atx_15dd5efcd8d6","Black Turnstone","conditional_positive_numeric_count","active_minus_pre14",0.112202075773113,0.114293271428098,0.00209119565498515,0.0674045247337424,0.0667554256706301,1.11873890783466,1.12108085766197,0.183982928081028,0.173061110160588,"completed","completed",FALSE,FALSE
"s1_anchor","atx_1812dd827ede","Surfbird","checklist_reporting","active_minus_pre14",0.316804595776672,0.334701003696741,0.0178964079200695,0.175188270317196,0.178708321197559,1.37273430763511,1.39752246869597,0.163363315902389,0.13961964549622,"completed","completed",FALSE,FALSE
