"outcome","term","exposed_model_rows","band","period"
"positive_numeric_count_given_detection","db_band_0_2_early_pre",840,"band_0_2","early_pre"
"positive_numeric_count_given_detection","db_band_2_4_early_pre",1143,"band_2_4","early_pre"
"positive_numeric_count_given_detection","db_band_4_6_early_pre",1332,"band_4_6","early_pre"
"positive_numeric_count_given_detection","db_band_6_8_early_pre",1318,"band_6_8","early_pre"
"positive_numeric_count_given_detection","db_band_8_10_early_pre",1502,"band_8_10","early_pre"
"positive_numeric_count_given_detection","db_band_10_12_early_pre",1660,"band_10_12","early_pre"
"positive_numeric_count_given_detection","db_band_12_14_early_pre",1131,"band_12_14","early_pre"
"positive_numeric_count_given_detection","db_band_14_16_early_pre",1265,"band_14_16","early_pre"
"positive_numeric_count_given_detection","db_band_16_18_early_pre",1293,"band_16_18","early_pre"
"positive_numeric_count_given_detection","db_band_18_20_early_pre",1312,"band_18_20","early_pre"
"positive_numeric_count_given_detection","db_band_20_22_early_pre",1143,"band_20_22","early_pre"
"positive_numeric_count_given_detection","db_band_22_24_early_pre",1066,"band_22_24","early_pre"
"positive_numeric_count_given_detection","db_band_24_26_early_pre",1206,"band_24_26","early_pre"
"positive_numeric_count_given_detection","db_band_0_2_immediate_pre",946,"band_0_2","immediate_pre"
"positive_numeric_count_given_detection","db_band_2_4_immediate_pre",1155,"band_2_4","immediate_pre"
"positive_numeric_count_given_detection","db_band_4_6_immediate_pre",1411,"band_4_6","immediate_pre"
"positive_numeric_count_given_detection","db_band_6_8_immediate_pre",1352,"band_6_8","immediate_pre"
"positive_numeric_count_given_detection","db_band_8_10_immediate_pre",1468,"band_8_10","immediate_pre"
"positive_numeric_count_given_detection","db_band_10_12_immediate_pre",1615,"band_10_12","immediate_pre"
"positive_numeric_count_given_detection","db_band_12_14_immediate_pre",1149,"band_12_14","immediate_pre"
"positive_numeric_count_given_detection","db_band_14_16_immediate_pre",1282,"band_14_16","immediate_pre"
"positive_numeric_count_given_detection","db_band_16_18_immediate_pre",1292,"band_16_18","immediate_pre"
"positive_numeric_count_given_detection","db_band_18_20_immediate_pre",1225,"band_18_20","immediate_pre"
"positive_numeric_count_given_detection","db_band_20_22_immediate_pre",1121,"band_20_22","immediate_pre"
"positive_numeric_count_given_detection","db_band_22_24_immediate_pre",1107,"band_22_24","immediate_pre"
"positive_numeric_count_given_detection","db_band_24_26_immediate_pre",1270,"band_24_26","immediate_pre"
"positive_numeric_count_given_detection","db_band_0_2_spawn_start",702,"band_0_2","spawn_start"
"positive_numeric_count_given_detection","db_band_2_4_spawn_start",727,"band_2_4","spawn_start"
"positive_numeric_count_given_detection","db_band_4_6_spawn_start",885,"band_4_6","spawn_start"
"positive_numeric_count_given_detection","db_band_6_8_spawn_start",760,"band_6_8","spawn_start"
"positive_numeric_count_given_detection","db_band_8_10_spawn_start",901,"band_8_10","spawn_start"
"positive_numeric_count_given_detection","db_band_10_12_spawn_start",953,"band_10_12","spawn_start"
"positive_numeric_count_given_detection","db_band_12_14_spawn_start",705,"band_12_14","spawn_start"
"positive_numeric_count_given_detection","db_band_14_16_spawn_start",764,"band_14_16","spawn_start"
"positive_numeric_count_given_detection","db_band_16_18_spawn_start",789,"band_16_18","spawn_start"
"positive_numeric_count_given_detection","db_band_18_20_spawn_start",729,"band_18_20","spawn_start"
"positive_numeric_count_given_detection","db_band_20_22_spawn_start",620,"band_20_22","spawn_start"
"positive_numeric_count_given_detection","db_band_22_24_spawn_start",603,"band_22_24","spawn_start"
"positive_numeric_count_given_detection","db_band_24_26_spawn_start",714,"band_24_26","spawn_start"
"positive_numeric_count_given_detection","db_band_0_2_early_egg",1474,"band_0_2","early_egg"
"positive_numeric_count_given_detection","db_band_2_4_early_egg",1687,"band_2_4","early_egg"
"positive_numeric_count_given_detection","db_band_4_6_early_egg",1949,"band_4_6","early_egg"
"positive_numeric_count_given_detection","db_band_6_8_early_egg",1830,"band_6_8","early_egg"
"positive_numeric_count_given_detection","db_band_8_10_early_egg",2104,"band_8_10","early_egg"
"positive_numeric_count_given_detection","db_band_10_12_early_egg",2322,"band_10_12","early_egg"
"positive_numeric_count_given_detection","db_band_12_14_early_egg",1644,"band_12_14","early_egg"
"positive_numeric_count_given_detection","db_band_14_16_early_egg",1854,"band_14_16","early_egg"
"positive_numeric_count_given_detection","db_band_16_18_early_egg",1931,"band_16_18","early_egg"
"positive_numeric_count_given_detection","db_band_18_20_early_egg",1650,"band_18_20","early_egg"
"positive_numeric_count_given_detection","db_band_20_22_early_egg",1604,"band_20_22","early_egg"
"positive_numeric_count_given_detection","db_band_22_24_early_egg",1571,"band_22_24","early_egg"
"positive_numeric_count_given_detection","db_band_24_26_early_egg",1795,"band_24_26","early_egg"
"positive_numeric_count_given_detection","db_band_0_2_late_egg",1573,"band_0_2","late_egg"
"positive_numeric_count_given_detection","db_band_2_4_late_egg",1896,"band_2_4","late_egg"
"positive_numeric_count_given_detection","db_band_4_6_late_egg",2338,"band_4_6","late_egg"
"positive_numeric_count_given_detection","db_band_6_8_late_egg",2242,"band_6_8","late_egg"
"positive_numeric_count_given_detection","db_band_8_10_late_egg",2542,"band_8_10","late_egg"
"positive_numeric_count_given_detection","db_band_10_12_late_egg",2754,"band_10_12","late_egg"
"positive_numeric_count_given_detection","db_band_12_14_late_egg",1969,"band_12_14","late_egg"
"positive_numeric_count_given_detection","db_band_14_16_late_egg",2027,"band_14_16","late_egg"
"positive_numeric_count_given_detection","db_band_16_18_late_egg",2215,"band_16_18","late_egg"
"positive_numeric_count_given_detection","db_band_18_20_late_egg",1883,"band_18_20","late_egg"
"positive_numeric_count_given_detection","db_band_20_22_late_egg",1653,"band_20_22","late_egg"
"positive_numeric_count_given_detection","db_band_22_24_late_egg",1681,"band_22_24","late_egg"
"positive_numeric_count_given_detection","db_band_24_26_late_egg",2058,"band_24_26","late_egg"
