"outcome","coefficient","estimate"
"positive_numeric_count_given_detection","db_band_6_8_baseline",-0.0027721061837908
"positive_numeric_count_given_detection","db_band_8_10_baseline",0.0140471778247864
"positive_numeric_count_given_detection","db_band_10_12_baseline",-0.0149941960894611
"positive_numeric_count_given_detection","db_band_12_14_baseline",0.068128184844792
"positive_numeric_count_given_detection","db_band_14_16_baseline",0.104220293656612
"positive_numeric_count_given_detection","db_band_16_18_baseline",0.0885304800737669
"positive_numeric_count_given_detection","db_band_18_20_baseline",0.0329485060537146
"positive_numeric_count_given_detection","db_band_20_22_baseline",0.00941295526544752
"positive_numeric_count_given_detection","db_band_22_24_baseline",-0.0101286242087092
"positive_numeric_count_given_detection","db_band_24_26_baseline",0.0482774668577091
"positive_numeric_count_given_detection","db_band_0_2_early_pre",0.147801101189994
"positive_numeric_count_given_detection","db_band_2_4_early_pre",0.0838134977813298
"positive_numeric_count_given_detection","db_band_4_6_early_pre",0.0422549052846803
"positive_numeric_count_given_detection","db_band_6_8_early_pre",0.0257027575069604
"positive_numeric_count_given_detection","db_band_8_10_early_pre",0.0355465606033947
"positive_numeric_count_given_detection","db_band_10_12_early_pre",-0.0488399607332612
"positive_numeric_count_given_detection","db_band_12_14_early_pre",0.0782342502447302
"positive_numeric_count_given_detection","db_band_14_16_early_pre",0.0235614983489278
"positive_numeric_count_given_detection","db_band_16_18_early_pre",0.0751690196987812
"positive_numeric_count_given_detection","db_band_18_20_early_pre",0.0264001209784758
"positive_numeric_count_given_detection","db_band_20_22_early_pre",-1.99888578301269e-05
"positive_numeric_count_given_detection","db_band_22_24_early_pre",-0.0116860343036919
"positive_numeric_count_given_detection","db_band_24_26_early_pre",0.0813435528787483
"positive_numeric_count_given_detection","db_band_0_2_immediate_pre",0.125151420366536
"positive_numeric_count_given_detection","db_band_2_4_immediate_pre",0.0557907448130693
"positive_numeric_count_given_detection","db_band_4_6_immediate_pre",0.108313719017266
"positive_numeric_count_given_detection","db_band_6_8_immediate_pre",0.0682259777679664
"positive_numeric_count_given_detection","db_band_8_10_immediate_pre",0.0677822650082408
"positive_numeric_count_given_detection","db_band_10_12_immediate_pre",-0.0185398596631058
"positive_numeric_count_given_detection","db_band_12_14_immediate_pre",0.0763822582162992
"positive_numeric_count_given_detection","db_band_14_16_immediate_pre",0.0231369782149665
"positive_numeric_count_given_detection","db_band_16_18_immediate_pre",0.0425092694201069
"positive_numeric_count_given_detection","db_band_18_20_immediate_pre",0.037683871712958
"positive_numeric_count_given_detection","db_band_20_22_immediate_pre",0.0275839814000305
"positive_numeric_count_given_detection","db_band_22_24_immediate_pre",0.0166298608567796
"positive_numeric_count_given_detection","db_band_24_26_immediate_pre",0.00137903612306631
"positive_numeric_count_given_detection","db_band_0_2_spawn_start",0.461742470243524
"positive_numeric_count_given_detection","db_band_2_4_spawn_start",0.189064069020115
"positive_numeric_count_given_detection","db_band_4_6_spawn_start",0.201472691018703
"positive_numeric_count_given_detection","db_band_6_8_spawn_start",-0.0203296056445818
"positive_numeric_count_given_detection","db_band_8_10_spawn_start",0.152232041704395
"positive_numeric_count_given_detection","db_band_10_12_spawn_start",0.00954663359771302
"positive_numeric_count_given_detection","db_band_12_14_spawn_start",0.0812852204263288
"positive_numeric_count_given_detection","db_band_14_16_spawn_start",0.0245879958140322
"positive_numeric_count_given_detection","db_band_16_18_spawn_start",0.0798810342000232
"positive_numeric_count_given_detection","db_band_18_20_spawn_start",-0.0117365538813396
"positive_numeric_count_given_detection","db_band_20_22_spawn_start",0.0540947387583938
"positive_numeric_count_given_detection","db_band_22_24_spawn_start",0.0937267728659534
"positive_numeric_count_given_detection","db_band_24_26_spawn_start",-0.047577340816728
"positive_numeric_count_given_detection","db_band_0_2_early_egg",0.312441609518988
"positive_numeric_count_given_detection","db_band_2_4_early_egg",0.103226516553246
"positive_numeric_count_given_detection","db_band_4_6_early_egg",0.160139826003126
"positive_numeric_count_given_detection","db_band_6_8_early_egg",0.00025142604648397
"positive_numeric_count_given_detection","db_band_8_10_early_egg",0.0321138758706725
"positive_numeric_count_given_detection","db_band_10_12_early_egg",-0.00218878972669262
"positive_numeric_count_given_detection","db_band_12_14_early_egg",0.00261399179493535
"positive_numeric_count_given_detection","db_band_14_16_early_egg",-0.0263707856215175
"positive_numeric_count_given_detection","db_band_16_18_early_egg",0.00627614355517933
"positive_numeric_count_given_detection","db_band_18_20_early_egg",-0.0457768899006236
"positive_numeric_count_given_detection","db_band_20_22_early_egg",0.0877203271816862
"positive_numeric_count_given_detection","db_band_22_24_early_egg",0.0366080597991878
"positive_numeric_count_given_detection","db_band_24_26_early_egg",0.0368856926985145
"positive_numeric_count_given_detection","db_band_0_2_late_egg",0.125886116583826
"positive_numeric_count_given_detection","db_band_2_4_late_egg",0.0790481048346441
"positive_numeric_count_given_detection","db_band_4_6_late_egg",0.0654947624978964
"positive_numeric_count_given_detection","db_band_6_8_late_egg",-0.0235172302269485
"positive_numeric_count_given_detection","db_band_8_10_late_egg",0.0278952080179022
"positive_numeric_count_given_detection","db_band_10_12_late_egg",-0.0329889022630471
