"outcome","row_coefficient","column_coefficient","covariance"
"detection","db_band_0_2_baseline","db_band_2_4_baseline",-0.000254122520008976
"detection","db_band_2_4_baseline","db_band_2_4_baseline",0.00100507260812797
"detection","db_band_4_6_baseline","db_band_2_4_baseline",-0.00016471871532299
"detection","db_band_6_8_baseline","db_band_2_4_baseline",-4.48202292927804e-05
"detection","db_band_8_10_baseline","db_band_2_4_baseline",-2.0314295662418e-05
"detection","db_band_10_12_baseline","db_band_2_4_baseline",-5.09965646456122e-05
"detection","db_band_12_14_baseline","db_band_2_4_baseline",-1.8282765025896e-05
"detection","db_band_14_16_baseline","db_band_2_4_baseline",-2.06352415268367e-05
"detection","db_band_16_18_baseline","db_band_2_4_baseline",-1.29482819926275e-05
"detection","db_band_18_20_baseline","db_band_2_4_baseline",-2.3173111894661e-05
"detection","db_band_20_22_baseline","db_band_2_4_baseline",-6.28426376560251e-06
"detection","db_band_22_24_baseline","db_band_2_4_baseline",-2.47857364128579e-05
"detection","db_band_24_26_baseline","db_band_2_4_baseline",-1.58648805421814e-05
"detection","db_band_0_2_early_pre","db_band_2_4_baseline",7.32301057958038e-06
"detection","db_band_2_4_early_pre","db_band_2_4_baseline",-5.12056182147218e-05
"detection","db_band_4_6_early_pre","db_band_2_4_baseline",2.44061901407131e-05
"detection","db_band_6_8_early_pre","db_band_2_4_baseline",-1.01637358192783e-05
"detection","db_band_8_10_early_pre","db_band_2_4_baseline",6.9011798114407e-06
"detection","db_band_10_12_early_pre","db_band_2_4_baseline",-1.29316783890642e-05
"detection","db_band_12_14_early_pre","db_band_2_4_baseline",2.21537901501919e-05
"detection","db_band_14_16_early_pre","db_band_2_4_baseline",-1.79306074207522e-05
"detection","db_band_16_18_early_pre","db_band_2_4_baseline",4.94751437864471e-06
"detection","db_band_18_20_early_pre","db_band_2_4_baseline",3.98415380522377e-06
"detection","db_band_20_22_early_pre","db_band_2_4_baseline",1.46461665629467e-05
"detection","db_band_22_24_early_pre","db_band_2_4_baseline",7.09167157459026e-06
"detection","db_band_24_26_early_pre","db_band_2_4_baseline",2.00871494685361e-06
"detection","db_band_0_2_immediate_pre","db_band_2_4_baseline",2.39740582029842e-06
"detection","db_band_2_4_immediate_pre","db_band_2_4_baseline",-3.28261814743763e-05
"detection","db_band_4_6_immediate_pre","db_band_2_4_baseline",2.32172688230895e-05
"detection","db_band_6_8_immediate_pre","db_band_2_4_baseline",-1.92857106805739e-06
"detection","db_band_8_10_immediate_pre","db_band_2_4_baseline",1.45807914126467e-06
"detection","db_band_10_12_immediate_pre","db_band_2_4_baseline",1.19663582392747e-06
"detection","db_band_12_14_immediate_pre","db_band_2_4_baseline",1.4075186063689e-05
"detection","db_band_14_16_immediate_pre","db_band_2_4_baseline",-8.9810357679387e-06
"detection","db_band_16_18_immediate_pre","db_band_2_4_baseline",3.08490451955156e-06
"detection","db_band_18_20_immediate_pre","db_band_2_4_baseline",4.69361110926961e-06
"detection","db_band_20_22_immediate_pre","db_band_2_4_baseline",1.50487782330083e-06
"detection","db_band_22_24_immediate_pre","db_band_2_4_baseline",5.84960633932659e-06
"detection","db_band_24_26_immediate_pre","db_band_2_4_baseline",-4.02200894448574e-06
"detection","db_band_0_2_spawn_start","db_band_2_4_baseline",3.61132158483562e-06
"detection","db_band_2_4_spawn_start","db_band_2_4_baseline",-5.88993514278074e-07
"detection","db_band_4_6_spawn_start","db_band_2_4_baseline",1.0232306594724e-05
"detection","db_band_6_8_spawn_start","db_band_2_4_baseline",3.40355426819984e-06
"detection","db_band_8_10_spawn_start","db_band_2_4_baseline",-1.52069244947337e-06
"detection","db_band_10_12_spawn_start","db_band_2_4_baseline",2.39076926465541e-06
"detection","db_band_12_14_spawn_start","db_band_2_4_baseline",4.56397575712119e-07
"detection","db_band_14_16_spawn_start","db_band_2_4_baseline",-4.91538122596361e-06
"detection","db_band_16_18_spawn_start","db_band_2_4_baseline",4.67333071807863e-06
