"package","version_in_project_library"
"lme4","2.0.6"
"pbkrtest","NOT_INSTALLED"
"lmerTest","NOT_INSTALLED"
"nloptr","2.2.1"
"Matrix","1.7.3"
"data.table","1.18.4"
