"model_version_id","analysis_taxon_id","unit_label","analysis_role","region","outcome","term","exposed_model_rows"
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection","es_reference_immediate_pre",429
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection","es_near_spawn_start",218
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection","es_reference_spawn_start",336
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection","es_near_early_egg",362
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_egg",588
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection","es_near_late_egg",317
"SOG_EVENT_STUDY_v1","atx_08bb40b40c0a","Ring-billed Gull","core_species","SoG","positive_numeric_count_given_detection","es_reference_late_egg",562
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection","es_near_baseline",8074
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection","es_reference_baseline",25986
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection","es_near_early_pre",4511
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection","es_reference_early_pre",15466
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection","es_near_immediate_pre",4586
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection","es_reference_immediate_pre",15167
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection","es_near_spawn_start",2991
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection","es_reference_spawn_start",9757
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection","es_near_early_egg",7016
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection","es_reference_early_egg",22922
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection","es_near_late_egg",8709
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","detection","es_reference_late_egg",28650
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection","es_near_baseline",259
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection","es_reference_baseline",438
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection","es_near_early_pre",148
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_pre",293
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection","es_near_immediate_pre",166
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection","es_reference_immediate_pre",311
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection","es_near_spawn_start",125
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection","es_reference_spawn_start",211
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection","es_near_early_egg",212
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_egg",279
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection","es_near_late_egg",145
"SOG_EVENT_STUDY_v1","atx_1328b44be502","Black Scoter","core_species","SoG","positive_numeric_count_given_detection","es_reference_late_egg",205
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection","es_near_baseline",8077
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection","es_reference_baseline",25992
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection","es_near_early_pre",4512
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection","es_reference_early_pre",15467
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection","es_near_immediate_pre",4587
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection","es_reference_immediate_pre",15169
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection","es_near_spawn_start",2992
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection","es_reference_spawn_start",9759
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection","es_near_early_egg",7018
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection","es_reference_early_egg",22927
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection","es_near_late_egg",8712
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","detection","es_reference_late_egg",28655
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection","es_near_baseline",151
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection","es_reference_baseline",361
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection","es_near_early_pre",66
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_pre",203
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection","es_near_immediate_pre",40
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection","es_reference_immediate_pre",158
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection","es_near_spawn_start",42
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection","es_reference_spawn_start",108
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection","es_near_early_egg",81
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_egg",202
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection","es_near_late_egg",62
"SOG_EVENT_STUDY_v1","atx_136b0e66254b","Common Murre","core_species","SoG","positive_numeric_count_given_detection","es_reference_late_egg",188
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection","es_near_baseline",8077
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection","es_reference_baseline",25992
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection","es_near_early_pre",4512
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection","es_reference_early_pre",15467
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection","es_near_immediate_pre",4587
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection","es_reference_immediate_pre",15169
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection","es_near_spawn_start",2992
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection","es_reference_spawn_start",9759
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection","es_near_early_egg",7018
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection","es_reference_early_egg",22927
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection","es_near_late_egg",8712
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","detection","es_reference_late_egg",28655
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection","es_near_baseline",287
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection","es_reference_baseline",893
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection","es_near_early_pre",168
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_pre",490
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection","es_near_immediate_pre",146
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection","es_reference_immediate_pre",408
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection","es_near_spawn_start",101
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection","es_reference_spawn_start",303
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection","es_near_early_egg",168
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_egg",459
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection","es_near_late_egg",115
"SOG_EVENT_STUDY_v1","atx_15dd5efcd8d6","Black Turnstone","core_species","SoG","positive_numeric_count_given_detection","es_reference_late_egg",437
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection","es_near_baseline",8077
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection","es_reference_baseline",25992
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection","es_near_early_pre",4512
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection","es_reference_early_pre",15467
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection","es_near_immediate_pre",4587
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection","es_reference_immediate_pre",15169
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection","es_near_spawn_start",2992
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection","es_reference_spawn_start",9759
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection","es_near_early_egg",7018
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection","es_reference_early_egg",22927
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection","es_near_late_egg",8712
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","detection","es_reference_late_egg",28655
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection","es_near_baseline",45
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection","es_reference_baseline",181
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection","es_near_early_pre",22
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_pre",100
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection","es_near_immediate_pre",
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection","es_reference_immediate_pre",71
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection","es_near_spawn_start",
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection","es_reference_spawn_start",53
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection","es_near_early_egg",24
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection","es_reference_early_egg",95
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection","es_near_late_egg",22
"SOG_EVENT_STUDY_v1","atx_1812dd827ede","Surfbird","core_species","SoG","positive_numeric_count_given_detection","es_reference_late_egg",70
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection","es_near_baseline",8075
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection","es_reference_baseline",25987
"SOG_EVENT_STUDY_v1","atx_1930f23cc4f8","Surf Scoter","core_species","SoG","detection","es_near_early_pre",4511
