"model_version_id","analysis_taxon_id","unit_label","analysis_role","region","outcome","converged","singular_fit","rank_deficient","convergence_message","n","status"
"SOG_EVENT_STUDY_v1","atx_6cbe5bbd310c","Rhinoceros Auklet","core_species","SoG","positive_numeric_count_given_detection",FALSE,,,"failed_insufficient_support",1816,"failed_insufficient_support"
"SOG_EVENT_STUDY_v1","atx_725074cbfcb6","Glaucous-winged Gull","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217037,"completed"
"SOG_EVENT_STUDY_v1","atx_725074cbfcb6","Glaucous-winged Gull","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",85053,"completed"
"SOG_EVENT_STUDY_v1","atx_7571c026ae99","American Herring Gull","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217179,"completed"
"SOG_EVENT_STUDY_v1","atx_7571c026ae99","American Herring Gull","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",1851,"completed"
"SOG_EVENT_STUDY_v1","atx_7b80ddaff058","Great Blue Heron","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_7b80ddaff058","Great Blue Heron","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",50285,"completed"
"SOG_EVENT_STUDY_v1","atx_7d980a7c8c37","Northern Pintail","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_7d980a7c8c37","Northern Pintail","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",14278,"completed"
"SOG_EVENT_STUDY_v1","atx_815c98107028","Mallard","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_815c98107028","Mallard","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",81526,"completed"
"SOG_EVENT_STUDY_v1","atx_82312e6f2848","Common Goldeneye","core_species","SoG","detection",TRUE,FALSE,FALSE,"",216892,"completed"
"SOG_EVENT_STUDY_v1","atx_82312e6f2848","Common Goldeneye","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",21195,"completed"
"SOG_EVENT_STUDY_v1","atx_8608f2ed61cf","Pigeon Guillemot","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_8608f2ed61cf","Pigeon Guillemot","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",6342,"completed"
"SOG_EVENT_STUDY_v1","atx_86eda7ed9025","Red-necked Grebe","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_86eda7ed9025","Red-necked Grebe","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",8109,"completed"
"SOG_EVENT_STUDY_v1","atx_87b306550dba","Harlequin Duck","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_87b306550dba","Harlequin Duck","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",12030,"completed"
"SOG_EVENT_STUDY_v1","atx_98ca0000b734","Brandt's Cormorant","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_98ca0000b734","Brandt's Cormorant","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",2573,"completed"
"SOG_EVENT_STUDY_v1","atx_99238953638b","Bufflehead","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_99238953638b","Bufflehead","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",50039,"completed"
"SOG_EVENT_STUDY_v1","atx_9ae1aa9b7fdf","Common Loon","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217199,"completed"
"SOG_EVENT_STUDY_v1","atx_9ae1aa9b7fdf","Common Loon","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",15359,"completed"
"SOG_EVENT_STUDY_v1","atx_a113baee5693","American Wigeon","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217190,"completed"
"SOG_EVENT_STUDY_v1","atx_a113baee5693","American Wigeon","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",34665,"completed"
"SOG_EVENT_STUDY_v1","atx_a444854c6b66","Double-crested Cormorant","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_a444854c6b66","Double-crested Cormorant","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",29011,"completed"
"SOG_EVENT_STUDY_v1","atx_aa5353f6d6d2","Iceland Gull","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217184,"completed"
"SOG_EVENT_STUDY_v1","atx_aa5353f6d6d2","Iceland Gull","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",4317,"completed"
"SOG_EVENT_STUDY_v1","atx_acf526bb8010","Marbled Murrelet","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_acf526bb8010","Marbled Murrelet","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",3103,"completed"
"SOG_EVENT_STUDY_v1","atx_b3d3ea90f9cb","Canada Goose","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217083,"completed"
"SOG_EVENT_STUDY_v1","atx_b3d3ea90f9cb","Canada Goose","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",68271,"completed"
"SOG_EVENT_STUDY_v1","atx_c12b832d2b03","California Gull","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_c12b832d2b03","California Gull","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",6644,"completed"
"SOG_EVENT_STUDY_v1","atx_c2d1fbbaf6d3","Red-breasted Merganser","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217092,"completed"
"SOG_EVENT_STUDY_v1","atx_c2d1fbbaf6d3","Red-breasted Merganser","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",13364,"completed"
"SOG_EVENT_STUDY_v1","atx_c34f23342a55","Pacific Loon","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_c34f23342a55","Pacific Loon","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",6049,"completed"
"SOG_EVENT_STUDY_v1","atx_c9db024faf12","American Crow","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_c9db024faf12","American Crow","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",112180,"completed"
"SOG_EVENT_STUDY_v1","atx_d002764a39e8","Lesser Scaup","core_species","SoG","detection",TRUE,FALSE,FALSE,"",216290,"completed"
"SOG_EVENT_STUDY_v1","atx_d002764a39e8","Lesser Scaup","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",9378,"completed"
"SOG_EVENT_STUDY_v1","atx_d7dd9536145c","Barrow's Goldeneye","core_species","SoG","detection",TRUE,FALSE,FALSE,"",216814,"completed"
"SOG_EVENT_STUDY_v1","atx_d7dd9536145c","Barrow's Goldeneye","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",10960,"completed"
"SOG_EVENT_STUDY_v1","atx_e0e678a61ad7","Short-billed Gull","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_e0e678a61ad7","Short-billed Gull","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",22003,"completed"
"SOG_EVENT_STUDY_v1","atx_ebf17f77fb66","Western Grebe","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217186,"completed"
"SOG_EVENT_STUDY_v1","atx_ebf17f77fb66","Western Grebe","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",1346,"completed"
"SOG_EVENT_STUDY_v1","atx_fadb8da1a816","Bonaparte's Gull","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_fadb8da1a816","Bonaparte's Gull","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",4025,"completed"
"SOG_EVENT_STUDY_v1","atx_fc0a9b777dcd","Bald Eagle","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217199,"completed"
"SOG_EVENT_STUDY_v1","atx_fc0a9b777dcd","Bald Eagle","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",83359,"completed"
"SOG_EVENT_STUDY_v1","atx_v2_000002","Black Oystercatcher","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_v2_000002","Black Oystercatcher","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",13626,"completed"
"SOG_EVENT_STUDY_v1","atx_v2_000003","Dunlin","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_v2_000003","Dunlin","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",5908,"completed"
"SOG_EVENT_STUDY_v1","atx_v2_000006","Black-bellied Plover","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_v2_000006","Black-bellied Plover","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",3973,"completed"
"SOG_EVENT_STUDY_v1","atx_v2_000007","Common Raven","core_species","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_v2_000007","Common Raven","core_species","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",60940,"completed"
"SOG_EVENT_STUDY_v1","atx_v2_000011","Glaucous Gull","core_species","SoG","detection",FALSE,,,"failed_numerical_fit_no_fallback",217200,"failed_numerical_fit_no_fallback"
"SOG_EVENT_STUDY_v1","atx_v2_000011","Glaucous Gull","core_species","SoG","positive_numeric_count_given_detection",FALSE,,,"failed_insufficient_support",185,"failed_insufficient_support"
"SOG_EVENT_STUDY_v1","atx_eeefc021901e","Gadwall","specificity_comparator","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
"SOG_EVENT_STUDY_v1","atx_8f0345249398","Northern Shoveler","specificity_comparator","SoG","detection",TRUE,FALSE,FALSE,"",217200,"completed"
