"model_version_id","analysis_taxon_id","unit_label","region","outcome","converged","singular_fit","rank_deficient","convergence_message","n","status"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection",TRUE,FALSE,FALSE,"",217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","positive_numeric_count_given_detection",TRUE,FALSE,FALSE,"",83359,"completed"
