"outcome","coefficient","estimate"
"detection","(Intercept)",-3.20699934535606
"detection","db_band_0_2_baseline",0.00967275372218754
"detection","db_band_2_4_baseline",-0.0256200792024104
"detection","db_band_4_6_baseline",0.0280046324251467
"detection","db_band_6_8_baseline",-0.00674835643616178
"detection","db_band_8_10_baseline",0.0777512610692035
"detection","db_band_10_12_baseline",-0.0200457927183436
"detection","db_band_12_14_baseline",0.0331286147931236
"detection","db_band_14_16_baseline",-0.00221980198917539
"detection","db_band_16_18_baseline",0.0112170867230399
"detection","db_band_18_20_baseline",0.0385074110550981
"detection","db_band_20_22_baseline",0.0156384674974979
"detection","db_band_22_24_baseline",-0.00324172340989181
"detection","db_band_24_26_baseline",0.00756768006036137
"detection","db_band_0_2_early_pre",-0.0204738490129501
"detection","db_band_2_4_early_pre",0.00469008288981825
"detection","db_band_4_6_early_pre",0.0499115480479264
"detection","db_band_6_8_early_pre",0.0179714272378891
"detection","db_band_8_10_early_pre",-0.00912308386628793
"detection","db_band_10_12_early_pre",-0.0086773626611793
"detection","db_band_12_14_early_pre",0.0110770923447873
"detection","db_band_14_16_early_pre",0.072567029360565
"detection","db_band_16_18_early_pre",0.0788851428714911
"detection","db_band_18_20_early_pre",0.0705971964740829
"detection","db_band_20_22_early_pre",-0.00380101669845123
"detection","db_band_22_24_early_pre",0.0184547639165521
"detection","db_band_24_26_early_pre",-0.0293913558672246
"detection","db_band_0_2_immediate_pre",0.0715925631428969
"detection","db_band_2_4_immediate_pre",0.122639721809936
"detection","db_band_4_6_immediate_pre",-0.0114705226027237
"detection","db_band_6_8_immediate_pre",0.0194918411079996
"detection","db_band_8_10_immediate_pre",-0.041265173918181
"detection","db_band_10_12_immediate_pre",-0.00631840753193173
"detection","db_band_12_14_immediate_pre",0.00868493979436759
"detection","db_band_14_16_immediate_pre",0.0305355946027585
"detection","db_band_16_18_immediate_pre",0.019714692538523
"detection","db_band_18_20_immediate_pre",0.0410041551945478
"detection","db_band_20_22_immediate_pre",0.0143193278268235
"detection","db_band_22_24_immediate_pre",-0.00729765652260196
"detection","db_band_24_26_immediate_pre",0.055961239912857
"detection","db_band_0_2_spawn_start",0.279937890629733
"detection","db_band_2_4_spawn_start",0.155512396271528
"detection","db_band_4_6_spawn_start",0.0891048287378183
"detection","db_band_6_8_spawn_start",-0.0501899569084794
"detection","db_band_8_10_spawn_start",-0.0528545036463489
"detection","db_band_10_12_spawn_start",0.0384926331225369
"detection","db_band_12_14_spawn_start",0.0525588243919052
"detection","db_band_14_16_spawn_start",0.0459383561800906
"detection","db_band_16_18_spawn_start",0.0610223095106052
"detection","db_band_18_20_spawn_start",-0.0606252005811713
"detection","db_band_20_22_spawn_start",0.0390004742403111
"detection","db_band_22_24_spawn_start",0.00561446474198509
"detection","db_band_24_26_spawn_start",0.0432765759989248
"detection","db_band_0_2_early_egg",0.0198554537530022
"detection","db_band_2_4_early_egg",0.0600902039280884
"detection","db_band_4_6_early_egg",0.00200152464917307
"detection","db_band_6_8_early_egg",0.00861938596526625
"detection","db_band_8_10_early_egg",-0.0123320721440031
"detection","db_band_10_12_early_egg",0.0513393571524415
"detection","db_band_12_14_early_egg",-0.00893625825120138
"detection","db_band_14_16_early_egg",0.0190365654144436
"detection","db_band_16_18_early_egg",0.0220909859718529
"detection","db_band_18_20_early_egg",0.0220192750546482
"detection","db_band_20_22_early_egg",0.0174886246833465
"detection","db_band_22_24_early_egg",-0.00557866353962086
"detection","db_band_24_26_early_egg",0.00466934168923198
"detection","db_band_0_2_late_egg",-0.00754630856706828
"detection","db_band_2_4_late_egg",0.0350984076772626
"detection","db_band_4_6_late_egg",-0.0344820624699048
"detection","db_band_6_8_late_egg",0.00625039397472995
"detection","db_band_8_10_late_egg",0.0346778153839762
"detection","db_band_10_12_late_egg",-0.00361145235528158
"detection","db_band_12_14_late_egg",0.0167276381665972
"detection","db_band_14_16_late_egg",0.0012863825219245
"detection","db_band_16_18_late_egg",0.0138494974592505
"detection","db_band_18_20_late_egg",-0.0282764680399076
"detection","db_band_20_22_late_egg",-0.0257775028309003
"detection","db_band_22_24_late_egg",0.0143425621956469
"detection","db_band_24_26_late_egg",0.0388810491089752
"detection","factor(checklist_year)2006",-1.06353762008254
"detection","factor(checklist_year)2007",-1.07252377360735
"detection","factor(checklist_year)2008",-0.863117736041158
"detection","factor(checklist_year)2009",-0.571093256196902
"detection","factor(checklist_year)2010",-0.306543560277505
"detection","factor(checklist_year)2011",-0.206867145321902
"detection","factor(checklist_year)2012",-0.834754869435632
"detection","factor(checklist_year)2013",-0.0750312633287611
"detection","factor(checklist_year)2014",-0.493390900347702
"detection","factor(checklist_year)2015",-0.52894148219374
"detection","factor(checklist_year)2016",-0.80972665547469
"detection","factor(checklist_year)2017",-0.642133058912138
"detection","factor(checklist_year)2018",-0.468093554309886
"detection","factor(checklist_year)2019",-0.572584596115059
"detection","factor(checklist_year)2020",-0.723535067020969
"detection","factor(checklist_year)2021",-0.711831122335523
"detection","factor(checklist_year)2022",-0.993454453501117
"detection","factor(checklist_year)2023",-0.915276520899356
"detection","factor(checklist_year)2024",-0.75487212380482
"detection","factor(checklist_year)2025",-1.15827432519308
"detection","protocoltraveling",0.17426826724003
"detection","log_duration",0.730790128685151
"detection","log_effort_distance",0.204231532467098
"detection","observer_count",0.118329377132326
"positive_numeric_count_given_detection","(Intercept)",0.282071053391626
"positive_numeric_count_given_detection","db_band_0_2_baseline",0.0325778263270986
"positive_numeric_count_given_detection","db_band_2_4_baseline",0.00770692527730723
"positive_numeric_count_given_detection","db_band_4_6_baseline",-0.00129347771051018
"positive_numeric_count_given_detection","db_band_6_8_baseline",0.0112137038836148
"positive_numeric_count_given_detection","db_band_8_10_baseline",0.0376064008929258
"positive_numeric_count_given_detection","db_band_10_12_baseline",-0.00689249310201228
"positive_numeric_count_given_detection","db_band_12_14_baseline",0.034239159007281
"positive_numeric_count_given_detection","db_band_14_16_baseline",0.00581431817831665
"positive_numeric_count_given_detection","db_band_16_18_baseline",-0.00213853742569486
"positive_numeric_count_given_detection","db_band_18_20_baseline",0.0290236383871272
"positive_numeric_count_given_detection","db_band_20_22_baseline",-0.00221075865909687
"positive_numeric_count_given_detection","db_band_22_24_baseline",-0.00468803108712615
"positive_numeric_count_given_detection","db_band_24_26_baseline",-0.00548404285112203
"positive_numeric_count_given_detection","db_band_0_2_early_pre",0.00198765007999646
"positive_numeric_count_given_detection","db_band_2_4_early_pre",0.00532473055996841
"positive_numeric_count_given_detection","db_band_4_6_early_pre",-0.00796464310983384
"positive_numeric_count_given_detection","db_band_6_8_early_pre",0.023800620620961
"positive_numeric_count_given_detection","db_band_8_10_early_pre",-0.000909463500959372
"positive_numeric_count_given_detection","db_band_10_12_early_pre",0.0120262316805104
"positive_numeric_count_given_detection","db_band_12_14_early_pre",0.0329068159302747
"positive_numeric_count_given_detection","db_band_14_16_early_pre",-0.00499324521174115
"positive_numeric_count_given_detection","db_band_16_18_early_pre",0.0335914125807611
"positive_numeric_count_given_detection","db_band_18_20_early_pre",0.0208758713355703
"positive_numeric_count_given_detection","db_band_20_22_early_pre",0.00408293250848852
"positive_numeric_count_given_detection","db_band_22_24_early_pre",-0.00802077370117199
"positive_numeric_count_given_detection","db_band_24_26_early_pre",0.016982475755928
"positive_numeric_count_given_detection","db_band_0_2_immediate_pre",0.0471749405134874
"positive_numeric_count_given_detection","db_band_2_4_immediate_pre",0.00112821238545114
"positive_numeric_count_given_detection","db_band_4_6_immediate_pre",0.0377252319406503
"positive_numeric_count_given_detection","db_band_6_8_immediate_pre",0.017384914876339
"positive_numeric_count_given_detection","db_band_8_10_immediate_pre",0.00334593177338032
"positive_numeric_count_given_detection","db_band_10_12_immediate_pre",-0.000556225799940446
"positive_numeric_count_given_detection","db_band_12_14_immediate_pre",-0.0201257675890432
"positive_numeric_count_given_detection","db_band_14_16_immediate_pre",0.0223774961261571
"positive_numeric_count_given_detection","db_band_16_18_immediate_pre",0.0123185997956739
"positive_numeric_count_given_detection","db_band_18_20_immediate_pre",0.031569595994537
"positive_numeric_count_given_detection","db_band_20_22_immediate_pre",0.026838012449437
"positive_numeric_count_given_detection","db_band_22_24_immediate_pre",-0.00923990621285799
"positive_numeric_count_given_detection","db_band_24_26_immediate_pre",0.0287509403853798
"positive_numeric_count_given_detection","db_band_0_2_spawn_start",0.246036232097013
"positive_numeric_count_given_detection","db_band_2_4_spawn_start",0.125703156193517
"positive_numeric_count_given_detection","db_band_4_6_spawn_start",0.0793039382261238
"positive_numeric_count_given_detection","db_band_6_8_spawn_start",-0.0199009968016791
"positive_numeric_count_given_detection","db_band_8_10_spawn_start",-0.0126582896096823
"positive_numeric_count_given_detection","db_band_10_12_spawn_start",0.0102924059865444
"positive_numeric_count_given_detection","db_band_12_14_spawn_start",0.0077786831077507
"positive_numeric_count_given_detection","db_band_14_16_spawn_start",0.0110038806659204
"positive_numeric_count_given_detection","db_band_16_18_spawn_start",-0.00440980104291606
"positive_numeric_count_given_detection","db_band_18_20_spawn_start",0.0150730455930522
"positive_numeric_count_given_detection","db_band_20_22_spawn_start",0.0106367315371812
"positive_numeric_count_given_detection","db_band_22_24_spawn_start",-0.0140811708185181
"positive_numeric_count_given_detection","db_band_24_26_spawn_start",0.0136956696194234
"positive_numeric_count_given_detection","db_band_0_2_early_egg",0.05273352782716
"positive_numeric_count_given_detection","db_band_2_4_early_egg",0.0164800114488943
"positive_numeric_count_given_detection","db_band_4_6_early_egg",0.0218905650505706
"positive_numeric_count_given_detection","db_band_6_8_early_egg",-0.013544075755469
"positive_numeric_count_given_detection","db_band_8_10_early_egg",0.00328935608321763
"positive_numeric_count_given_detection","db_band_10_12_early_egg",0.017509448896637
"positive_numeric_count_given_detection","db_band_12_14_early_egg",0.0128823615943246
"positive_numeric_count_given_detection","db_band_14_16_early_egg",-0.0142340202217856
"positive_numeric_count_given_detection","db_band_16_18_early_egg",-0.00173976398552473
"positive_numeric_count_given_detection","db_band_18_20_early_egg",0.0189184206833148
"positive_numeric_count_given_detection","db_band_20_22_early_egg",0.0142749009741154
"positive_numeric_count_given_detection","db_band_22_24_early_egg",-0.00577276653010567
"positive_numeric_count_given_detection","db_band_24_26_early_egg",-0.00297337156473546
"positive_numeric_count_given_detection","db_band_0_2_late_egg",-0.00471693433962432
"positive_numeric_count_given_detection","db_band_2_4_late_egg",-0.00290077728374619
"positive_numeric_count_given_detection","db_band_4_6_late_egg",-0.00818344093214245
"positive_numeric_count_given_detection","db_band_6_8_late_egg",-0.00865014469376585
"positive_numeric_count_given_detection","db_band_8_10_late_egg",-0.00862274217968167
"positive_numeric_count_given_detection","db_band_10_12_late_egg",0.0134383507098763
"positive_numeric_count_given_detection","db_band_12_14_late_egg",0.0347919799355412
"positive_numeric_count_given_detection","db_band_14_16_late_egg",0.00722206443371296
"positive_numeric_count_given_detection","db_band_16_18_late_egg",-0.00255236662649569
"positive_numeric_count_given_detection","db_band_18_20_late_egg",-0.00552817200606968
"positive_numeric_count_given_detection","db_band_20_22_late_egg",0.00262062842428461
"positive_numeric_count_given_detection","db_band_22_24_late_egg",-0.0171055541819249
"positive_numeric_count_given_detection","db_band_24_26_late_egg",0.00784116994095143
"positive_numeric_count_given_detection","factor(checklist_year)2006",-0.623678897284958
"positive_numeric_count_given_detection","factor(checklist_year)2007",-0.580041814649642
"positive_numeric_count_given_detection","factor(checklist_year)2008",-0.477111276478633
"positive_numeric_count_given_detection","factor(checklist_year)2009",-0.348193210751754
"positive_numeric_count_given_detection","factor(checklist_year)2010",-0.639089094621738
"positive_numeric_count_given_detection","factor(checklist_year)2011",-0.380913808073866
"positive_numeric_count_given_detection","factor(checklist_year)2012",-0.538622045449478
"positive_numeric_count_given_detection","factor(checklist_year)2013",-0.34549836159968
"positive_numeric_count_given_detection","factor(checklist_year)2014",-0.326143228027072
"positive_numeric_count_given_detection","factor(checklist_year)2015",-0.197097585165812
"positive_numeric_count_given_detection","factor(checklist_year)2016",-0.407551575608872
"positive_numeric_count_given_detection","factor(checklist_year)2017",-0.301035285991886
"positive_numeric_count_given_detection","factor(checklist_year)2018",-0.23216635461287
"positive_numeric_count_given_detection","factor(checklist_year)2019",-0.451479176905532
"positive_numeric_count_given_detection","factor(checklist_year)2020",-0.562153699912432
"positive_numeric_count_given_detection","factor(checklist_year)2021",-0.438654169863128
"positive_numeric_count_given_detection","factor(checklist_year)2022",-0.527680726401766
"positive_numeric_count_given_detection","factor(checklist_year)2023",-0.510280933789024
"positive_numeric_count_given_detection","factor(checklist_year)2024",-0.498684803790724
"positive_numeric_count_given_detection","factor(checklist_year)2025",-0.426700756778884
"positive_numeric_count_given_detection","protocoltraveling",-0.0499512171451612
"positive_numeric_count_given_detection","log_duration",0.158224017834383
"positive_numeric_count_given_detection","log_effort_distance",0.0550928092080753
"positive_numeric_count_given_detection","observer_count",0.0349601327689514
