"geometry_definition","candidate_role","source_records","all_available_records","common_eligible_records","edge100_snap_q50_m","edge100_snap_q90_m","edge100_snap_over_2km","tier_A_records","tier_B_records","tier_C_records","excluded_records","actual_alongshore_geometry_verified","primary_edge_type","sensitivity_edge_type","geometry_gate","approved_primary_representation","shoreline_sensitivity_scope","exact_ebird_coordinates_in_output","support_label"
"source_point","coastwide_primary_human_approved",13332,13208,3899,51322.28159,387152.48941,7798,5163,136,7622,411,TRUE,100,150,"PASS_SOURCE_POINT_PRIMARY_SHORELINE_SENSITIVITY_SCOPED","source_point","SoG_WCVI",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"edge100_nearest_shoreline_point","supported_region_sensitivity_human_approved",13332,13208,3899,51322.28159,387152.48941,7798,5163,136,7622,411,TRUE,100,150,"PASS_SOURCE_POINT_PRIMARY_SHORELINE_SENSITIVITY_SCOPED","source_point","SoG_WCVI",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"edge150_nearest_shoreline_point","separate_sensitivity_after_visual_validation",13332,13208,3899,51322.28159,387152.48941,7798,5163,136,7622,411,TRUE,100,150,"PASS_SOURCE_POINT_PRIMARY_SHORELINE_SENSITIVITY_SCOPED","source_point","SoG_WCVI_after_validation",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"derived_alongshore_length","supported_region_sensitivity_human_approved",13332,3899,3899,51322.28159,387152.48941,7798,5163,136,7622,411,TRUE,100,150,"PASS_SOURCE_POINT_PRIMARY_SHORELINE_SENSITIVITY_SCOPED","source_point","SoG_WCVI",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"derived_alongshore_length_width","registered_supported_region_sensitivity",13332,3851,3899,51322.28159,387152.48941,7798,5163,136,7622,411,TRUE,100,150,"PASS_SOURCE_POINT_PRIMARY_SHORELINE_SENSITIVITY_SCOPED","source_point","SoG_WCVI",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"event_complex_member_union","registered_supported_region_sensitivity",13332,1364,3899,51322.28159,387152.48941,7798,5163,136,7622,411,TRUE,100,150,"PASS_SOURCE_POINT_PRIMARY_SHORELINE_SENSITIVITY_SCOPED","source_point","SoG_WCVI",FALSE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
