"region","year","month","protocol","complete_checklists","unique_observers","unique_localities","source_events","event_complexes","duration_q50","duration_q90","travel_distance_q50","travel_distance_q90","maximum_observer_checklist_share","maximum_locality_checklist_share","repeat_localities","shoreline_link_support","support_label"
"SoG",2023,6,"Stationary",502,125,226,41,33,20,80,29.447,29.447,0.41235,0.40637,187,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2023,6,"Traveling",16,9,12,11,8,43,89,1.599,8.08,3.75,1.6875,11,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2023,6,"Traveling",16,8,12,6,3,43,221,1.402,6.755,0.6875,0.5625,10,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2023,6,"Traveling",5,5,5,18,11,20,236,0.033,4.519,2.4,2.4,3,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2023,7,"Traveling",51,31,38,3,2,67,180,1.479,4,0.11765,0.07843,19,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2023,7,"Traveling",2,2,2,1,1,10,10,2.5,4.509,0.5,0.5,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2023,12,"Traveling",56,29,38,2,2,45,112,1,5,0.14286,0.08929,11,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2023,1,"Stationary",1069,251,406,43,33,15,60,0.102,3.02,0.17961,0.17025,355,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2023,2,"Stationary",1579,426,612,46,33,17,60,0.152,4.89,0.26789,0.22293,587,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2023,1,"Traveling",93,12,55,30,11,40,120,1.2,5.25,4.83871,0.74194,52,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2023,2,"Traveling",15,4,13,3,1,65,155,2.2,7.4,2,0.4,13,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2023,2,"Stationary",7,2,2,3,1,85,120,,,2.14286,2.14286,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2023,2,"Traveling",86,18,60,27,9,30,116,1,3.353,4.65116,1.25581,60,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2023,3,"Traveling",139,29,80,50,15,23,120,0.891,3.797,3.86331,1.03597,79,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2023,3,"Traveling",17,3,16,20,2,17,48,2.855,4.526,5.64706,0.94118,9,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2023,3,"Stationary",71,11,26,43,15,15,60,,,11.39437,5.32394,26,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2023,3,"Traveling",22,4,12,9,6,34,160,0.62,4,3.86364,1.63636,12,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2023,3,"Traveling",34,2,15,13,9,36,76,1.125,2.546,7.11765,5.88235,12,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2023,3,"Stationary",4,2,2,10,7,10,145,,,7.25,7.5,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2023,3,"Stationary",3,2,3,17,2,12,41,,,10.33333,5.33333,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2023,1,"Stationary",54,6,24,27,9,6,60,,,9.25926,5.42593,23,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2023,1,"Traveling",2,1,2,3,1,11,110,2.948,3.955,3,1.5,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2023,1,"Stationary",2,1,2,3,1,60,80,,,3,1.5,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2023,2,"Stationary",33,4,10,9,6,26,40,,,4.09091,3.45455,10,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2023,2,"Traveling",16,3,7,9,6,38,83,0.7,1.154,6,2.6875,7,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2023,2,"Stationary",47,7,21,27,9,6,60,,,11.3617,5.3617,21,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2023,2,"Stationary (2 band, 30m)",1,1,1,2,1,5,5,,,2,2,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2023,3,"Stationary",12,2,3,3,1,72,105,,,2.75,2.5,3,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2023,3,"Stationary",37,3,7,9,6,35,126,,,4.2973,3.89189,7,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2023,3,"Traveling",9,3,8,3,1,48,112,1.5,5.2,1.66667,0.66667,8,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2023,4,"Stationary",29,3,3,3,1,62,120,,,2.58621,2.58621,3,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2023,4,"Stationary",1,1,1,1,1,12,12,,,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2023,4,"Traveling",1,1,1,1,1,7,7,0.244,0.244,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2023,4,"Traveling",1,1,1,11,6,13,13,0.765,0.765,11,11,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2023,5,"Stationary",2,1,1,1,1,2,3,,,1,1,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2023,5,"Traveling",1,1,1,2,1,250,250,1.107,1.107,2,2,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2023,6,"Stationary",11,4,5,3,1,60,120,,,1.63636,1.63636,5,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2023,6,"Stationary",5,3,4,21,13,60,120,,,8.8,4.8,4,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2023,6,"Stationary",14,4,5,9,6,35,55,,,7.07143,6.42857,5,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2023,6,"Stationary",1,1,1,1,1,13,13,,,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2023,6,"Traveling",5,2,5,10,5,25,30,2.604,5.976,3.2,1.6,3,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2023,7,"Stationary",14,8,9,3,2,35,68,,,0.42857,0.42857,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2023,7,"Stationary",9,3,3,1,1,30,30,,,0.33333,0.33333,3,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2023,7,"Traveling",3,3,3,1,1,57,68,0.91,5.156,0.33333,0.33333,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2023,7,"Stationary",18,6,18,13,2,22,91,,,2.05556,0.55556,13,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2023,7,"Traveling",18,5,14,8,2,24,120,0.575,4,1.05556,0.27778,6,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2023,7,"Traveling",4,1,3,1,1,26,69,0.978,2.756,1,0.5,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2023,7,"Stationary",2,2,2,3,2,50,98,,,1.5,1.5,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2023,12,"Stationary",23,11,14,2,2,3,30,,,0.47826,0.43478,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2023,12,"Stationary",2,2,2,1,1,2,70,,,0.5,0.5,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2023,12,"Traveling",1,1,1,1,1,204,204,9.713,9.713,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,1,"Stationary",801,187,353,57,41,15,60,0.236,2.549,0.2784,0.26217,216,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,1,"Traveling",1562,285,559,57,41,40,95,1,3.041,0.33483,0.13124,374,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2024,1,"Traveling",261,99,97,2,1,36,93,1.022,3,0.05364,0.16475,34,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2024,1,"Stationary",166,52,57,2,1,22,90,0.265,0.265,0.19277,0.18072,18,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,1,"Stationary",13,6,9,33,14,5,20,,,8.15385,4.15385,7,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,1,"Traveling",32,6,28,31,12,29,50,1.5,7.076,9.15625,1.125,26,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,2,"Stationary",1651,389,637,60,44,18,60,0.132,10.581,0.24652,0.23319,455,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,2,"Traveling",3286,529,975,60,44,48,110,1.2,3.5,0.1972,0.26476,725,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2024,2,"Traveling",316,103,108,3,2,49,113,1.351,4.632,0.05696,0.14241,40,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2024,2,"Stationary",186,48,56,2,1,31,90,,,0.17742,0.15591,21,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,2,"Traveling",73,20,47,64,37,29,126,1.199,4.09,2.43836,0.9863,46,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,2,"Stationary",40,13,21,53,32,11,30,,,2.925,2.7,20,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,2,"Stationary",38,5,11,9,2,30,35,,,6.60526,4.97368,11,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,3,"Stationary",1779,331,605,60,44,20,80,0.078,0.197,0.30242,0.2715,434,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,3,"Traveling",3761,548,1051,60,44,50,120,1.16,3.362,0.19755,0.25259,810,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2024,3,"Traveling",420,133,120,4,1,45,116,1.171,3.824,0.1,0.15952,47,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,3,"Traveling",248,27,93,50,28,32,110,1.201,4.076,2.66129,1.04839,93,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,3,"Stationary",101,14,29,44,24,20,63,,,6.9802,2.67327,29,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2024,3,"Stationary",200,55,59,4,1,29,95,,,0.14,0.215,22,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,3,"Traveling",25,4,14,10,2,31,54,0.55,1.5,7.16,2.68,14,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,3,"Stationary",58,5,19,10,2,20,30,,,5.82759,4.5,19,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,4,"Stationary",2074,381,660,60,44,20,70,0.05,0.05,0.26615,0.26615,479,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,4,"Traveling",4698,601,1307,60,44,49,123,1.175,3.5,0.25138,0.16092,1000,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2024,4,"Traveling",540,129,150,3,2,45,120,1.269,3.886,0.08889,0.18333,63,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2024,3,"Traveling",31,2,15,45,27,15,35,2.485,4.914,5.93548,1.16129,15,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,4,"Stationary",46,4,16,10,2,30,40,,,6.95652,5.86957,16,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,4,"Traveling",45,3,32,33,4,25,64,0.86,7.692,4.75556,1.33333,32,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,4,"Traveling",286,45,113,45,25,36,100,1.08,4,4.2028,0.88112,108,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2024,4,"Stationary",262,66,74,3,2,40,110,,,0.1374,0.19847,25,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,4,"Stationary",121,25,48,43,24,20,60,2.558,2.558,7.80165,2.38017,47,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2024,4,"Traveling",71,5,21,39,26,18,36,2.462,4.788,5.94366,0.67606,21,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2024,4,"Stationary",2,1,2,9,6,5,10,,,8,4,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,5,"Stationary",1798,392,669,60,44,19,85,4.909,4.909,0.22024,0.22024,461,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,5,"Traveling",4521,607,1265,60,44,51,125,1.158,3.17,0.23512,0.19465,1004,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,5,"Traveling",485,79,146,62,35,40,125,1,4,3.26804,0.86186,144,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2024,5,"Stationary",251,76,87,4,2,30,100,,,0.13944,0.12749,32,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,5,"Stationary",197,38,77,52,26,15,60,,,6.45685,1.5533,75,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2024,5,"Traveling",454,152,123,3,1,52,135,1.092,3.76,0.07709,0.11233,58,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,5,"Stationary",30,3,9,22,3,30,40,,,8.26667,7,9,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,6,"Stationary",813,244,371,58,44,20,90,,,0.29274,0.29274,260,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,6,"Traveling",1821,405,691,58,44,52,138,1.2,3.689,0.20319,0.18122,502,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,6,"Traveling",93,30,57,40,20,37,120,0.894,3.888,3.64516,0.77419,56,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2024,6,"Stationary",3,2,3,40,24,45,50,,,17.66667,13.33333,3,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,6,"Traveling",32,9,17,27,3,46,170,1.11,4.845,5.53125,1.53125,16,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,6,"Stationary",50,7,14,22,3,30,58,,,3.82,2.46,13,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2024,6,"Traveling",8,6,7,41,25,28,52,1.37,4.564,2.75,5.5,7,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2024,6,"Traveling",31,11,21,1,1,52,108,1.5,4.678,0.16129,0.16129,6,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,6,"Stationary",71,14,44,32,13,10,60,,,10.77465,2.53521,44,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2024,6,"Stationary",20,9,10,1,1,60,120,,,0.4,0.4,3,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,7,"Traveling",68,30,35,3,3,55,125,1.316,4.626,0.45588,0.19118,32,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,7,"Traveling",13,4,9,2,2,20,62,0.61,7.811,0.53846,0.23077,3,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,7,"Stationary",36,5,9,1,1,30,35,,,0.86111,0.41667,4,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,7,"Stationary",26,14,17,3,3,29,100,,,0.46154,0.46154,15,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,8,"Traveling",15,8,8,1,1,37,115,0.96,4.472,0.26667,0.26667,4,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,1,"Stationary",18,4,6,9,2,25,33,,,6.55556,5.05556,5,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,1,"Traveling",4,2,3,9,2,30,45,1,1,5.75,4.5,3,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,2,"Traveling",21,5,12,9,2,29,75,0.8,4.828,4.57143,3,12,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2024,2,"Traveling",3,2,3,3,3,11,41,0.545,0.571,0.66667,0.66667,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A2W",2024,3,"Stationary",1,1,1,2,1,60,60,,,2,2,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2024,4,"Stationary",1,1,1,7,2,8,8,,,7,7,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2024,4,"Traveling",2,1,2,7,2,50,77,0.61,0.88,7,3.5,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2024,5,"Traveling",1,1,1,7,5,20,20,0.129,0.129,7,7,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2024,5,"Stationary",2,2,2,32,21,3,60,,,12.5,12.5,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2024,5,"Traveling",1,1,1,4,1,16,16,1.191,1.191,4,4,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,5,"Traveling",17,7,14,30,3,31,120,0.666,3,4.52941,1.17647,14,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A27",2024,5,"Traveling",4,2,4,1,1,26,56,1.247,4.065,0.75,0.25,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2024,5,"Stationary",1,1,1,1,1,10,10,,,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"A2W",2024,5,"Traveling",1,1,1,2,1,74,74,0.707,0.707,2,2,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2024,6,"Stationary",3,2,3,6,2,15,90,,,1.33333,1.33333,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2024,6,"Traveling",1,1,1,1,1,15,15,5,5,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2024,7,"Traveling",4,2,4,1,1,61,101,1.094,4.41,0.75,0.25,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2024,7,"Stationary",1,1,1,1,1,21,21,,,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"HG",2024,7,"Stationary",1,1,1,1,1,6,6,,,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2024,8,"Stationary",22,3,5,1,1,30,40,0.091,0.091,0.86364,0.81818,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,12,"Stationary",19,3,11,2,2,5,60,,,1.63158,0.63158,10,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2024,12,"Traveling",19,7,14,2,2,32,112,1.808,3.5,1.10526,0.21053,14,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,12,"Traveling",10,6,9,1,1,45,133,1.5,2.646,0.5,0.2,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2024,12,"Stationary",13,5,5,1,1,16,75,,,0.38462,0.38462,2,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2025,1,"Stationary",60,16,35,31,23,5,60,,,6.63333,2.91667,30,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2025,1,"Traveling",140,26,101,45,28,18,90,1.5,3.5,3.46429,0.5,82,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2025,1,"Traveling",2033,367,667,57,45,49,114,1.2,3.418,0.20561,0.16183,465,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2025,1,"Stationary",900,215,340,57,45,20,61,0.108,3.204,0.33889,0.24889,238,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2025,1,"Stationary",7,4,6,3,1,28,60,,,1,0.57143,5,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2025,1,"Traveling",16,5,12,3,1,62,85,1.181,4.38,0.6875,0.25,8,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2025,2,"Stationary",1848,437,666,60,46,20,90,,,0.22294,0.19318,405,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2025,2,"Traveling",3329,612,1002,60,46,45,110,1.156,3.074,0.19255,0.15981,631,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2025,1,"Traveling",1,1,1,1,1,42,42,1.135,1.135,1,1,0,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2025,2,"Traveling",1,1,1,9,8,17,17,1.442,1.442,9,9,1,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2025,2,"Traveling",69,19,45,33,25,40,105,1,3.35,5.44928,1.33333,45,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2025,2,"Traveling",17,3,12,8,3,21,59,0.386,1.756,3.29412,1.88235,12,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2025,2,"Traveling",39,9,28,4,1,45,131,1.98,6.833,0.84615,0.20513,24,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2025,3,"Stationary",2038,439,635,60,46,18,90,8.437,8.437,0.26104,0.26104,403,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2025,3,"Traveling",4859,793,1220,60,46,45,115,1.16,3.273,0.2233,0.16135,800,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2025,3,"Traveling",243,39,112,51,32,27,99,1.004,4.68,2.14403,1.28395,108,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2025,3,"Stationary",116,23,37,46,29,19,61,,,5.80172,4.14655,37,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2025,3,"Traveling",39,8,19,50,9,32,145,0.95,3.01,2.28205,1.53846,19,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2025,3,"Stationary",51,5,16,8,3,40,60,,,6.23529,3.45098,16,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2025,3,"Traveling",24,6,18,3,1,80,130,1.73,6.998,0.5,0.25,17,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2025,4,"Stationary",2090,440,700,60,46,18,100,0.105,0.105,0.23828,0.23445,432,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2025,4,"Traveling",5619,873,1394,60,46,48,125,1.16,3.53,0.20929,0.14202,945,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2025,4,"Traveling",244,41,92,47,30,28,90,0.87,3.32,3.35246,0.97541,90,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2025,3,"Traveling",35,3,22,30,20,19,29,2.722,4.985,12.17143,1.71429,22,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2025,3,"Stationary",6,2,5,30,20,5,6,,,6.5,4.33333,5,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2025,4,"Traveling",58,2,24,17,13,19,49,2.702,5.745,8.74138,2.89655,24,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"CC",2025,4,"Stationary",7,3,4,26,19,30,75,,,7.42857,6.85714,4,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"NA",2025,4,"Traveling",70,12,37,4,1,45,105,1.426,4.314,0.44286,0.21429,33,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2025,4,"Stationary",64,5,20,35,9,40,60,,,5.01562,3.625,20,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"PRD",2025,4,"Traveling",54,8,22,49,9,50,151,1.34,3.99,2.59259,2.59259,22,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"WCVI",2025,4,"Stationary",123,26,39,43,29,13,60,,,7.17073,3.36585,38,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"SoG",2025,5,"Stationary",2244,499,817,60,46,20,90,,,0.18717,0.18717,493,TRUE,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
