"analysis_taxon_id_1","common_name_1","analysis_taxon_id_2","common_name_2","species_1_detections","species_2_detections","n11","shared_events","n10","n01","n00","suppressed_below_20","record_type","exposure_specific_association_computed","eligible_checklists","richness_q0","richness_q25","richness_q50","richness_q75","richness_q100","support_label"
"atx_1930f23cc4f8","Surf Scoter","atx_98ca0000b734","Brandt's Cormorant",23066,4674,3045,1625,20021,1629,237644,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_a444854c6b66","Double-crested Cormorant",23066,35338,9228,2005,13838,26110,213163,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_fc0a9b777dcd","Bald Eagle",23066,105279,14936,2645,8130,90343,148930,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_7b80ddaff058","Great Blue Heron",23066,58327,6650,2211,16416,51677,187596,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_c9db024faf12","American Crow",23066,138838,14660,2547,8406,124178,115095,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_c12b832d2b03","California Gull",23066,9499,4186,1770,18880,5313,233960,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_7571c026ae99","American Herring Gull",23066,3040,1505,1609,21561,1535,237738,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_5a9a3495d0ea","Western Gull",23066,1170,549,1001,22517,621,238652,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_aa5353f6d6d2","Iceland Gull",23066,2238,1038,764,22028,1200,238073,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_fadb8da1a816","Bonaparte's Gull",23066,5141,1981,1603,21085,3160,236113,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_08bb40b40c0a","Ring-billed Gull",23066,5994,1099,1122,21967,4895,234378,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_1812dd827ede","Surfbird",23066,1473,830,1051,22236,643,238630,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_15dd5efcd8d6","Black Turnstone",23066,5859,3192,1696,19874,2667,236606,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_b3d3ea90f9cb","Canada Goose",23066,81438,8507,2221,14559,72931,166342,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"atx_1930f23cc4f8","Surf Scoter","atx_815c98107028","Mallard",23066,99307,9921,2205,13145,89386,149887,FALSE,"pairwise_pooled",FALSE,,,,,,,"SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
