"representation","comparison_sample","eligible_events","comparison_interpretation","support_label"
"source_point","all_available",13208,"representation-specific availability; do not interpret differences as geometry effects","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"derived_alongshore_length","all_available",3899,"representation-specific availability; do not interpret differences as geometry effects","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"source_point","common_eligible_events",3899,"same eligible event set for geometry comparison","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"derived_alongshore_length","common_eligible_events",3899,"same eligible event set for geometry comparison","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
