"contrast","short_label","role","minimum_day","maximum_day","n_species","mean_link_equal_species","standard_error_of_species_mean","median_link","q1_link","q3_link","minimum_link","maximum_link","proportion_positive","geometric_mean_ratio","median_ratio"
"did_early_pre","Early pre","disjoint_period",-14,-8,46,-0.00270782707656562,0.0105941021310162,0.00845571543603731,-0.0394138692095347,0.0337326105331126,-0.277290028340659,0.131999813647154,0.521739130434783,0.997295835780299,1.00849156597388
"did_immediate_pre","Immediate pre","disjoint_period",-7,-1,46,0.027442815257056,0.0137433835961337,0.0208520360334066,-0.0208196815626326,0.0543081490197264,-0.200367898819219,0.44142208803741,0.673913043478261,1.02782283764192,1.02107095875042
"did_spawn_start","Spawn start","disjoint_period",0,3,46,0.0556310515222554,0.0151582574328345,0.0423642539147254,-0.0135610226630581,0.130882518142195,-0.145010114571794,0.30464413783247,0.695652173913043,1.05720755665395,1.04327442634179
"did_early_egg","Early egg","disjoint_period",4,14,46,0.107366915114439,0.0202053818936236,0.0857827813557466,0.0186661289243542,0.182851283031077,-0.200754003861043,0.473378441672951,0.847826086956522,1.11334268180317,1.08956962776081
"did_late_egg","Late egg","disjoint_period",15,28,46,0.0660756701369194,0.0137780342560775,0.0456508099404009,0.0114695588945743,0.092284224714913,-0.108339372566821,0.359243858422572,0.826086956521739,1.06830755308634,1.04670884681037
"did_active_0_14_day","Active 0–14","duration_weighted_composite",0,14,46,0.0935706848231899,0.0175845885199841,0.0877987421781165,0.0136928976042324,0.135237679461074,-0.180405787943444,0.400303996693646,0.847826086956522,1.09808821876974,1.09176837299108
