"analysis_taxon_id","common_name","did_early_pre","did_immediate_pre","did_spawn_start","did_early_egg","did_late_egg","active_0_14_composite"
"atx_04afbeb21fb0","Hooded Merganser",-0.0362492115509241,0.0152742496150644,-0.015702169098952,0.017397439725181,0.008674180380665,0.00857087737207889
"atx_04cf65098f13","Red-throated Loon",0.0220732937818342,-0.0816559825974251,-0.0538899689383413,0.0387530355874182,0.0897643122073024,0.014048234380549
"atx_08bb40b40c0a","Ring-billed Gull",-0.214893335926779,-0.200367898819219,-0.124448194170047,-0.200754003861043,-0.0574723522666133,-0.180405787943444
"atx_1328b44be502","Black Scoter",0.124315365531262,0.0756712936044093,-0.022337286534649,0.160783480869683,0.0112215106952041,0.111951276228528
"atx_136b0e66254b","Common Murre",-0.058804751962922,0.191224728376833,0.136089307842069,-0.181321234615165,0.0718960583424639,-0.0966784232932358
"atx_15dd5efcd8d6","Black Turnstone",-0.00819349353122567,0.0568105423295877,0.0519898740012489,0.167245409689037,0.012213703492685,0.136510600172294
"atx_1930f23cc4f8","Surf Scoter",-0.0617218764321745,-0.0265911883151772,0.0474301497648476,0.284324554396913,0.125842380149168,0.221152713161695
"atx_3083477933a8","White-winged Scoter",0.112794751997292,0.106800773492494,0.102243367112954,0.32830037193444,0.0264730953549108,0.268018503982044
"atx_35518e24dfdd","Common Merganser",-0.00922581679655325,0.00592844080079254,0.125085511530178,0.0957036206185835,0.0238737197397162,0.103538791528342
"atx_35707a9578d5","Pelagic Cormorant",0.0248318570723984,0.00163781350527809,0.0248764826922658,0.0418616654915435,0.057974183997308,0.0373322834117361
"atx_40f730f5ad72","Long-tailed Duck",0.0342000365520255,0.0480728690822142,0.199349273000559,0.473378441672951,0.293554617997219,0.400303996693646
"atx_4ae57d328ec6","Greater Scaup",0.0159616201207924,0.00586053284402455,0.000192603798300306,0.219933341470424,0.329855528542122,0.161335811424524
"atx_59441ff7abde","Brant",0.0220117725550077,-0.0575714395864479,0.0150930637545172,0.061668798311357,0.0688726666467544,0.0492486024295331
"atx_5a9a3495d0ea","Western Gull",-0.0422400662984478,0.0549523617987063,0.116989345392893,0.0617737382961567,-0.000712295572623787,0.0764979001886197
"atx_6b4cfd1ab927","Horned Grebe",-0.0469220334537426,-0.0388300472917177,-0.0572906434919256,-0.0102081833881558,-0.0566780105170296,-0.0227635060824944
"atx_725074cbfcb6","Glaucous-winged Gull",0.0357275354843861,0.0398280162668926,0.238306511876278,0.178272185313423,0.0646729793849291,0.194281339063518
"atx_7571c026ae99","American Herring Gull",-0.0691203627321924,-0.082717673643012,-0.0759351810612007,-0.0309629454298839,-0.108339372566821,-0.0429555415982351
"atx_7b80ddaff058","Great Blue Heron",0.00911552662156896,0.0639286173120848,0.0367253195582404,0.0409563526480538,0.0404520344223884,0.0398280771574369
"atx_7d980a7c8c37","Northern Pintail",-0.00010581181535757,0.00397954506188032,0.0682255694069397,0.0858057814974604,-0.00639879715904538,0.0811177249399882
"atx_815c98107028","Mallard",0.0285042341035347,0.0415749083782137,0.0848305535738326,0.111985493127781,0.135931877021315,0.104744175913395
"atx_82312e6f2848","Common Goldeneye",0.0381954294770128,0.00877402820479881,0.097008110859007,0.240777324774626,0.182845538277558,0.202438867730461
"atx_8608f2ed61cf","Pigeon Guillemot",-0.0404687550957382,-0.00431827565903773,-0.0433740761951233,0.00901275211072584,0.0218965540381374,-0.00495706877083394
"atx_86eda7ed9025","Red-necked Grebe",0.0284565339251356,-0.0298794940338652,0.00396120795926595,0.0217726068930999,0.0126167149428608,0.0170229005107442
"atx_87b306550dba","Harlequin Duck",-0.0203065431818334,0.0523755106827868,0.132814853679534,0.225278573178357,0.0931241955507832,0.200621581312004
"atx_98ca0000b734","Brandt's Cormorant",0.0456091331477237,0.0348462279784805,0.0654489156900293,0.0660858459211406,0.07898920072699,0.0659159978595109
"atx_99238953638b","Bufflehead",-0.016333201597481,-0.0221918974923451,0.0588141945352363,0.107449055736612,0.0508495854584133,0.0944797594162449
"atx_9ae1aa9b7fdf","Common Loon",-0.0241249894014399,-0.0368489703095878,0.0287034195766969,0.00807300926137406,-0.030117558163146,0.0135744520121268
"atx_a113baee5693","American Wigeon",0.0126879985062338,0.0864067827216895,0.0648709486480372,0.118855314319997,0.0510905389396145,0.104459483474141
"atx_a444854c6b66","Double-crested Cormorant",-0.0115266637494601,0.065389449227781,0.14383102037562,0.109808396430101,0.0761589496259545,0.118881096148906
"atx_aa5353f6d6d2","Iceland Gull",0.131999813647154,0.225463588632434,0.228414492343698,0.341130590509637,0.0964367451564771,0.311072964332053
"atx_acf526bb8010","Marbled Murrelet",0.0660574723271353,0.0504004842525421,-0.0142175945988474,0.184377648936962,0.0253743322066092,0.131418917327413
"atx_b3d3ea90f9cb","Canada Goose",-0.0508293976798446,-0.0167030337734949,0.0372983580646032,-0.0020166970000274,0.00730970902042047,0.00846731768387409
"atx_c12b832d2b03","California Gull",0.0323303324763739,0.0959862018988976,0.162329776052817,0.216133080676618,0.155584883965379,0.201785532776938
"atx_c2d1fbbaf6d3","Red-breasted Merganser",-0.046620150810928,0.00516896265778332,0.137693129912352,0.0857597812140328,0.0376451841514942,0.0996086742002513
"atx_c34f23342a55","Pacific Loon",-0.0613733277295263,-0.0222492225230276,0.139155443679557,0.0908839338684837,0.0824094829571412,0.10375633648477
"atx_c9db024faf12","American Crow",0.0170331470164271,-0.0254226356802604,-0.01159130685569,0.00943461501353955,-0.0130436687149583,0.00382770251507833
"atx_d002764a39e8","Lesser Scaup",0.0543083947186606,0.0268534603915799,-0.0930506541569996,0.204716676160441,0.138199497707328,0.125312054742457
"atx_d7dd9536145c","Barrow's Goldeneye",-0.0112339458610921,0.0213502665031794,0.0356810705898359,0.12333905813366,0.143658714057248,0.0999635947886402
"atx_e0e678a61ad7","Short-billed Gull",0.0605552832261956,0.0304166715637199,0.279134676617817,0.318036336101268,0.194664006117846,0.307662560239014
"atx_ebf17f77fb66","Western Grebe",-0.277290028340659,-0.0970311153904002,-0.145010114571794,-0.0507854477682965,0.069132606117718,-0.0759120255825626
"atx_fadb8da1a816","Bonaparte's Gull",0.0437040193485074,0.44142208803741,0.30464413783247,0.425455154007818,0.359243858422572,0.393238883027725
"atx_fc0a9b777dcd","Bald Eagle",-0.0143048651788538,0.0218145619243626,0.163329258932404,0.0285009073562331,-0.0113338653311838,0.064455134443212
"atx_v2_000002","Black Oystercatcher",0.0153079612068881,0.0440810522973369,-0.00405710713411454,0.0320008237908143,0.0288464323729175,0.0223853755441666
"atx_v2_000003","Dunlin",-0.0648898119450448,-0.00605764611205377,-0.0670468532496776,-0.00314284264124226,0.00551098324713576,-0.020183912136825
"atx_v2_000006","Black-bellied Plover",0.0786409784561459,0.0681581880447544,-0.0459071364283548,0.0654136186539459,0.0359048864243698,0.0357280839653324
"atx_v2_000007","Common Raven",0.00779590425050566,0.0203538055636339,0.00232670785536176,0.0176306362681057,0.0148112987305949,0.013549588691374
