"model_id","region","unit_class","outcome","fold","validation_view","prediction_support_rule","n_validation","n_validation_supported","n_validation_unsupported_factor_levels","privacy_suppressed","metric_1_name","metric_1","metric_2_name","metric_2","conditional_observer_or_location_BLUP_used"
"M02","SoG","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",55725,55476,249,FALSE,"log_loss",0.0378438393530942,"brier",0.0064623130571297,FALSE
"M02","SoG","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",57050,57050,0,FALSE,"log_loss",0.0398626743222941,"brier",0.00685730223537097,FALSE
"M02","SoG","species","detection",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",58342,57214,1128,FALSE,"log_loss",0.0425483838394573,"brier",0.00744889441386019,FALSE
"M02","SoG","species","positive_count",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",292,289,3,FALSE,"rmse_log",0.749016016540943,"mae_log",0.571098371358013,FALSE
"M02","SoG","species","positive_count",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",365,360,5,FALSE,"rmse_log",0.842923520839701,"mae_log",0.606537665306661,FALSE
"M02","SoG","species","positive_count",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",394,393,1,FALSE,"rmse_log",0.821490548803081,"mae_log",0.611291875538219,FALSE
"M02","SoG","species","positive_count",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",437,428,9,FALSE,"rmse_log",0.670483011535721,"mae_log",0.568388598662079,FALSE
"M02","WCVI","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2164,1943,221,FALSE,"log_loss",0.37976488878982,"brier",0.0428401566137092,FALSE
"M02","WCVI","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",1795,1795,0,FALSE,"log_loss",0.190857189480201,"brier",0.0473744349497287,FALSE
"M02","WCVI","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2462,2313,149,FALSE,"log_loss",0.338883030602075,"brier",0.0626413033942314,FALSE
"M02","WCVI","species","detection",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2163,2163,0,FALSE,"log_loss",0.7375475886502,"brier",0.0749390688591776,FALSE
"M02","WCVI","species","positive_count",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",102,44,58,FALSE,"rmse_log",1.08114371274292,"mae_log",0.828950077628846,FALSE
"M02","WCVI","species","positive_count",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",116,116,0,FALSE,"rmse_log",1.54447167785491,"mae_log",1.1665179989351,FALSE
"M02","WCVI","species","positive_count",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",171,148,23,FALSE,"rmse_log",1.07516096123434,"mae_log",0.843558783299299,FALSE
"M02","WCVI","species","positive_count",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",159,52,107,FALSE,"rmse_log",0.780814297083024,"mae_log",0.626135657652328,FALSE
"M02","CC","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",211,147,64,FALSE,"log_loss",3.57423187496778,"brier",0.207503345450641,FALSE
"M02","CC","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",210,151,59,FALSE,"log_loss",0.627986695873702,"brier",0.127433224377854,FALSE
"M02","CC","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",220,139,81,FALSE,"log_loss",0.53628705555511,"brier",0.102792838632393,FALSE
"M02","CC","species","detection",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",220,220,0,FALSE,"log_loss",0.261095596146042,"brier",0.045103906165536,FALSE
"M02","CC","species","positive_count",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","CC","species","positive_count",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",54,24,30,FALSE,"rmse_log",0.947093326815291,"mae_log",0.695164011008056,FALSE
"M02","CC","species","positive_count",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","CC","species","positive_count",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","NA","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2107,2052,55,FALSE,"log_loss",0.205473749864299,"brier",0.0358372469818474,FALSE
"M02","NA","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2079,2041,38,FALSE,"log_loss",0.132722279515167,"brier",0.0244876379615961,FALSE
"M02","NA","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2646,2640,6,FALSE,"log_loss",0.158979544429647,"brier",0.0343415021194952,FALSE
"M02","NA","species","detection",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2175,2053,122,FALSE,"log_loss",0.173081150095419,"brier",0.0276463000860726,FALSE
"M02","NA","species","positive_count",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",61,48,13,FALSE,"rmse_log",2.12679676897558,"mae_log",1.7816519526067,FALSE
"M02","NA","species","positive_count",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",43,41,2,FALSE,"rmse_log",0.974088185806137,"mae_log",0.803885619085337,FALSE
"M02","NA","species","positive_count",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",92,92,0,FALSE,"rmse_log",0.829183159934779,"mae_log",0.651792720287185,FALSE
"M02","NA","species","positive_count",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",54,45,9,FALSE,"rmse_log",1.10302689312934,"mae_log",0.76047736931559,FALSE
"M02","SoG","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",46083,46083,0,FALSE,"log_loss",0.126311146925838,"brier",0.0266490040152971,FALSE
"M02","SoG","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",55725,55476,249,FALSE,"log_loss",0.122140103995915,"brier",0.0230053573038916,FALSE
"M02","SoG","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",57050,57050,0,FALSE,"log_loss",0.0988610268111757,"brier",0.0184804777856164,FALSE
"M02","SoG","species","detection",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",58342,57214,1128,FALSE,"log_loss",0.0953937272488181,"brier",0.0193360140108805,FALSE
"M02","SoG","species","positive_count",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",1221,1221,0,FALSE,"rmse_log",1.14265191103269,"mae_log",0.896337560635463,FALSE
"M02","SoG","species","positive_count",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",1217,1191,26,FALSE,"rmse_log",1.26865016875446,"mae_log",1.01106061125591,FALSE
"M02","SoG","species","positive_count",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",988,987,1,FALSE,"rmse_log",1.14359284954929,"mae_log",0.894527333774707,FALSE
"M02","SoG","species","positive_count",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",1123,1106,17,FALSE,"rmse_log",1.13021748234193,"mae_log",0.921720023604599,FALSE
"M02","WCVI","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2164,1943,221,FALSE,"log_loss",0.0632187233729289,"brier",0.00413235135599979,FALSE
"M02","WCVI","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",1795,1795,0,FALSE,"log_loss",0.0793744678970873,"brier",0.00445909205332341,FALSE
"M02","WCVI","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2462,2313,149,FALSE,"log_loss",0.060008085868402,"brier",0.00511091056053962,FALSE
"M02","WCVI","species","detection",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2163,2163,0,FALSE,"log_loss",0.0572128030952389,"brier",0.00412758636704693,FALSE
"M02","WCVI","species","positive_count",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","WCVI","species","positive_count",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","WCVI","species","positive_count",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","WCVI","species","positive_count",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",,,,TRUE,"rmse_log",,"mae_log",,FALSE
"M02","CC","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",211,147,64,FALSE,"log_loss",0.143214069868921,"brier",0.0129096856459019,FALSE
"M02","CC","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",210,151,59,FALSE,"log_loss",1.58588643037125,"brier",0.0860927135099339,FALSE
"M02","CC","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",220,139,81,FALSE,"log_loss",7.24778105445823,"brier",0.424926868020465,FALSE
"M02","CC","species","detection",4,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",220,220,0,FALSE,"log_loss",4.68587679036644,"brier",0.307869058783628,FALSE
"M02","NA","species","detection",1,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2107,2052,55,FALSE,"log_loss",1.65062235043692,"brier",0.090148615996839,FALSE
"M02","NA","species","detection",2,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2079,2041,38,FALSE,"log_loss",0.34769591232961,"brier",0.0789091254027961,FALSE
"M02","NA","species","detection",3,"event_blocked_new_event_generalization","training_overlap_for_fixed_factor_levels",2646,2640,6,FALSE,"log_loss",0.0256001664940823,"brier",0.00414002016720272,FALSE
