"analysis_version","analysis_taxon_id","species","outcome","comparison","primary_comparison","active_estimate","active_standard_error","pre_estimate","pre_standard_error","active_pre_covariance","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","n","full_covariance_used","status","multiplicity_family","sensitivity_id","sensitivity_q_value","primary_estimate","primary_standard_error","primary_conf_low","primary_conf_high","primary_ratio","primary_ratio_conf_low","primary_ratio_conf_high","primary_q_value","primary_status","estimate_difference_from_primary","direction_concordant","model_n","model_event_blocks","model_observer_clusters","model_generalized_locations","retained_checklists","retained_fraction","changed_component"
"editorial_requested_analysis_v1","atx_815c98107028","Mallard","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.209080012684071,0.0331515233429024,0.0836134256406399,0.0354175157424131,0.000684714027288427,0.125466587043431,0.0313687084009245,0.06398504833608,0.186948125750782,1.13367728881767,1.06607645902541,1.20556474566178,6.34128862772177e-05,81526,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre14","binary_any_link",0.000243082730729334,0.0697046046725203,0.0151891819703627,0.0399343550559843,0.0994748542890563,1.07219141413686,1.0407424524699,1.10459069467241,2.0477866820198e-05,"completed",0.0557619823709107,TRUE,81526,57,14049,6454,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_815c98107028","Mallard","conditional_positive_numeric_count","active_minus_pre7",FALSE,0.209080012684071,0.0331515233429024,0.102565239323976,0.0414992958577794,0.000645336216666913,0.106514773360095,0.0391221500343818,0.0298367682949344,0.183192778425256,1.11239436012674,1.03028634483022,1.20104592150613,0.00647663807053643,81526,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre7","binary_any_link",0.0198616900829784,0.0631692675351808,0.0188564335647039,0.026211336871489,0.100127198198873,1.06520712895745,1.02655787508006,1.10531150276674,0.00371717869580766,"completed",0.0433455058249144,TRUE,81526,57,14049,6454,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_82312e6f2848","Common Goldeneye","checklist_reporting","active_minus_pre14",TRUE,0.336848825908205,0.0761764952229237,0.266484667771402,0.0798019571928317,0.00335521790412729,0.0703641581368038,0.0738970566937553,-0.074471411546471,0.215199727820079,1.07289881495711,0.928234010454536,1.24010955661138,0.340999810094455,216892,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre14","binary_any_link",0.606221884612364,-0.00411861618607883,0.0327834507986855,-0.0683729990404433,0.0601357666682856,0.995889853681531,0.933912060299994,1.06198071834219,0.946004757190418,"completed",0.0744827743228826,FALSE,216892,58,29206,22960,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_82312e6f2848","Common Goldeneye","checklist_reporting","active_minus_pre7",FALSE,0.336848825908205,0.0761764952229237,0.284158950253613,0.0944720898295287,0.00317839595031454,0.0526898756545925,0.0914934002022964,-0.126633893565018,0.232013644874203,1.05410269151664,0.881056173893498,1.26113693676578,0.564691445716094,216892,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre7","binary_any_link",0.732572686334392,-0.00409327155541635,0.0398910556070779,-0.0822783038505737,0.074091760739741,0.995915094461911,0.921015600837162,1.07690561861876,0.974989486003189,"completed",0.0567831472100089,FALSE,216892,58,29206,22960,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_82312e6f2848","Common Goldeneye","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.29295326379665,0.0455968366865955,0.0340778590487516,0.0470117086934796,0.00111644336226236,0.258875404747898,0.0453462848046003,0.169998319698186,0.34775248979761,1.29547238506378,1.18530285965215,1.4158817611858,1.1373814668649e-08,21195,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre14","binary_any_link",8.71992457929759e-08,0.178954138889555,0.0212221360508088,0.137359516554961,0.22054876122415,1.19596589458618,1.14724052634937,1.24676071683484,5.19133719770113e-16,"completed",0.0799212658583429,TRUE,21195,55,4512,2398,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_82312e6f2848","Common Goldeneye","conditional_positive_numeric_count","active_minus_pre7",FALSE,0.29295326379665,0.0455968366865955,0.0115351057454569,0.0561434529358469,0.00105822581283503,0.281418158051193,0.0558095618842654,0.172033426765073,0.390802889337312,1.32500755068375,1.18771753410535,1.47816712219491,4.59555805870567e-07,21195,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre7","binary_any_link",3.52326117834101e-06,0.193664839525662,0.0252594017933635,0.144157321739643,0.243172357311681,1.21368943405379,1.15506581119447,1.27528841045907,2.698837489954e-13,"completed",0.0877533185255307,TRUE,21195,55,4512,2398,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_8608f2ed61cf","Pigeon Guillemot","checklist_reporting","active_minus_pre14",TRUE,-0.0376911748498636,0.160474090309012,-0.0761891576298089,0.171281658392207,0.0166178850418338,0.0384979827799453,0.14782953046811,-0.251242572789017,0.328238538348908,1.03924863196269,0.777833667390544,1.38852014809233,0.794538687934729,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre14","binary_any_link",0.878606157613763,-0.0104214652897733,0.0608818189156138,-0.129747637677666,0.108904707098119,0.989632650029501,0.87831705708661,1.1150560883481,0.942639171251674,"completed",0.0489194480697186,FALSE,217200,58,29248,22980,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_8608f2ed61cf","Pigeon Guillemot","checklist_reporting","active_minus_pre7",FALSE,-0.0376911748498636,0.160474090309012,-0.146449090910599,0.202808490419443,0.0158063880192752,0.108757916060736,0.187804263551624,-0.259331676643516,0.476847508764987,1.11489242012096,0.771567069823231,1.61098776380898,0.56252002215404,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre7","binary_any_link",0.732572686334392,-0.0402187958815402,0.0781251025682663,-0.19334118320384,0.112903591440759,0.960579245375614,0.824200722719522,1.11952399605015,0.856507549088224,"completed",0.148976711942276,FALSE,217200,58,29248,22980,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_8608f2ed61cf","Pigeon Guillemot","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0246367804533163,0.10274448202267,-0.0459059973693307,0.11046924602068,0.00703022390959287,0.070542777822647,0.093270762210343,-0.112264556920225,0.253350112565519,1.07309047292282,0.893807763189531,1.28833425989558,0.449455849821824,6342,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre14","binary_any_link",0.544078133994839,0.017436446606554,0.0389576693039718,-0.0589191821508522,0.0937920753639603,1.01758934883943,0.942782959769299,1.09833135202702,0.771927823788218,"completed",0.053106331216093,TRUE,6342,53,2021,1094,217200,1,"each joint period-by-zone additive count replaced by 0/1"
"editorial_requested_analysis_v1","atx_8608f2ed61cf","Pigeon Guillemot","conditional_positive_numeric_count","active_minus_pre7",FALSE,0.0246367804533163,0.10274448202267,0.0371839893709594,0.129553694459356,0.00682868990488971,-0.0125472089176432,0.116975247485934,-0.241814481072733,0.216720063237447,0.987531179115313,0.785201833842315,1.24199637302519,0.914579706523607,6342,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre7","binary_any_link",0.93490370000191,-0.000638793111796204,0.0517100220885142,-0.101988574045055,0.100710987821462,0.999361410873087,0.903039869702795,1.10595696053923,0.990143686315964,"completed",-0.011908415805847,TRUE,6342,53,2021,1094,217200,1,"each joint period-by-zone additive count replaced by 0/1"
