"analysis_version","analysis_taxon_id","species","outcome","comparison","primary_comparison","active_estimate","active_standard_error","pre_estimate","pre_standard_error","active_pre_covariance","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_covariance_used","status","multiplicity_family"
"editorial_requested_analysis_v1","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","active_minus_pre14",TRUE,-0.0293733597909755,0.0369417261401285,-0.0498123005155781,0.0388697781739964,0.000721268825695617,0.0204389407246026,0.0378551599404455,-0.053755809387674,0.0946336908368791,1.02064924623713,0.947663488777562,1.09925611377959,0.589248874712894,0.744314368058393,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre14"
"editorial_requested_analysis_v1","atx_04afbeb21fb0","Hooded Merganser","checklist_reporting","active_minus_pre7",FALSE,-0.0293733597909755,0.0369417261401285,-0.072923593590463,0.0478987371124497,0.000686738869151586,0.0435502337994875,0.0478069284610154,-0.0501496241955856,0.137250091794561,1.04451246282379,0.951087108210501,1.14711499669781,0.362316072420283,0.644117462080503,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre7"
"editorial_requested_analysis_v1","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.00857087737207889,0.0196523865182074,-0.0104874809679298,0.0199822682313394,0.000195337169494903,0.0190583583400087,0.0198704051428351,-0.0198869200981676,0.0580036367781851,1.01924112810213,0.980309520343677,1.05971884966567,0.337491822738619,0.500794317612144,20340,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre14"
"editorial_requested_analysis_v1","atx_04afbeb21fb0","Hooded Merganser","conditional_positive_numeric_count","active_minus_pre7",FALSE,0.00857087737207889,0.0196523865182074,0.0152742496150644,0.0249871101462983,0.000182420604344406,-0.00670337224298553,0.0254112329617327,-0.0565084736507387,0.0431017291647676,0.993319045237853,0.945058476365761,1.04404409918267,0.791937401039804,0.855694460056022,20340,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre7"
"editorial_requested_analysis_v1","atx_04cf65098f13","Red-throated Loon","checklist_reporting","active_minus_pre14",TRUE,0.0069774910185714,0.12938591412509,0.00826765082701697,0.13519369390277,0.00783689892125753,-0.00129015980844558,0.139083614428681,-0.273889034928316,0.271308715311424,0.998710672089921,0.760416450245369,1.31167994356836,0.992598813068013,0.992598813068013,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre14"
"editorial_requested_analysis_v1","atx_04cf65098f13","Red-throated Loon","checklist_reporting","active_minus_pre7",FALSE,0.0069774910185714,0.12938591412509,-0.0266391175053095,0.174306652330797,0.00808622189599529,0.0336166085238809,0.175929190382847,-0.311198268455789,0.378431485503551,1.03418803183515,0.732568616221307,1.45999277270152,0.84846265465891,0.969671605324469,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre7"
"editorial_requested_analysis_v1","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.014048234380549,0.0902679579009781,-0.0297913444077954,0.0977077634749437,0.00437607457695043,0.0438395787883444,0.0945672359381801,-0.14150879776799,0.229187955344679,1.04481473099849,0.868047538670448,1.25757838537675,0.642947931823246,0.771927823788218,1488,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre14"
"editorial_requested_analysis_v1","atx_04cf65098f13","Red-throated Loon","conditional_positive_numeric_count","active_minus_pre7",FALSE,0.014048234380549,0.0902679579009781,-0.0816559825974251,0.125174793318775,0.00469654591522332,0.0957042169779741,0.120099713886271,-0.139686896792683,0.331095330748631,1.10043352629814,0.869630476868231,1.39249253333661,0.425524804431335,0.593155787995195,1488,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre7"
"editorial_requested_analysis_v1","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","active_minus_pre14",TRUE,-0.236116643546496,0.0652734907422462,-0.203427610001102,0.0714750947688625,0.00250330754544507,-0.0326890335453941,0.066050758322716,-0.162146141009477,0.0967680739186883,0.967839478410006,0.850316929285178,1.10160485309449,0.620665225313038,0.744798270375646,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre14"
"editorial_requested_analysis_v1","atx_08bb40b40c0a","Ring-billed Gull","checklist_reporting","active_minus_pre7",FALSE,-0.236116643546496,0.0652734907422462,-0.208228644955587,0.0854275678075779,0.00240812079223261,-0.0278879985909093,0.0821112437534057,-0.188823079073374,0.133047081891555,0.972497281767713,0.827932972406589,1.14230377888748,0.734130074994241,0.927322199992726,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre7"
"editorial_requested_analysis_v1","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.180405787943444,0.06222551633777,-0.207630617372999,0.067905693920501,0.00214637800129293,0.0272248294295547,0.0647336245527855,-0.0996507432826425,0.154100402141752,1.02759881124831,0.9051534937749,1.16660801084146,0.674071259598625,0.775181948538418,4549,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre14"
"editorial_requested_analysis_v1","atx_08bb40b40c0a","Ring-billed Gull","conditional_positive_numeric_count","active_minus_pre7",FALSE,-0.180405787943444,0.06222551633777,-0.200367898819219,0.0798583554616068,0.00202401584785068,0.0199621108757747,0.078748588081521,-0.134382285597386,0.174306507348936,1.02016268622373,0.874255785317168,1.19042038250357,0.799888299617586,0.855694460056022,4549,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre7"
"editorial_requested_analysis_v1","atx_1328b44be502","Black Scoter","checklist_reporting","active_minus_pre14",TRUE,0.014581384562055,0.0682231984790415,-0.111591660258009,0.0685402639214461,0.00248978177660906,0.126173044820064,0.0661257063169389,-0.00343095801340909,0.255777047653537,1.13447846692048,0.996574920997567,1.29146476074063,0.0563810587692005,0.142436358995875,217178,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre14"
"editorial_requested_analysis_v1","atx_1328b44be502","Black Scoter","checklist_reporting","active_minus_pre7",FALSE,0.014581384562055,0.0682231984790415,-0.0816149081110662,0.0820186353771947,0.00261205915204011,0.0961962926731212,0.0784687393537559,-0.0575996103725011,0.249992195718743,1.10097515614107,0.944027850736974,1.28401539583135,0.220229281814627,0.422840221084084,217178,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre7"
"editorial_requested_analysis_v1","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.111951276228528,0.0699155297104063,0.0999933295678358,0.0693701941337182,0.0025421700057536,0.011957946660692,0.0679416302227821,-0.121205201626899,0.145121094948283,1.01202972874161,0.885852162636033,1.15617956929641,0.860291401534416,0.87940898823518,1684,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre14"
"editorial_requested_analysis_v1","atx_1328b44be502","Black Scoter","conditional_positive_numeric_count","active_minus_pre7",FALSE,0.111951276228528,0.0699155297104063,0.0756712936044093,0.083020409928305,0.00267331725260554,0.0362799826241185,0.0802118149285966,-0.120932285770523,0.19349225101876,1.03694613275079,0.886093958731115,1.21347998328144,0.651051270927246,0.767906627247521,1684,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre7"
"editorial_requested_analysis_v1","atx_136b0e66254b","Common Murre","checklist_reporting","active_minus_pre14",TRUE,-0.117772535922523,0.0851506057397545,0.0184048953763118,0.0920450298101956,0.00334713480922261,-0.136177431298835,0.095019174655233,-0.322411591463813,0.0500567288661432,0.872687776625303,0.724399972117168,1.05133073548494,0.15181286676665,0.291480704191967,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre14"
"editorial_requested_analysis_v1","atx_136b0e66254b","Common Murre","checklist_reporting","active_minus_pre7",FALSE,-0.117772535922523,0.0851506057397545,-0.0365998376890191,0.123636742643642,0.00341302548699719,-0.0811726982335039,0.125342007385325,-0.326838518458695,0.164493121991688,0.922034443974421,0.721200194142941,1.17879546175874,0.517237429964105,0.827579887942568,217200,TRUE,"completed","support_qualified_49_species__checklist_reporting__active_minus_pre7"
"editorial_requested_analysis_v1","atx_136b0e66254b","Common Murre","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.0966784232932358,0.106970557224851,0.0662099882069557,0.110626298288653,0.00476807632906369,-0.162888411500191,0.118931599366686,-0.395990062882642,0.0702132398822595,0.849685998310505,0.673013383717135,1.07273690715839,0.170812605821044,0.306930551311193,2023,TRUE,"completed","support_qualified_49_species__conditional_positive_numeric_count__active_minus_pre14"
