"analysis_version","analysis_taxon_id","species","outcome","comparison","primary_comparison","active_estimate","active_standard_error","pre_estimate","pre_standard_error","active_pre_covariance","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_covariance_used","status","multiplicity_family"
"editorial_requested_analysis_v1","atx_1812dd827ede","Surfbird","finite_numeric_vs_x","active_minus_pre14",TRUE,,,,,,,,,,,,,,,1077,TRUE,"failed_insufficient_support","support_qualified_49_species__finite_numeric_vs_x__active_minus_pre14"
"editorial_requested_analysis_v1","atx_1812dd827ede","Surfbird","finite_numeric_vs_x","active_minus_pre7",FALSE,,,,,,,,,,,,,,,1077,TRUE,"failed_insufficient_support","support_qualified_49_species__finite_numeric_vs_x__active_minus_pre7"
"editorial_requested_analysis_v1","atx_1930f23cc4f8","Surf Scoter","finite_numeric_vs_x","active_minus_pre14",TRUE,-0.0420158616604832,0.157631612547218,-0.204228687492189,0.155760429380263,0.0147239410842937,0.162212825831706,0.140218238707997,-0.112609872011609,0.43703552367502,1.17611052138692,0.893499171163914,1.54811107067412,0.247329696888941,0.932556520034105,17152,TRUE,"completed","support_qualified_49_species__finite_numeric_vs_x__active_minus_pre14"
"editorial_requested_analysis_v1","atx_1930f23cc4f8","Surf Scoter","finite_numeric_vs_x","active_minus_pre7",FALSE,-0.0420158616604832,0.157631612547218,0.00441165435784821,0.180625029714163,0.0151645540293286,-0.0464275160183314,0.1647544189842,-0.369340243521185,0.276485211484523,0.954633753717747,0.691190197451139,1.31848745410146,0.778098170665469,0.97658516932772,17152,TRUE,"completed","support_qualified_49_species__finite_numeric_vs_x__active_minus_pre7"
"editorial_requested_analysis_v1","atx_3083477933a8","White-winged Scoter","finite_numeric_vs_x","active_minus_pre14",TRUE,-0.305117890503974,0.223779868154505,-0.189086936685282,0.223297497275749,0.0292555324696299,-0.116030953818691,0.203539030020291,-0.514960122106679,0.282898214469296,0.890447660115457,0.597524422158302,1.32697008858833,0.56863202441104,0.932556520034105,4930,TRUE,"completed_with_singular_warning","support_qualified_49_species__finite_numeric_vs_x__active_minus_pre14"
"editorial_requested_analysis_v1","atx_3083477933a8","White-winged Scoter","finite_numeric_vs_x","active_minus_pre7",FALSE,-0.305117890503974,0.223779868154505,-0.123930128966443,0.254198805517059,0.0303796574055348,-0.18118776153753,0.232239418072121,-0.636368656749428,0.273993133674367,0.834278698537707,0.529210684651579,1.31520577157662,0.435286928827466,0.97658516932772,4930,TRUE,"completed_with_singular_warning","support_qualified_49_species__finite_numeric_vs_x__active_minus_pre7"
"editorial_requested_analysis_v1","atx_35518e24dfdd","Common Merganser","finite_numeric_vs_x","active_minus_pre14",TRUE,-0.384999494759069,0.230189941147146,-0.249118748040716,0.261005744156133,0.0347688760087525,-0.135880746718353,0.227098338766092,-0.580985311648769,0.309223818212063,0.87294672804375,0.559346963879054,1.36236725898643,0.549616832180252,0.932556520034105,28129,TRUE,"completed_with_singular_warning","support_qualified_49_species__finite_numeric_vs_x__active_minus_pre14"
"editorial_requested_analysis_v1","atx_35518e24dfdd","Common Merganser","finite_numeric_vs_x","active_minus_pre7",FALSE,-0.384999494759069,0.230189941147146,-0.135068566988638,0.295504856820534,0.0334949826956175,-0.249930927770431,0.270777702218289,-0.780645471934789,0.280783616393926,0.778854578435743,0.458110218563414,1.32416704489282,0.356001222506754,0.97658516932772,28129,TRUE,"completed_with_singular_warning","support_qualified_49_species__finite_numeric_vs_x__active_minus_pre7"
"editorial_requested_analysis_v1","atx_35707a9578d5","Pelagic Cormorant","finite_numeric_vs_x","active_minus_pre14",TRUE,-0.514438306112269,0.291202619255914,-0.442872047957145,0.307277966533235,0.0460176665730507,-0.0715662581551234,0.29526832040062,-0.650281531915973,0.507149015605726,0.93093459354264,0.521898824900049,1.66055023714678,0.808488032268024,0.972690164428158,19147,TRUE,"completed_with_singular_warning","support_qualified_49_species__finite_numeric_vs_x__active_minus_pre14"
"editorial_requested_analysis_v1","atx_35707a9578d5","Pelagic Cormorant","finite_numeric_vs_x","active_minus_pre7",FALSE,-0.514438306112269,0.291202619255914,-0.400093513433813,0.344867347468624,0.0463364228635065,-0.114344792678456,0.333256068338652,-0.767514684251633,0.538825098894722,0.891950364902532,0.464165233135236,1.7139919077437,0.731512766883384,0.97658516932772,19147,TRUE,"completed_with_singular_warning","support_qualified_49_species__finite_numeric_vs_x__active_minus_pre7"
