"model_version_id","analysis_taxon_id","unit_label","region","outcome","band","band_label","contrast","contrast_type","period","minimum_day","maximum_day","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","n","status","stage","bh_family_id","bh_family_size","p_value_bh_13","significant_nominal_0_05","significant_bh_0_05"
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_2_4","2–<4 km","within_band_2_4_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,0.0753870793437077,0.035999243596542,0.00482985842380113,0.145944300263614,1.07830145833469,1.00484154099081,1.15713173432322,0.0362484424853554,217199,"completed","s2_detectability","bald_eagle__detection__late_egg__13_bands",13,0.202729485301797,TRUE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_2_4","2–<4 km","within_band_2_4_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,0.113800837203921,0.0362076021255574,0.0428352410712724,0.184766433336569,1.12052893498355,1.04376591092973,1.20293744122852,0.00167220416685743,217199,"completed","s2_detectability","bald_eagle__detection__active_0_14__13_bands",13,0.00724621805638218,TRUE,TRUE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,0.015204823584756,0.0389545101227976,-0.0611446132913282,0.0915542604608403,1.01532100500737,0.940687194067994,1.09587623782902,0.696298053268569,217199,"completed","s2_detectability","bald_eagle__detection__early_pre__13_bands",13,0.853193448655246,FALSE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,-0.0238946271670918,0.0402766742653035,-0.102835458144138,0.0550462038099543,0.976388589169127,0.902275423340729,1.05658943200503,0.553005711957526,217199,"completed","s2_detectability","bald_eagle__detection__immediate_pre__13_bands",13,0.89863428193098,FALSE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,0.0828298504066443,0.0489198182361808,-0.0130512314665158,0.178710932279804,1.08635694962863,0.987033566547836,1.19567506314308,0.0904220171635848,217199,"completed","s2_detectability","bald_eagle__detection__spawn_start__13_bands",13,0.1959143705211,FALSE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,-0.00752202766302435,0.0344240515244549,-0.0749919288529072,0.0599478735268584,0.992506191986399,0.927750974312914,1.06178119819371,0.827031130291498,217199,"completed","s2_detectability","bald_eagle__detection__early_egg__13_bands",13,0.895950391149123,FALSE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.0630217660350058,0.0315631581256877,-0.124884419199696,-0.00115911287031509,0.938923036835032,0.882598908177692,0.99884155864153,0.0458591314085031,217199,"completed","s2_detectability","bald_eagle__detection__late_egg__13_bands",13,0.202729485301797,TRUE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,0.0165718064888873,0.0316644490469579,-0.0454893732334537,0.0786329862112283,1.01670988053169,0.955529756709654,1.08180721103892,0.600725942208598,217199,"completed","s2_detectability","bald_eagle__detection__active_0_14__13_bands",13,0.828961803901285,FALSE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,0.0234088485863893,0.0360777959329681,-0.0473023320838139,0.0941200292565925,1.02368498616024,0.953798989958954,1.0986916131406,0.516439444176843,217199,"completed","s2_detectability","bald_eagle__detection__early_pre__13_bands",13,0.803822085523509,FALSE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,0.0266651848177892,0.0369567539997903,-0.0457687220073064,0.0990990916428849,1.02702388200357,0.955262867923001,1.10417570872304,0.47058718247906,217199,"completed","s2_detectability","bald_eagle__detection__immediate_pre__13_bands",13,0.89863428193098,FALSE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,-0.0480380021648527,0.0446158815777312,-0.13548352319571,0.0394075188660045,0.953097566618434,0.873293551896879,1.04019429608848,0.281613486320993,217199,"completed","s2_detectability","bald_eagle__detection__spawn_start__13_bands",13,0.40677503579699,FALSE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,0.00913534251537842,0.0318569357410946,-0.0533031041949739,0.0715737892257307,1.00917719711175,0.948092598082541,1.07419741197228,0.774294947841059,217199,"completed","s2_detectability","bald_eagle__detection__early_egg__13_bands",13,0.895950391149123,FALSE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,0.0239571642618529,0.0292859749483149,-0.0334422918889866,0.0813566204126923,1.0242464425985,0.967110719753863,1.08475767432573,0.413333073910498,217199,"completed","s2_detectability","bald_eagle__detection__late_egg__13_bands",13,0.537332996083648,FALSE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,-0.00611088273268321,0.0292195048114034,-0.0633800598091288,0.0511582943437624,0.993907750736235,0.93858668681621,1.0524894832298,0.834341207183249,217199,"completed","s2_detectability","bald_eagle__detection__active_0_14__13_bands",13,0.834341207183249,FALSE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_8_10","8–<10 km","within_band_8_10_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,-0.0608726260353165,0.0350332873669264,-0.129536607534534,0.00779135546390117,0.940943083794468,0.878502428019621,1.00782178705699,0.0822874306958318,217199,"completed","s2_detectability","bald_eagle__detection__early_pre__13_bands",13,0.356578866348604,FALSE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_8_10","8–<10 km","within_band_8_10_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,-0.13427187412299,0.0354400140775663,-0.203733025326613,-0.0648107229193679,0.874352318516513,0.815680108051321,0.937244845557888,0.000151432616918432,217199,"completed","s2_detectability","bald_eagle__detection__immediate_pre__13_bands",13,0.00196862401993962,TRUE,TRUE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_8_10","8–<10 km","within_band_8_10_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,-0.0974195554859983,0.0440525488246238,-0.183760964609453,-0.0110781463625433,0.907175315897971,0.832134689695883,0.988982990332191,0.02700540302877,217199,"completed","s2_detectability","bald_eagle__detection__spawn_start__13_bands",13,0.11702341312467,TRUE,FALSE
"SOG_STAGED_REFIT_S2_DISTANCE_BALD_EAGLE_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_8_10","8–<10 km","within_band_8_10_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,-0.090459081641546,0.0301154561514969,-0.149484291076475,-0.0314338722066168,0.913511712535917,0.86115196568382,0.969055035806188,0.00266680750807274,217199,"completed","s2_detectability","bald_eagle__detection__early_egg__13_bands",13,0.0173342488024728,TRUE,TRUE
