"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","comparison","primary_comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status","multiplicity_family","analysis_variant","offset_days","placebo_seed"
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_1930f23cc4f8","Surf Scoter","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.0564173492827266,0.11283040506719,-0.277560879575485,0.164726181010032,0.945144598145992,0.757629439040313,1.1790702226884,0.617061680489711,0.999437024583785,217183,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_1930f23cc4f8","Surf Scoter","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,16632,TRUE,"failed_insufficient_support","s2_detectability_placebo_p90__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_3083477933a8","White-winged Scoter","core_species","checklist_reporting","active_minus_pre14",TRUE,0.0509454986100239,0.124141492254175,-0.192367355195218,0.294258352415266,1.0522655417857,0.825003743406589,1.34213060156244,0.681525365834774,0.999437024583785,217199,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_3083477933a8","White-winged Scoter","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,4706,TRUE,"failed_insufficient_support","s2_detectability_placebo_p90__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_35518e24dfdd","Common Merganser","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.111236010601661,0.0671804203834313,-0.242907215019447,0.0204351938161246,0.894727558818979,0.784344285764732,1.02064542196499,0.0977663367968818,0.532283389227468,217093,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_35518e24dfdd","Common Merganser","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0704719818126645,0.0620299133953572,-0.0511044144063742,0.192048378031703,1.07301450508812,0.950179452929117,1.21172913661752,0.255916083158325,0.610758930239673,27776,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_35707a9578d5","Pelagic Cormorant","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.0876670379596701,0.0756592325097031,-0.23595640877663,0.06062233285729,0.916065841101257,0.789815102188953,1.06249756798369,0.246574797783469,0.794626802092877,217200,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_35707a9578d5","Pelagic Cormorant","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.0466716356986113,0.0455348356152024,-0.13591827354636,0.0425750021491371,0.954400737274112,0.872913969736689,1.0434943177552,0.305379465119837,0.610758930239673,18881,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_40f730f5ad72","Long-tailed Duck","core_species","checklist_reporting","active_minus_pre14",TRUE,1.47840842597996,0.748368898845478,0.0116323370929208,2.94518451486699,4.38595954365355,1.01170025582175,19.014170459946,0.0482105762246302,0.337474033572411,217200,TRUE,"completed","s2_detectability_placebo_p90__fixed_49_species__checklist_reporting__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","atx_40f730f5ad72","Long-tailed Duck","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,,,,,,,,,,2946,TRUE,"failed_insufficient_support","s2_detectability_placebo_p90__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","placebo_offset_p90_s2_detectability",90,20260727
