"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","comparison","primary_comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status","multiplicity_family","reporting_role"
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","ctl_c7322190c88f","American Robin","terrestrial_attention_displacement","checklist_reporting","active_minus_pre14",TRUE,-0.0930746334492814,0.0234860639318091,-0.139106472894233,-0.0470427940043303,0.911125497319931,0.870135377693904,0.954046569243758,7.4022206081882e-05,0.000148044412163764,217176,TRUE,"completed","terrestrial_displacement_2_species_s2__checklist_reporting__active_minus_pre14","terrestrial_attention_displacement_not_negative_control"
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","ctl_c7322190c88f","American Robin","terrestrial_attention_displacement","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.0302421263804671,0.0103274077093845,-0.050483473544522,-0.0100007792164123,0.970210591528008,0.950769641394637,0.990049062286389,0.00340780857590846,0.00681561715181692,125407,TRUE,"completed","terrestrial_displacement_2_species_s2__conditional_positive_numeric_count__active_minus_pre14","terrestrial_attention_displacement_not_negative_control"
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","ctl_c0ffb64cc4d8","Chestnut-backed Chickadee","terrestrial_attention_displacement","checklist_reporting","active_minus_pre14",TRUE,-0.0536113855544855,0.0254190465493933,-0.103431801312644,-0.00379096979632743,0.947800363854958,0.90173751795995,0.99621620685798,0.0349356980184672,0.0349356980184672,217183,TRUE,"completed","terrestrial_displacement_2_species_s2__checklist_reporting__active_minus_pre14","terrestrial_attention_displacement_not_negative_control"
"post_stage4a_staged_refit_v1_s2_detectability","s2_detectability","ctl_c0ffb64cc4d8","Chestnut-backed Chickadee","terrestrial_attention_displacement","conditional_positive_numeric_count","active_minus_pre14",TRUE,-0.0127084774699756,0.00921706115157288,-0.0307735853703617,0.00535663043041052,0.987371934232615,0.969695101380119,1.00537100282627,0.167956642404108,0.167956642404108,72498,TRUE,"completed","terrestrial_displacement_2_species_s2__conditional_positive_numeric_count__active_minus_pre14","terrestrial_attention_displacement_not_negative_control"
