"offset_days","outcome","positive_bh_q_lt_0_05","negative_bh_q_lt_0_05","estimable_species","real_start_anchor_positive_bh","positive_tally_fraction_of_real"
90,"checklist_reporting",0,1,49,14,0
90,"conditional_positive_numeric_count",0,0,18,19,0
