"amendment_version","stage","analysis_variant","outcome","engine","n","converged","singular_fit","rank_deficient","convergence_message","status"
"post_stage4a_staged_refit_stage2_v1","s2_detectability","real_start_anchor_s2_detectability","log_duration_minutes","lme4_lmer_REML",217200,TRUE,FALSE,FALSE,"","completed"
"post_stage4a_staged_refit_stage2_v1","s2_detectability","real_start_anchor_s2_detectability","log_effort_distance_plus_one","lme4_lmer_REML",217200,TRUE,FALSE,FALSE,"","completed"
"post_stage4a_staged_refit_stage2_v1","s2_detectability","real_start_anchor_s2_detectability","number_observers","lme4_lmer_REML",217200,TRUE,FALSE,FALSE,"","completed"
