zone,checklists,traveling,frac_traveling,frac_travel_gt_1km,frac_travel_gt_2p5km,frac_travel_gt_4km
near,26123,17336,0.664,0.356,0.118,0.029
reference,81707,56450,0.691,0.367,0.145,0.031
