"model_version_id","analysis_taxon_id","unit_label","region","outcome","band","band_label","contrast","contrast_type","period","minimum_day","maximum_day","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","n","status"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,0.0692066318027213,0.0486543747918902,-0.0261541904796969,0.16456745408514,1.07165762481872,0.974184867995566,1.17888308734982,0.154906292460117,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,-0.0208812037664428,0.0343573005428352,-0.0882202754364183,0.0464578679035327,0.979335299004188,0.915559179311859,1.047553942495,0.543342592645207,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.0550064059520948,0.0314322359282934,-0.116612456325116,0.00659964442092618,0.946479084834388,0.889930013090368,1.00662147006157,0.0801183517298838,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,0.00314221905200099,0.0315968052503414,-0.0587863812651942,0.0650708193691962,1.00314716099716,0.942908170495204,1.0672346025893,0.920783076599721,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,0.0222539456686414,0.0359513694560906,-0.0482094436601897,0.0927173349974724,1.02250341181602,0.952934180152421,1.0971515650831,0.535915479782526,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,0.029041892569408,0.0370421075528748,-0.0435593041456858,0.101643089284502,1.02946772061973,0.957375776054898,1.10698830522448,0.433026166720317,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,-0.0336589603023995,0.044864327442687,-0.121591426280678,0.054273505675879,0.966901200107584,0.885510090753769,1.05577332266612,0.453110879377062,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,0.019413043773526,0.0316856308362492,-0.0426896514929543,0.0815157390400062,1.01960270220226,0.958208722572783,1.08493029321091,0.540090214542283,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,0.018534260986175,0.0291304626995553,-0.0385603967579407,0.0756289187302908,1.0187070864811,0.962173590819427,1.07856226563339,0.524613396966138,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,0.00526050935327917,0.0291105397316254,-0.0517951000912289,0.0623161187977872,1.00527437012686,0.949523404170759,1.0642987363924,0.85659672678292,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_8_10","8–10 km","within_band_8_10_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,-0.0977531803237758,0.0345264215460037,-0.165423723068991,-0.0300826375785608,0.906872710161571,0.847534508070635,0.970365341592971,0.00463654176057007,217199,"completed"
"SOG_BALD_EAGLE_DISTANCE_BAND_v1","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_8_10","8–10 km","within_band_8_10_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,-0.12253739631347,0.0351229998333674,-0.191377211015877,-0.0536975816110636,0.884672820822749,0.825821020605418,0.947718670722034,0.000485179843315884,217199,"completed"
