"outcome","row_coefficient","column_coefficient","covariance"
"detection","db_band_0_2_baseline","db_band_0_2_baseline",0.0011554528388071
"detection","db_band_2_4_baseline","db_band_0_2_baseline",-0.000198318340214404
"detection","db_band_4_6_baseline","db_band_0_2_baseline",-0.000124276414263776
"detection","db_band_6_8_baseline","db_band_0_2_baseline",-1.71982296230842e-05
"detection","db_band_8_10_baseline","db_band_0_2_baseline",-2.10159093289917e-05
"detection","db_band_10_20_baseline","db_band_0_2_baseline",-2.4935091892836e-05
"detection","db_band_0_2_early_pre","db_band_0_2_baseline",-3.7181507743002e-05
"detection","db_band_2_4_early_pre","db_band_0_2_baseline",1.5831460799752e-05
"detection","db_band_4_6_early_pre","db_band_0_2_baseline",1.14535919745366e-05
"detection","db_band_6_8_early_pre","db_band_0_2_baseline",7.21950211067057e-06
"detection","db_band_8_10_early_pre","db_band_0_2_baseline",-1.05262438359307e-05
"detection","db_band_10_20_early_pre","db_band_0_2_baseline",2.01438231234422e-06
"detection","db_band_0_2_immediate_pre","db_band_0_2_baseline",-2.07663846918071e-05
"detection","db_band_2_4_immediate_pre","db_band_0_2_baseline",1.99755109136199e-05
"detection","db_band_4_6_immediate_pre","db_band_0_2_baseline",9.48362119617343e-06
"detection","db_band_6_8_immediate_pre","db_band_0_2_baseline",1.52913327861555e-06
"detection","db_band_8_10_immediate_pre","db_band_0_2_baseline",-1.37225714702195e-07
"detection","db_band_10_20_immediate_pre","db_band_0_2_baseline",-3.38343972721563e-07
"detection","db_band_0_2_spawn_start","db_band_0_2_baseline",3.06868645954332e-06
"detection","db_band_2_4_spawn_start","db_band_0_2_baseline",7.15326623978247e-06
"detection","db_band_4_6_spawn_start","db_band_0_2_baseline",4.18614304155111e-06
"detection","db_band_6_8_spawn_start","db_band_0_2_baseline",-1.87986095662666e-06
"detection","db_band_8_10_spawn_start","db_band_0_2_baseline",1.91658813712459e-06
"detection","db_band_10_20_spawn_start","db_band_0_2_baseline",-3.35821933198521e-07
"detection","db_band_0_2_early_egg","db_band_0_2_baseline",2.17596395495076e-05
"detection","db_band_2_4_early_egg","db_band_0_2_baseline",-1.16713032372935e-06
"detection","db_band_4_6_early_egg","db_band_0_2_baseline",8.95758703138536e-07
"detection","db_band_6_8_early_egg","db_band_0_2_baseline",-3.37061401238513e-06
"detection","db_band_8_10_early_egg","db_band_0_2_baseline",1.36348603802848e-07
"detection","db_band_10_20_early_egg","db_band_0_2_baseline",1.22310609822284e-07
"detection","db_band_0_2_late_egg","db_band_0_2_baseline",1.82809151897195e-05
"detection","db_band_2_4_late_egg","db_band_0_2_baseline",4.95443109067202e-08
"detection","db_band_4_6_late_egg","db_band_0_2_baseline",3.0705858664993e-06
"detection","db_band_6_8_late_egg","db_band_0_2_baseline",-1.84804117021756e-06
"detection","db_band_8_10_late_egg","db_band_0_2_baseline",-2.56689955308734e-06
"detection","db_band_10_20_late_egg","db_band_0_2_baseline",1.10383389207069e-06
"detection","db_band_0_2_baseline","db_band_2_4_baseline",-0.000198318340214404
"detection","db_band_2_4_baseline","db_band_2_4_baseline",0.000735076714910051
"detection","db_band_4_6_baseline","db_band_2_4_baseline",-0.000144696205987743
"detection","db_band_6_8_baseline","db_band_2_4_baseline",-3.70212829628412e-05
"detection","db_band_8_10_baseline","db_band_2_4_baseline",-1.8781702103075e-05
"detection","db_band_10_20_baseline","db_band_2_4_baseline",-1.93405750719754e-05
"detection","db_band_0_2_early_pre","db_band_2_4_baseline",-7.26394063782504e-06
"detection","db_band_2_4_early_pre","db_band_2_4_baseline",-2.65760827450213e-05
