"band","band_label","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","species","outcome","contrast","bh_family_id","bh_family_size","p_value_bh_13","significant_bh_0_05"
"band_6_8","6-<8 km",-0.0372859116780181,0.0173572240016851,-0.071305445592915,-0.0032663777631212,0.963400648472464,0.931177424644555,0.996738951045179,0.0317018827207089,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","bald_eagle__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.103031118842304,FALSE
"band_8_10","8-<10 km",-0.0160042213830626,0.0180965947859942,-0.0514728954064266,0.0194644526403014,0.984123165685653,0.949829394353,1.0196551201691,0.37649246094501,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","bald_eagle__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.511891124664163,FALSE
"band_10_12","10-<12 km",0.0108486317864848,0.0161244794241161,-0.0207547671542398,0.0424520307272095,1.0109076915717,0.979459130669868,1.04336600566469,0.501071300838607,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","bald_eagle__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.560410840771185,FALSE
"band_12_14","12-<14 km",0.0279044506967939,0.0199073781827963,-0.0111132935681053,0.0669221949616931,1.02829742662467,0.988948230954584,1.06921228483543,0.161000668370104,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","bald_eagle__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.418601737762272,FALSE
"band_14_16","14-<16 km",-0.0113736154602367,0.017565174355951,-0.0458007245800671,0.0230534936595937,0.988690819586242,0.955232297542732,1.02332127928326,0.517302314558017,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","bald_eagle__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.560410840771185,FALSE
"band_16_18","16-<18 km",-0.01672840083859,0.0173473548016316,-0.0507285914768258,0.0172717897996459,0.983410741899825,0.950536619266159,1.01742180962012,0.334885526708842,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","bald_eagle__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.511891124664163,FALSE
"band_18_20","18-<20 km",-0.0164965504014848,0.0185148486893943,-0.0527849870119062,0.0197918862089366,0.983638772543669,0.948583948426283,1.01998904414985,0.372934379492946,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","bald_eagle__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.511891124664163,FALSE
"band_20_22","20-<22 km",-0.0162012809122558,0.0172763602134204,-0.0500623247145005,0.0176597628899889,0.983929253944661,0.951170141245833,1.01781661848643,0.348361770646551,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","bald_eagle__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.511891124664163,FALSE
"band_22_24","22-<24 km",-0.00484126460566011,0.0169251976780835,-0.0380140424859247,0.0283315132746044,0.995170435427231,0.962699422103196,1.02873666775949,0.774848342285121,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","bald_eagle__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.774848342285121,FALSE
"band_24_26","24-26 km",-0.0150552707659564,0.0176536372575782,-0.0496557639869441,0.0195452224550313,0.985057493216269,0.951556928291371,1.01973748085033,0.393762403587818,"Bald Eagle","positive_numeric_count_given_detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","bald_eagle__positive_numeric_count_given_detection__tight_contrast_13_bands",13,0.511891124664163,FALSE
"band_0_2","0-<2 km",0.270156572140011,0.0928129621543886,0.0882465090189304,0.452066635261092,1.31016957072826,1.09225734012982,1.57155666617744,0.0036054693947213,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.0468711021313769,TRUE
"band_2_4","2-<4 km",0.059052175808012,0.0743741156061131,-0.086718412161988,0.204822763778012,1.06083058898937,0.916935257100526,1.22730752233705,0.427202256793721,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.719695532392353,FALSE
"band_4_6","4-<6 km",-0.0569607527576155,0.0664115188737129,-0.187124937908695,0.0732034323934639,0.944631142806429,0.829340113892923,1.07594939761347,0.391061524799273,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.719695532392353,FALSE
"band_6_8","6-<8 km",-0.139932480112041,0.0583597445434145,-0.254315477564091,-0.0255494826599905,0.869416936351175,0.775447127283009,0.974774143354835,0.0164958090575413,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.0822417607097574,FALSE
"band_8_10","8-<10 km",-0.0406448116201078,0.0600228221863409,-0.158287381355788,0.0769977581155721,0.960170110654046,0.853604436716015,1.0800396550658,0.498307008401902,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.719776789913858,FALSE
"band_10_12","10-<12 km",0.0146962071840542,0.0552820306479426,-0.0936545818781528,0.123046996246261,1.014804727397,0.910597244713696,1.13093756951911,0.7903619877191,"Glaucous-winged Gull","detection","spawn_start_days_0_3_minus_immediate_pre_days_-7_-1","glaucous_winged_gull__detection__tight_contrast_13_bands",13,0.7903619877191,FALSE
