"model_version_id","analysis_taxon_id","unit_label","region","outcome","band","band_label","contrast","contrast_type","period","minimum_day","maximum_day","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","n","status","bh_family_id","bh_family_size","p_value_bh_13","significant_nominal_0_05","significant_bh_0_05","timing_group","species"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_8_10","8–<10 km","within_band_8_10_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.0430734456852272,0.0277905747202692,-0.0975419712466241,0.0113950798761697,0.957841038192153,0.907064270138669,1.01146025110741,0.121158316370094,217199,"completed","bald_eagle__detection__late_egg__13_bands",13,0.392841343709204,FALSE,FALSE,"post_onset_period","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_8_10","8–<10 km","within_band_8_10_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,-0.100889314947165,0.0278230191275838,-0.155421430378399,-0.0463571995159321,0.904033090298696,0.856054334151812,0.954700882584487,0.000287723347056659,217199,"completed","bald_eagle__detection__active_0_14__13_bands",13,0.00374040351173657,TRUE,TRUE,"post_onset_composite","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_12_14","12–<14 km","within_band_12_14_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,-0.0220515224483363,0.0443614683175386,-0.108998402652027,0.0648953577553541,0.978189835017617,0.896731849889894,1.06704736031098,0.619127491038503,217199,"completed","bald_eagle__detection__early_pre__13_bands",13,0.673397752171272,FALSE,FALSE,"pre_spawn","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_12_14","12–<14 km","within_band_12_14_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,-0.0244436749987561,0.0429022708215514,-0.10853058066398,0.0596432306664683,0.97585265227234,0.897151458910164,1.06145778339788,0.568845593187951,217199,"completed","bald_eagle__detection__immediate_pre__13_bands",13,0.92437408893042,FALSE,FALSE,"pre_spawn","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_12_14","12–<14 km","within_band_12_14_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,-0.042064873044325,0.0361454051352248,-0.112908565315975,0.0287788192273247,0.958807577788371,0.893232328798028,1.02919693072626,0.244517962816492,217199,"completed","bald_eagle__detection__early_egg__13_bands",13,0.794683379153599,FALSE,FALSE,"post_onset_period","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_12_14","12–<14 km","within_band_12_14_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.0164009766265265,0.0336343828211213,-0.082323155598157,0.049521202345104,0.983732787106948,0.920974292604293,1.05076787072166,0.625815258849963,217199,"completed","bald_eagle__detection__late_egg__13_bands",13,0.853863678974646,FALSE,FALSE,"post_onset_period","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_12_14","12–<14 km","within_band_12_14_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,-0.0256661843394966,0.0332753897166605,-0.0908847497556857,0.0395523810766925,0.97466039221277,0.913122942477376,1.04034499184855,0.440513527528285,217199,"completed","bald_eagle__detection__active_0_14__13_bands",13,0.715834482233463,FALSE,FALSE,"post_onset_composite","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_18_20","18–<20 km","within_band_18_20_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,-0.0991326116362695,0.047327543241337,-0.191892891866052,-0.00637233140648685,0.905622603964772,0.825395270304493,0.993647928839447,0.0362059268974969,217199,"completed","bald_eagle__detection__spawn_start__13_bands",13,0.117669262416865,TRUE,FALSE,"post_onset_period","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_18_20","18–<20 km","within_band_18_20_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,-0.01648813600045,0.0329330438926003,-0.0810357159312234,0.0480594439303235,0.983647049309597,0.922160755026331,1.0492330240055,0.616613030268716,217199,"completed","bald_eagle__detection__early_egg__13_bands",13,0.952253406076857,FALSE,FALSE,"post_onset_period","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_18_20","18–<20 km","within_band_18_20_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.0667838790950057,0.0310391146727938,-0.12761942596569,-0.00594833222432121,0.935397338412273,0.880188292220314,0.99406932407794,0.0314285674696342,217199,"completed","bald_eagle__detection__late_egg__13_bands",13,0.31380819430409,TRUE,FALSE,"post_onset_period","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_18_20","18–<20 km","within_band_18_20_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,-0.0385266628366685,0.0303842269400539,-0.0980786533372658,0.0210253276639288,0.962206049255062,0.906577595596261,1.021247917134,0.204804261219382,217199,"completed","bald_eagle__detection__active_0_14__13_bands",13,0.532491079170393,FALSE,FALSE,"post_onset_composite","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_20_22","20–<22 km","within_band_20_22_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,-0.0194394841959492,0.0368843093766774,-0.0917314021688699,0.0528524337769715,0.98074824416144,0.912350171914786,1.05427405839913,0.598166229641858,217199,"completed","bald_eagle__detection__early_pre__13_bands",13,0.673397752171272,FALSE,FALSE,"pre_spawn","Bald Eagle"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_20_22","20–<22 km","within_band_20_22_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,-0.0013191396706744,0.0367100330758509,-0.0732694823706164,0.0706312030292676,0.998681730011608,0.929350352741512,1.07318536536499,0.971334956134119,217199,"completed","bald_eagle__detection__immediate_pre__13_bands",13,0.971334956134119,FALSE,FALSE,"pre_spawn","Bald Eagle"
