"species","outcome","classification","spawn_start_ratio_vs_baseline","spawn_start_conf_low","spawn_start_conf_high","spawn_start_p_bh_13","spawn_start_vs_immediate_pre_ratio","spawn_start_vs_immediate_pre_conf_low","spawn_start_vs_immediate_pre_conf_high","spawn_start_vs_immediate_pre_p_bh_13"
"American Robin","detection","no_BH_significant_near_band_spike_relative_to_both_same_band_baseline_and_immediate_pre",0.996489321215857,0.878338785889528,1.13053298254568,0.956444131460696,0.867006173817324,0.752696893563732,0.998675179697295,0.550537374165543
"American Robin","positive_numeric_count_given_detection","no_BH_significant_near_band_spike_relative_to_both_same_band_baseline_and_immediate_pre",0.942327425280879,0.886299916878833,1.00189671636615,0.249232737375518,1.0033822528319,0.938638530729377,1.0725917510713,0.922002359790489
"Chestnut-backed Chickadee","detection","no_BH_significant_near_band_spike_relative_to_both_same_band_baseline_and_immediate_pre",0.871545949134651,0.758694585578441,1.00118329020879,0.165346788439832,0.892061959266181,0.762267065634943,1.04395765610963,0.92569882361349
"Chestnut-backed Chickadee","positive_numeric_count_given_detection","no_BH_significant_near_band_spike_relative_to_both_same_band_baseline_and_immediate_pre",0.9652090694073,0.914242601095166,1.01901677579902,0.652509859258176,0.998031103792826,0.93868754649621,1.06112634375079,0.949756656370124
