"model_version_id","analysis_taxon_id","unit_label","region","outcome","band","band_label","contrast","contrast_type","period","minimum_day","maximum_day","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","n","status","bh_family_id","bh_family_size","p_value_bh_13","significant_nominal_0_05","significant_bh_0_05"
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,-0.0394751550278705,0.0409536919566555,-0.119742916296863,0.040792606241122,0.961293837012499,0.887148478819115,1.04163605432573,0.335097394078089,217199,"completed","bald_eagle__detection__immediate_pre__13_bands",13,0.86009277314987,FALSE,FALSE
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,0.0611001963126716,0.0489732350730887,-0.034885580636996,0.157085973262339,1.0630054180747,0.965715906535201,1.17009620656484,0.212168688806366,217199,"completed","bald_eagle__detection__spawn_start__13_bands",13,0.448735043750333,FALSE,FALSE
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,-0.0260031077759737,0.0345880289218106,-0.0937943987589523,0.041788183207005,0.974332061598273,0.910469936747384,1.04267359958063,0.452174339371161,217199,"completed","bald_eagle__detection__early_egg__13_bands",13,0.952253406076857,FALSE,FALSE
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,-0.0624866948950515,0.0316402494794141,-0.124500444336565,-0.000472945453537654,0.939425561886017,0.882937869044721,0.999527166367534,0.0482781837390908,217199,"completed","bald_eagle__detection__late_egg__13_bands",13,0.31380819430409,TRUE,FALSE
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_4_6","4–<6 km","within_band_4_6_active_0_14_minus_baseline","within_band_duration_weighted_active_minus_baseline","active_0_14",0,14,-0.0027755600190016,0.0318337339740233,-0.0651685321015164,0.0596174120635132,0.997228288286484,0.936909550735586,1.0614303783946,0.930521068364735,217199,"completed","bald_eagle__detection__active_0_14__13_bands",13,0.991441161687117,FALSE,FALSE
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_early_pre_minus_baseline","within_band_period_minus_baseline","early_pre",-14,-8,0.0247197836740509,0.036182751975656,-0.0461971070597802,0.0956366744078821,1.02502785073914,0.954853735228621,1.10035920269959,0.494485230507374,217199,"completed","bald_eagle__detection__early_pre__13_bands",13,0.673397752171272,FALSE,FALSE
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_immediate_pre_minus_baseline","within_band_period_minus_baseline","immediate_pre",-7,-1,0.0262401975441614,0.0372707683307699,-0.0468091660602837,0.0992895611486065,1.02658750265841,0.954269487221175,1.10438604055477,0.48140642995878,217199,"completed","bald_eagle__detection__immediate_pre__13_bands",13,0.894040512780592,FALSE,FALSE
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_spawn_start_minus_baseline","within_band_period_minus_baseline","spawn_start",0,3,-0.0434416004723176,0.0451412837825459,-0.13191689090201,0.0450336899573743,0.95748846933261,0.876413830015587,1.04606310113636,0.335875088604561,217199,"completed","bald_eagle__detection__spawn_start__13_bands",13,0.485152905762144,FALSE,FALSE
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_early_egg_minus_baseline","within_band_period_minus_baseline","early_egg",4,14,0.015367742401428,0.0319393114191688,-0.0472321576711517,0.0779676424740078,1.01548643337938,0.953865924591394,1.08108767678152,0.630406718606302,217199,"completed","bald_eagle__detection__early_egg__13_bands",13,0.952253406076857,FALSE,FALSE
"SOG_BALD_EAGLE_DISTANCE_BAND_v2","atx_fc0a9b777dcd","Bald Eagle","SoG","detection","band_6_8","6–<8 km","within_band_6_8_late_egg_minus_baseline","within_band_period_minus_baseline","late_egg",15,28,0.0129987504108917,0.0293280070200948,-0.0444830870868319,0.0704805879086154,1.01308360142078,0.956491777019192,1.07302373959365,0.657606832523316,217199,"completed","bald_eagle__detection__late_egg__13_bands",13,0.853863678974646,FALSE,FALSE
