"feature_set","scheme","selected_k","cluster","mean_bootstrap_jaccard","stable_at_0_6","common_name","guild"
"A","inverse_variance",3,1,0.791795151776699,TRUE,"Red-throated Loon","piscivore_active_spawn"
"A","inverse_variance",3,1,0.791795151776699,TRUE,"Western Grebe","piscivore_active_spawn"
"A","inverse_variance",3,1,0.791795151776699,TRUE,"Western Gull","gull_roe"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Glaucous-winged Gull","gull_roe"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Bufflehead","roe_diving_seaduck"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Great Blue Heron","shoreline_scavenger"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"American Wigeon","surface_vegetation_roe"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Common Merganser","piscivore_active_spawn"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Short-billed Gull","gull_roe"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Common Goldeneye","roe_diving_seaduck"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Surf Scoter","roe_diving_seaduck"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Northern Pintail","surface_vegetation_roe"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Harlequin Duck","roe_diving_seaduck"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Barrow's Goldeneye","roe_diving_seaduck"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Lesser Scaup","roe_diving_seaduck"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"California Gull","gull_roe"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"White-winged Scoter","roe_diving_seaduck"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Iceland Gull","gull_roe"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Greater Scaup","roe_diving_seaduck"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Bonaparte's Gull","gull_roe"
"A","inverse_variance",3,2,0.62273319166928,TRUE,"Brant","surface_vegetation_roe"
