"feature_set","scheme","algorithm","k","selection_role","analysis_taxon_id","common_name","cluster"
"A","inverse_variance","Ward.D2",2,"k_minus_1","atx_04cf65098f13","Red-throated Loon",1
"A","inverse_variance","Ward.D2",2,"k_minus_1","atx_ebf17f77fb66","Western Grebe",1
"A","inverse_variance","Ward.D2",2,"k_minus_1","atx_5a9a3495d0ea","Western Gull",1
"A","inverse_variance","Ward.D2",3,"selected","atx_c9db024faf12","American Crow",1
"A","inverse_variance","Ward.D2",3,"selected","atx_725074cbfcb6","Glaucous-winged Gull",2
"A","inverse_variance","Ward.D2",3,"selected","atx_815c98107028","Mallard",1
"A","inverse_variance","Ward.D2",3,"selected","atx_fc0a9b777dcd","Bald Eagle",3
"A","inverse_variance","Ward.D2",3,"selected","atx_b3d3ea90f9cb","Canada Goose",1
"A","inverse_variance","Ward.D2",3,"selected","atx_v2_000007","Common Raven",1
"A","inverse_variance","Ward.D2",3,"selected","atx_99238953638b","Bufflehead",2
"A","inverse_variance","Ward.D2",3,"selected","atx_7b80ddaff058","Great Blue Heron",2
"A","inverse_variance","Ward.D2",3,"selected","atx_a113baee5693","American Wigeon",2
"A","inverse_variance","Ward.D2",3,"selected","atx_a444854c6b66","Double-crested Cormorant",1
"A","inverse_variance","Ward.D2",3,"selected","atx_35518e24dfdd","Common Merganser",2
"A","inverse_variance","Ward.D2",3,"selected","atx_e0e678a61ad7","Short-billed Gull",2
"A","inverse_variance","Ward.D2",3,"selected","atx_82312e6f2848","Common Goldeneye",2
"A","inverse_variance","Ward.D2",3,"selected","atx_04afbeb21fb0","Hooded Merganser",1
"A","inverse_variance","Ward.D2",3,"selected","atx_35707a9578d5","Pelagic Cormorant",1
"A","inverse_variance","Ward.D2",3,"selected","atx_1930f23cc4f8","Surf Scoter",2
"A","inverse_variance","Ward.D2",3,"selected","atx_9ae1aa9b7fdf","Common Loon",1
"A","inverse_variance","Ward.D2",3,"selected","atx_7d980a7c8c37","Northern Pintail",2
"A","inverse_variance","Ward.D2",3,"selected","atx_v2_000002","Black Oystercatcher",1
