"feature_set","scheme","selected_k","ward_pam_adjusted_rand","pam_mean_silhouette"
"A","unweighted",2,0.396894767107533,0.290719535169275
"A","inverse_variance",3,0.756134504695547,0.273393355006178
"A","reliability_shrunk",2,0.469088155548499,0.318610914107161
"B","unweighted",2,0.176968119713728,0.187476857868717
"B","inverse_variance",2,0.532446412034423,0.265441015338519
"B","reliability_shrunk",2,-0.031627372052904,0.23539221743226
