sensitivity,species,outcome,contrast,primary_ratio,primary_ci,primary_q,sens_ratio,sens_ci,sens_p,direction_agree
S4_single_event,Common Merganser,positive_numeric_count_given_detection,did_active_0_14_day,1.10908881578084,1.07-1.15,4.9643455289137e-07,1.21050587759832,0.96-1.53,0.109811273526276,TRUE
S4_single_event,Hooded Merganser,detection,did_spawn_start,0.99731069870191,0.89-1.11,0.9953634914218,0.880337964468028,0.49-1.58,0.67041729977737,TRUE
S4_single_event,Hooded Merganser,detection,did_early_egg,0.961678256986643,0.89-1.04,0.487054794147684,1.74912261458794,1.17-2.61,0.00621954055914441,FALSE
S4_single_event,Hooded Merganser,detection,did_late_egg,0.959436783148283,0.89-1.03,0.426588609918836,2.23926555189961,1.52-3.31,5.09699800849322e-05,FALSE
S4_single_event,Hooded Merganser,detection,did_active_0_14_day,0.971053844316585,0.90-1.04,0.581023095017145,1.45649177081912,1.00-2.11,0.0471347427172172,FALSE
S4_single_event,Hooded Merganser,positive_numeric_count_given_detection,did_spawn_start,0.98442046723374,0.93-1.04,0.714994092111185,1.48347598972158,1.08-2.04,0.0148670976243652,FALSE
S4_single_event,Hooded Merganser,positive_numeric_count_given_detection,did_early_egg,1.01754965662655,0.97-1.06,0.545760680431454,1.23672291291601,1.01-1.52,0.0442087789079456,TRUE
S4_single_event,Hooded Merganser,positive_numeric_count_given_detection,did_late_egg,1.00871191009585,0.97-1.05,0.799883475421052,1.10251613329879,0.90-1.36,0.356324342353823,TRUE
S4_single_event,Hooded Merganser,positive_numeric_count_given_detection,did_active_0_14_day,1.0086077125028,0.97-1.05,0.730728846657232,1.29819890244338,1.07-1.57,0.00811822619274794,TRUE
S4_single_event,Glaucous-winged Gull,detection,did_spawn_start,1.17118353922851,1.08-1.27,0.00130983522938667,1.23058622038841,0.76-1.98,0.393789923941883,TRUE
S4_single_event,Glaucous-winged Gull,detection,did_early_egg,1.09747222778168,1.03-1.17,0.0140845236224966,1.11593007881727,0.78-1.60,0.547274674101954,TRUE
S4_single_event,Glaucous-winged Gull,detection,did_late_egg,1.01113256600509,0.95-1.07,0.794916786072253,1.01147929048513,0.73-1.40,0.945130991755459,TRUE
S4_single_event,Glaucous-winged Gull,detection,did_active_0_14_day,1.11666246412184,1.06-1.18,0.000589603283593495,1.14541711325603,0.83-1.59,0.415927459368804,TRUE
S4_single_event,Glaucous-winged Gull,positive_numeric_count_given_detection,did_spawn_start,1.26909812686346,1.22-1.32,4.86555883614412e-26,1.25634301763168,1.02-1.55,0.0330906988788821,TRUE
S4_single_event,Glaucous-winged Gull,positive_numeric_count_given_detection,did_early_egg,1.19515057940259,1.16-1.23,3.60239307332915e-25,1.16397648552455,1.00-1.36,0.0510927817499336,TRUE
S4_single_event,Glaucous-winged Gull,positive_numeric_count_given_detection,did_late_egg,1.06681009843976,1.03-1.10,0.000325869659987549,1.07854851125005,0.94-1.24,0.292157035121061,TRUE
S4_single_event,Glaucous-winged Gull,positive_numeric_count_given_detection,did_active_0_14_day,1.21443790372088,1.18-1.25,2.00845377755128e-36,1.18792205756784,1.03-1.37,0.0156402820649455,TRUE
S4_single_event,Short-billed Gull,detection,did_spawn_start,1.23878440304421,1.13-1.36,9.94093035510798e-05,1.57853335632135,0.87-2.86,0.132415210236454,TRUE
S4_single_event,Short-billed Gull,detection,did_early_egg,1.20647000332216,1.12-1.30,5.97055543211294e-06,2.70580055373405,1.74-4.21,1.03127750747656e-05,TRUE
S4_single_event,Short-billed Gull,detection,did_late_egg,1.01311611261699,0.95-1.09,0.794916786072253,1.54728336473357,1.01-2.36,0.0426069734141281,TRUE
S4_single_event,Short-billed Gull,detection,did_active_0_14_day,1.2150038343942,1.14-1.30,1.13283972698756e-07,2.34360586707698,1.56-3.51,3.77213361121145e-05,TRUE
S4_single_event,Short-billed Gull,positive_numeric_count_given_detection,did_spawn_start,1.32198537239989,1.23-1.43,8.30421095729254e-12,1.86734824987323,1.17-2.97,0.00843847561686235,TRUE
S4_single_event,Short-billed Gull,positive_numeric_count_given_detection,did_early_egg,1.37442620160988,1.29-1.46,5.19420206437609e-23,1.62978084845191,1.17-2.26,0.00355877357059045,TRUE
S4_single_event,Short-billed Gull,positive_numeric_count_given_detection,did_late_egg,1.21490271802505,1.14-1.29,4.81577171904219e-09,0.921004049996948,0.66-1.29,0.631756640739646,FALSE
S4_single_event,Short-billed Gull,positive_numeric_count_given_detection,did_active_0_14_day,1.36024191178047,1.29-1.44,1.35812134496327e-25,1.69000571197052,1.24-2.30,0.000789878483649496,TRUE
S4_single_event,Bald Eagle,detection,did_spawn_start,1.21100345075322,1.13-1.30,2.29782428932982e-06,1.40112496488351,0.93-2.10,0.104142477675567,TRUE
S4_single_event,Bald Eagle,detection,did_early_egg,1.03991330818687,0.99-1.09,0.243781699173865,1.13616681155935,0.84-1.53,0.402400844593885,TRUE
S4_single_event,Bald Eagle,detection,did_late_egg,1.02646986634901,0.98-1.08,0.426588609918836,1.04525885521025,0.80-1.37,0.750837629812169,TRUE
S4_single_event,Bald Eagle,detection,did_active_0_14_day,1.08302047682418,1.03-1.13,0.00332599278315371,1.2014841287505,0.91-1.58,0.190209281895157,TRUE
