"model_version_id","region","unit_label","outcome","converged","singular_fit","convergence_message","status"
"M28_v2","WCVI","shoreline_scavenger","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"M28_v2","WCVI","surface_vegetation_roe","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","alcid_piscivore","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","falsification","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","gull_roe","detection",TRUE,FALSE,"","completed"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","intertidal_roe_shorebird","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","piscivore_active_spawn","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","roe_diving_seaduck","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","shoreline_scavenger","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","surface_vegetation_roe","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","alcid_piscivore","positive_numeric_count_given_detection",TRUE,TRUE,"boundary (singular) fit: see help('isSingular')","completed_with_singular_warning"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","falsification","positive_numeric_count_given_detection",TRUE,TRUE,"boundary (singular) fit: see help('isSingular')","completed_with_singular_warning"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","gull_roe","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","intertidal_roe_shorebird","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","piscivore_active_spawn","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","roe_diving_seaduck","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","shoreline_scavenger","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A11_WCVI_DOMINANT_OBSERVER_v2","WCVI","surface_vegetation_roe","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A12_WCVI_2KM_v2","WCVI","alcid_piscivore","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A12_WCVI_2KM_v2","WCVI","falsification","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A12_WCVI_2KM_v2","WCVI","gull_roe","detection",TRUE,FALSE,"","completed"
"S4A12_WCVI_2KM_v2","WCVI","intertidal_roe_shorebird","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A12_WCVI_2KM_v2","WCVI","piscivore_active_spawn","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A12_WCVI_2KM_v2","WCVI","roe_diving_seaduck","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A12_WCVI_2KM_v2","WCVI","shoreline_scavenger","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A12_WCVI_2KM_v2","WCVI","surface_vegetation_roe","detection",TRUE,TRUE,"","completed_with_singular_warning"
"S4A12_WCVI_2KM_v2","WCVI","alcid_piscivore","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A12_WCVI_2KM_v2","WCVI","falsification","positive_numeric_count_given_detection",TRUE,TRUE,"boundary (singular) fit: see help('isSingular')","completed_with_singular_warning"
"S4A12_WCVI_2KM_v2","WCVI","gull_roe","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A12_WCVI_2KM_v2","WCVI","intertidal_roe_shorebird","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A12_WCVI_2KM_v2","WCVI","piscivore_active_spawn","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A12_WCVI_2KM_v2","WCVI","roe_diving_seaduck","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A12_WCVI_2KM_v2","WCVI","shoreline_scavenger","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
"S4A12_WCVI_2KM_v2","WCVI","surface_vegetation_roe","positive_numeric_count_given_detection",TRUE,FALSE,"","completed"
