"analysis_version","analysis_taxon_id","species","outcome","component","comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status","effort_response","effect_scale"
"post_stage4a_stage3_dose_v1","effort_log_duration","Log duration minutes","log_duration","within_location","dose_did_active_minus_pre",0.00278614344805623,0.0044385270204663,-0.00591320965646559,0.0114854965525781,1.00279002835284,0.994104238958375,1.01155170811619,0.530188670363153,0.795283005544729,217200,TRUE,"completed_with_rank_deficiency_warning","log_duration","log_ratio"
"post_stage4a_stage3_dose_v1","effort_log_effort_distance","Log distance travelled plus one","log_effort_distance","within_location","dose_did_active_minus_pre",0.00308075664263519,0.00209009653246036,-0.00101575728519918,0.00717727057046955,1.00308550705041,0.998984758421606,1.00720308890833,0.14048747140349,0.42146241421047,217200,TRUE,"completed_with_rank_deficiency_warning","log_effort_distance","log_ratio"
"post_stage4a_stage3_dose_v1","effort_observer_count","Number of observers","observer_count","within_location","dose_did_active_minus_pre",0.00012104771144341,0.0050856658114962,-0.00984667411649581,0.0100887695393826,,,,0.981010749603722,0.981010749603722,217200,TRUE,"completed_with_rank_deficiency_warning","observer_count","additive_observers"
