effort_frame,period_id,region,event_time_stratum,distance_stratum,independent_events,herring_source_events,unique_observer_clusters,unique_generalized_locations,suppressed_below_20
high_spatial_precision,complete_1988_2025,CC,spawn_start,ring_10_20,75,67,43,21,false
high_spatial_precision,complete_1988_2025,CC,early_egg,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_egg,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_egg,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_egg,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_egg,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_egg,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,CC,early_egg,ring_5_10,91,33,60,19,false
high_spatial_precision,complete_1988_2025,CC,early_egg,ring_10_20,139,82,81,27,false
high_spatial_precision,complete_1988_2025,CC,late_egg,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,CC,late_egg,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,CC,late_egg,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,CC,late_egg,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,CC,late_egg,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,CC,late_egg,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,CC,late_egg,ring_5_10,49,32,31,17,false
high_spatial_precision,complete_1988_2025,CC,late_egg,ring_10_20,117,86,54,35,false
high_spatial_precision,complete_1988_2025,CC,post,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,CC,post,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,CC,post,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,CC,post,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,CC,post,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,CC,post,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,CC,post,ring_5_10,25,32,17,17,false
high_spatial_precision,complete_1988_2025,CC,post,ring_10_20,154,201,40,63,false
high_spatial_precision,complete_1988_2025,HG,early_pre,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_pre,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_pre,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_pre,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_pre,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,HG,early_pre,ring_4_5,,,,,true
