artifact_version,status,registered_analysis_taxa,independent_eligible_checklist_events,logical_event_taxon_rows,representation,execution_record,protected_primary_sha256,supersession_reason
stage3_phase1_execution_v1,superseded_blocking_registry_consistency_failure,45,1433786,64520370,fully_expanded,metadata/stage3_phase1_execution_v1.yml,c46c4a238ead07ee56b214594fa15e1478883398957ef850647464f17e06e9e3,excluded_13_frozen_stage2_retained_taxa
stage3_phase1_execution_v2,executed_pending_human_scientific_review,58,1433786,83159588,factorized_sparse,metadata/stage3_phase1_execution_v2.yml,473c9b866794187510d8c0911c8fe976507334ac6ad06eb0cfebe37eed51ee17,repaired_from_frozen_stage2_dispositions_only
