"pooling_family_id_v2","component_evidence_id","stable_unit_id","region","contrast","canonical_model_id","unit_class","response_state","component_estimand_id","included_in_future_estimator","disposition_reason_code"
"pf2_014e32cc75613e964bccf940","ce2_1ff3ae6e97e995a176e60a2a","atx_04afbeb21fb0","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_214457e89ea30582a33e51fb","atx_98ca0000b734","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_24f3445e316a20a99a753d83","atx_a113baee5693","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_27344f9b40ae7e4d7d2b8548","atx_a444854c6b66","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_28961eb4c8206f1792dbea6f","atx_1812dd827ede","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_28d8799ef83cc47a5a563138","atx_04cf65098f13","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_29d4bda0bdddc8c91e9dd798","atx_1930f23cc4f8","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_2b51bec5879bd80c8b180620","atx_v2_000002","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_2be8db0fe5204b44041d6d8c","atx_c12b832d2b03","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_2c7081188065afce226fc9c0","atx_fadb8da1a816","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
