source_artifact,source_sha256,invalid_column,invalidation_status,exact_finite_row_count,exact_family_count,legacy_audit_row_count,legacy_audit_family_count,unaffected_columns,scope_blocker
outputs/stage4a_results/effect_estimates.csv,2a82c6877cf10fa2f711c9ef29f65f9c47da2755eb3cf2a3edb1c1296ab921d2,partial_pool_estimate,INVALID_ALL_RELEASED_FINITE_VALUES,6562,112,4890,84,model_id|region|unit_label|unit_class|outcome|contrast|estimate|standard_error|conf_low|conf_high|p_value|n|status|multiplicity_family|q_value,LITERAL_NA_REGION_WAS_OMITTED_FROM_LEGACY_AUDIT_COUNT
outputs/stage4a_results/effect_estimates.csv,2a82c6877cf10fa2f711c9ef29f65f9c47da2755eb3cf2a3edb1c1296ab921d2,partial_pool_standard_error,INVALID_ALL_RELEASED_FINITE_VALUES,6562,112,4890,84,model_id|region|unit_label|unit_class|outcome|contrast|estimate|standard_error|conf_low|conf_high|p_value|n|status|multiplicity_family|q_value,LITERAL_NA_REGION_WAS_OMITTED_FROM_LEGACY_AUDIT_COUNT
