legacy_analysis_taxon_id,common_name,guild_id,evidence_class,expected_direction,expected_timing,v2_analysis_role,eligible_sog_detections_1988_2025,years_with_detection,sections_with_detection,numeric_records,x_records,x_percent,legacy_primary_envelope_detection_checklists,legacy_represented_events,count_strategy,status
atx_c34f23342a55,Pacific Loon,piscivore_active_spawn,plausible,positive_near_spawn_possible_outer_decline,adult_spawn_and_early_egg_period,species_and_guild,10314,37,22,10109,205,1.98758968392476,1019,293,detection_plus_hurdle_and_upper_tail,include_v2
atx_4ae57d328ec6,Greater Scaup,roe_diving_seaduck,direct,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,9890,38,21,9297,593,5.99595551061679,1141,247,detection_plus_hurdle_and_upper_tail,include_v2
atx_08bb40b40c0a,Ring-billed Gull,gull_roe,plausible,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,8707,38,18,8104,603,6.92546227173539,561,124,detection_plus_hurdle_and_upper_tail,include_v2
atx_3083477933a8,White-winged Scoter,roe_diving_seaduck,direct_strong,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,8647,38,21,8291,356,4.11703480976061,1224,288,detection_plus_hurdle_and_upper_tail,include_v2
atx_98ca0000b734,Brandt's Cormorant,piscivore_active_spawn,outside_pilot,positive_near_spawn_possible_outer_decline,adult_spawn_and_early_egg_period,species_and_guild,7038,37,20,6869,169,2.40125035521455,353,183,detection_plus_hurdle_and_upper_tail,include_v2
atx_acf526bb8010,Marbled Murrelet,alcid_piscivore,plausible,positive_near_spawn_possible_outer_decline,adult_spawn_and_early_egg_period,species_and_guild,7031,37,23,6989,42,0.597354572607026,177,117,detection_plus_hurdle_and_upper_tail,include_v2
atx_59441ff7abde,Brant,surface_vegetation_roe,direct,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,6799,36,16,6566,233,3.42697455508163,1548,217,detection_plus_hurdle_and_upper_tail,include_v2
atx_fadb8da1a816,Bonaparte's Gull,gull_roe,plausible,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,6524,38,23,6311,213,3.26486817903127,720,188,detection_plus_hurdle_and_upper_tail,include_v2
atx_40f730f5ad72,Long-tailed Duck,roe_diving_seaduck,direct_or_mechanistic,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,5790,36,17,5629,161,2.78065630397237,942,240,detection_plus_hurdle_and_upper_tail,include_v2
atx_6cbe5bbd310c,Rhinoceros Auklet,alcid_piscivore,plausible,positive_near_spawn_possible_outer_decline,adult_spawn_and_early_egg_period,guild_primary_species_exploratory,5333,33,18,5273,60,1.12507031689481,98,50,detection_plus_hurdle_and_upper_tail,include_v2
atx_136b0e66254b,Common Murre,alcid_piscivore,plausible,positive_near_spawn_possible_outer_decline,adult_spawn_and_early_egg_period,species_and_guild,4631,34,20,4569,62,1.33880371410063,237,134,detection_plus_hurdle_and_upper_tail,include_v2
atx_04cf65098f13,Red-throated Loon,piscivore_active_spawn,plausible,positive_near_spawn_possible_outer_decline,adult_spawn_and_early_egg_period,guild_primary_species_exploratory,3609,38,20,3570,39,1.08063175394846,87,58,detection_plus_hurdle_and_upper_tail,include_v2
atx_ebf17f77fb66,Western Grebe,piscivore_active_spawn,weak_direct,positive_near_spawn_possible_outer_decline,adult_spawn_and_early_egg_period,guild_primary_species_exploratory,3409,38,21,3337,72,2.11205632150191,128,86,detection_plus_hurdle_and_upper_tail,include_v2
atx_7571c026ae99,American Herring Gull,gull_roe,diet_taxonomy_limited,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,3249,35,22,3064,185,5.69405971068021,749,211,detection_plus_hurdle_and_upper_tail,include_v2
atx_1812dd827ede,Surfbird,intertidal_roe_shorebird,mechanistic,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,guild_primary_species_exploratory,2986,32,18,2938,48,1.60750167448091,59,42,detection_plus_hurdle_and_upper_tail,include_v2
atx_1328b44be502,Black Scoter,roe_diving_seaduck,direct_outside_pilot,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,2907,37,19,2772,135,4.64396284829721,613,194,detection_plus_hurdle_and_upper_tail,include_v2
atx_aa5353f6d6d2,Iceland Gull,gull_roe,taxonomy_limited,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,species_and_guild,2713,20,16,2605,108,3.98083302617029,1473,293,detection_plus_hurdle_and_upper_tail,include_v2
atx_5a9a3495d0ea,Western Gull,gull_roe,plausible,positive_near_spawn_possible_outer_decline,spawn_start_through_egg_availability,guild_primary_species_exploratory,1749,29,16,1715,34,1.94396798170383,153,69,detection_plus_hurdle_and_upper_tail,include_v2
atx_3c2dd2107fbb,Clark's Grebe,excluded_audit,insufficient_support,not_tested,none_or_unspecified,excluded_retain_for_audit,15,8,4,15,0,0.0,0,0,none,excluded_audit
