affected_candidate_common_name,affected_analysis_taxon_id,parent_candidate_name,analysis_taxon_id,analysis_taxon_key,proposed_role,source_taxon_id,source_first_observed_year,source_last_observed_year,source_all_bc_ebd_records,source_category,source_common_name,source_scientific_name,source_subspecies_common_name,source_subspecies_scientific_name,ebird_taxon_code,official_category,official_common_name,official_scientific_name,official_report_as,effective_source_common_name,effective_source_scientific_name,official_match,name_match,category_match,mapping_treatment,historical_taxonomy_review,zero_fill_eligible_candidate,review_stratum,taxonomy_snapshot_version,taxonomy_snapshot_sha256,approval_status,ambiguity_flag,zero_mask_candidate,proposed_species_outcome,membership_basis,final_rule,production_zero_mask_eligible
Gadwall,atx_eeefc021901e,,,,,avibase-080CFDEE,2021,2021,14,hybrid,Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta,"","",x00610,hybrid,Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta,"",Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Northern Pintail,atx_7d980a7c8c37,,,,,avibase-080CFDEE,2021,2021,14,hybrid,Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta,"","",x00610,hybrid,Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta,"",Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Glaucous-winged Gull,atx_725074cbfcb6,,,,,avibase-C0BCF52B,2005,2025,130,hybrid,Glaucous x Glaucous-winged Gull (hybrid),Larus hyperboreus x glaucescens,"","",x00048,hybrid,Glaucous x Glaucous-winged Gull (hybrid),Larus hyperboreus x glaucescens,"",Glaucous x Glaucous-winged Gull (hybrid),Larus hyperboreus x glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Canada Goose,atx_b3d3ea90f9cb,,,,,avibase-4797A222,2017,2017,7,hybrid,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,"","",x00415,hybrid,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,"",Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Mallard,atx_815c98107028,,,,,avibase-43C9473C,1988,2024,72,hybrid,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,"","",x00004,hybrid,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,"",Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Mallard,atx_815c98107028,,,,,avibase-87C71E31,2024,2025,115,hybrid,Mallard x Green-winged Teal (hybrid),Anas platyrhynchos x crecca,"","",x00670,hybrid,Mallard x Green-winged Teal (hybrid),Anas platyrhynchos x crecca,"",Mallard x Green-winged Teal (hybrid),Anas platyrhynchos x crecca,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Mallard,atx_815c98107028,,,,,avibase-C43B9DC2,1988,2025,448,hybrid,Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,"","",x00628,hybrid,Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,"",Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Northern Pintail,atx_7d980a7c8c37,,,,,avibase-C43B9DC2,1988,2025,448,hybrid,Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,"","",x00628,hybrid,Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,"",Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Mallard,atx_815c98107028,,,,,avibase-350EA57F,2025,2025,3,hybrid,Mallard x Red-crested Pochard (hybrid),Anas platyrhynchos x Netta rufina,"","",x00648,hybrid,Mallard x Red-crested Pochard (hybrid),Anas platyrhynchos x Netta rufina,"",Mallard x Red-crested Pochard (hybrid),Anas platyrhynchos x Netta rufina,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Mallard,atx_815c98107028,,,,,avibase-CFF55AC9,2009,2025,47,hybrid,Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,"","",mdxmal1,hybrid,Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,"",Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Northern Pintail,atx_7d980a7c8c37,,,,,avibase-2C1F8DC4,2022,2022,9,hybrid,Northern Pintail x Green-winged Teal (hybrid),Anas acuta x crecca,"","",x00725,hybrid,Northern Pintail x Green-winged Teal (hybrid),Anas acuta x crecca,"",Northern Pintail x Green-winged Teal (hybrid),Anas acuta x crecca,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Northern Shoveler,atx_8f0345249398,,,,,avibase-C9A40ADF,2011,2024,3,hybrid,Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos,"","",x00612,hybrid,Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos,"",Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Mallard,atx_815c98107028,,,,,avibase-C9A40ADF,2011,2024,3,hybrid,Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos,"","",x00612,hybrid,Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos,"",Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Ring-billed Gull,atx_08bb40b40c0a,,,,,avibase-94A6467E,2022,2025,9,hybrid,Ring-billed x California Gull (hybrid),Larus delawarensis x californicus,"","",x01183,hybrid,Ring-billed x California Gull (hybrid),Larus delawarensis x californicus,"",Ring-billed x California Gull (hybrid),Larus delawarensis x californicus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
California Gull,atx_c12b832d2b03,,,,,avibase-94A6467E,2022,2025,9,hybrid,Ring-billed x California Gull (hybrid),Larus delawarensis x californicus,"","",x01183,hybrid,Ring-billed x California Gull (hybrid),Larus delawarensis x californicus,"",Ring-billed x California Gull (hybrid),Larus delawarensis x californicus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Greater Scaup,atx_4ae57d328ec6,,,,,avibase-BCFDB0E0,2009,2021,4,hybrid,Ring-necked Duck x Greater Scaup (hybrid),Aythya collaris x marila,"","",x00779,hybrid,Ring-necked Duck x Greater Scaup (hybrid),Aythya collaris x marila,"",Ring-necked Duck x Greater Scaup (hybrid),Aythya collaris x marila,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Lesser Scaup,atx_d002764a39e8,,,,,avibase-BCC6A3E7,2017,2023,3,hybrid,Ring-necked Duck x Lesser Scaup (hybrid),Aythya collaris x affinis,"","",x00613,hybrid,Ring-necked Duck x Lesser Scaup (hybrid),Aythya collaris x affinis,"",Ring-necked Duck x Lesser Scaup (hybrid),Aythya collaris x affinis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Surf Scoter,atx_1930f23cc4f8,,,,,avibase-2B052BAC,2023,2023,4,hybrid,Surf x White-winged Scoter (hybrid),Melanitta perspicillata x deglandi,"","",x00882,hybrid,Surf x White-winged Scoter (hybrid),Melanitta perspicillata x deglandi,"",Surf x White-winged Scoter (hybrid),Melanitta perspicillata x deglandi,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
White-winged Scoter,atx_3083477933a8,,,,,avibase-2B052BAC,2023,2023,4,hybrid,Surf x White-winged Scoter (hybrid),Melanitta perspicillata x deglandi,"","",x00882,hybrid,Surf x White-winged Scoter (hybrid),Melanitta perspicillata x deglandi,"",Surf x White-winged Scoter (hybrid),Melanitta perspicillata x deglandi,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Canada Goose,atx_b3d3ea90f9cb,,,,,avibase-5B8001AC,2016,2017,2,hybrid,Swan x Canada Goose (hybrid),Anser cygnoides x Branta canadensis,"","",swagoo3,hybrid,Swan x Canada Goose (hybrid),Anser cygnoides x Branta canadensis,"",Swan x Canada Goose (hybrid),Anser cygnoides x Branta canadensis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Greater Scaup,atx_4ae57d328ec6,,,,,avibase-22E3C7AB,2024,2024,12,hybrid,Tufted Duck x Greater Scaup (hybrid),Aythya fuligula x marila,"","",x00654,hybrid,Tufted Duck x Greater Scaup (hybrid),Aythya fuligula x marila,"",Tufted Duck x Greater Scaup (hybrid),Aythya fuligula x marila,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Lesser Scaup,atx_d002764a39e8,,,,,avibase-C9E2D2D2,2020,2024,4,hybrid,Tufted Duck x Lesser Scaup (hybrid),Aythya fuligula x affinis,"","",x00653,hybrid,Tufted Duck x Lesser Scaup (hybrid),Aythya fuligula x affinis,"",Tufted Duck x Lesser Scaup (hybrid),Aythya fuligula x affinis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Western Grebe,atx_ebf17f77fb66,,,,,avibase-1BFB023C,2018,2025,33,hybrid,Western x Clark's Grebe (hybrid),Aechmophorus occidentalis x clarkii,"","",x00427,hybrid,Western x Clark's Grebe (hybrid),Aechmophorus occidentalis x clarkii,"",Western x Clark's Grebe (hybrid),Aechmophorus occidentalis x clarkii,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Clark's Grebe,atx_3c2dd2107fbb,,,,,avibase-1BFB023C,2018,2025,33,hybrid,Western x Clark's Grebe (hybrid),Aechmophorus occidentalis x clarkii,"","",x00427,hybrid,Western x Clark's Grebe (hybrid),Aechmophorus occidentalis x clarkii,"",Western x Clark's Grebe (hybrid),Aechmophorus occidentalis x clarkii,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Western Gull,atx_5a9a3495d0ea,,,,,avibase-48386568,1988,2025,27646,hybrid,Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,"","",x00051,hybrid,Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,"",Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
