affected_candidate_common_name,affected_analysis_taxon_id,parent_candidate_name,analysis_taxon_id,analysis_taxon_key,proposed_role,source_taxon_id,source_first_observed_year,source_last_observed_year,source_all_bc_ebd_records,source_category,source_common_name,source_scientific_name,source_subspecies_common_name,source_subspecies_scientific_name,ebird_taxon_code,official_category,official_common_name,official_scientific_name,official_report_as,effective_source_common_name,effective_source_scientific_name,official_match,name_match,category_match,mapping_treatment,historical_taxonomy_review,zero_fill_eligible_candidate,review_stratum,taxonomy_snapshot_version,taxonomy_snapshot_sha256,approval_status,ambiguity_flag,zero_mask_candidate,proposed_species_outcome,membership_basis,final_rule,production_zero_mask_eligible
American Herring Gull,atx_7571c026ae99,,,,,avibase-4347194D,2017,2017,1,slash,American Herring/Glaucous-winged Gull,Larus smithsonianus/glaucescens,"","",y00956,slash,American Herring/Glaucous-winged Gull,Larus smithsonianus/glaucescens,"",American Herring/Glaucous-winged Gull,Larus smithsonianus/glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Glaucous-winged Gull,atx_725074cbfcb6,,,,,avibase-4347194D,2017,2017,1,slash,American Herring/Glaucous-winged Gull,Larus smithsonianus/glaucescens,"","",y00956,slash,American Herring/Glaucous-winged Gull,Larus smithsonianus/glaucescens,"",American Herring/Glaucous-winged Gull,Larus smithsonianus/glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
American Herring Gull,atx_7571c026ae99,,,,,avibase-C8871F1D,2016,2025,88,slash,American Herring/Iceland Gull,Larus smithsonianus/glaucoides,"","",y00682,slash,American Herring/Iceland Gull,Larus smithsonianus/glaucoides,"",American Herring/Iceland Gull,Larus smithsonianus/glaucoides,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Iceland Gull,atx_aa5353f6d6d2,,,,,avibase-C8871F1D,2016,2025,88,slash,American Herring/Iceland Gull,Larus smithsonianus/glaucoides,"","",y00682,slash,American Herring/Iceland Gull,Larus smithsonianus/glaucoides,"",American Herring/Iceland Gull,Larus smithsonianus/glaucoides,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
American Herring Gull,atx_7571c026ae99,,,,,avibase-25B17201,2018,2018,1,slash,American Herring/Vega Gull,Larus smithsonianus/vegae,"","",y01294,slash,American Herring/Vega Gull,Larus smithsonianus/vegae,"",American Herring/Vega Gull,Larus smithsonianus/vegae,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Canada Goose,atx_b3d3ea90f9cb,,,,,avibase-C600B65C,1993,2025,1120,slash,Cackling/Canada Goose,Branta hutchinsii/canadensis,"","",y00470,slash,Cackling/Canada Goose,Branta hutchinsii/canadensis,"",Cackling/Canada Goose,Branta hutchinsii/canadensis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Common Goldeneye,atx_82312e6f2848,,,,,avibase-1DA8E8A4,1988,2025,2758,slash,Common/Barrow's Goldeneye,Bucephala clangula/islandica,"","",y00004,slash,Common/Barrow's Goldeneye,Bucephala clangula/islandica,"",Common/Barrow's Goldeneye,Bucephala clangula/islandica,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Barrow's Goldeneye,atx_d7dd9536145c,,,,,avibase-1DA8E8A4,1988,2025,2758,slash,Common/Barrow's Goldeneye,Bucephala clangula/islandica,"","",y00004,slash,Common/Barrow's Goldeneye,Bucephala clangula/islandica,"",Common/Barrow's Goldeneye,Bucephala clangula/islandica,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Common Merganser,atx_35518e24dfdd,,,,,avibase-D15C6A4C,1988,2025,530,slash,Common/Red-breasted Merganser,Mergus merganser/serrator,"","",y00224,slash,Common/Red-breasted Merganser,Mergus merganser/serrator,"",Common/Red-breasted Merganser,Mergus merganser/serrator,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Red-breasted Merganser,atx_c2d1fbbaf6d3,,,,,avibase-D15C6A4C,1988,2025,530,slash,Common/Red-breasted Merganser,Mergus merganser/serrator,"","",y00224,slash,Common/Red-breasted Merganser,Mergus merganser/serrator,"",Common/Red-breasted Merganser,Mergus merganser/serrator,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Short-billed Gull,atx_e0e678a61ad7,,,,,avibase-0C290EA6,2025,2025,1,slash,Common/Short-billed Gull,Larus canus/brachyrhynchus,"","",y00441,slash,Common/Short-billed Gull,Larus canus/brachyrhynchus,"",Common/Short-billed Gull,Larus canus/brachyrhynchus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Common Loon,atx_9ae1aa9b7fdf,,,,,avibase-A90DD90B,2013,2024,4,slash,Common/Yellow-billed Loon,Gavia immer/adamsii,"","",y00220,slash,Common/Yellow-billed Loon,Gavia immer/adamsii,"",Common/Yellow-billed Loon,Gavia immer/adamsii,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
American Wigeon,atx_a113baee5693,,,,,avibase-EEA2C311,2016,2025,102,slash,Eurasian/American Wigeon,Mareca penelope/americana,"","",y00670,slash,Eurasian/American Wigeon,Mareca penelope/americana,"",Eurasian/American Wigeon,Mareca penelope/americana,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Bald Eagle,atx_fc0a9b777dcd,,,,,avibase-23989DC8,2017,2025,193,slash,Golden/Bald Eagle,Aquila chrysaetos/Haliaeetus leucocephalus,"","",y00944,slash,Golden/Bald Eagle,Aquila chrysaetos/Haliaeetus leucocephalus,"",Golden/Bald Eagle,Aquila chrysaetos/Haliaeetus leucocephalus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Greater Scaup,atx_4ae57d328ec6,,,,,avibase-83610FC3,1988,2025,8536,slash,Greater/Lesser Scaup,Aythya marila/affinis,"","",scaup,slash,Greater/Lesser Scaup,Aythya marila/affinis,"",Greater/Lesser Scaup,Aythya marila/affinis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Lesser Scaup,atx_d002764a39e8,,,,,avibase-83610FC3,1988,2025,8536,slash,Greater/Lesser Scaup,Aythya marila/affinis,"","",scaup,slash,Greater/Lesser Scaup,Aythya marila/affinis,"",Greater/Lesser Scaup,Aythya marila/affinis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Horned Grebe,atx_6b4cfd1ab927,,,,,avibase-8AD5E890,1988,2025,340,slash,Horned/Eared Grebe,Podiceps auritus/nigricollis,"","",y00229,slash,Horned/Eared Grebe,Podiceps auritus/nigricollis,"",Horned/Eared Grebe,Podiceps auritus/nigricollis,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Mallard,atx_815c98107028,,,,,avibase-D6F5A788,2011,2021,2,slash,Mallard/Mexican Duck,Anas platyrhynchos/diazi,"","",mallar,slash,Mallard/Mexican Duck,Anas platyrhynchos/diazi,"",Mallard/Mexican Duck,Anas platyrhynchos/diazi,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Surf Scoter,atx_1930f23cc4f8,,,,,avibase-B2BB260C,2015,2025,101,slash,Surf/Black Scoter,Melanitta perspicillata/americana,"","",dawsco,slash,Surf/Black Scoter,Melanitta perspicillata/americana,"",Surf/Black Scoter,Melanitta perspicillata/americana,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Black Scoter,atx_1328b44be502,,,,,avibase-B2BB260C,2015,2025,101,slash,Surf/Black Scoter,Melanitta perspicillata/americana,"","",dawsco,slash,Surf/Black Scoter,Melanitta perspicillata/americana,"",Surf/Black Scoter,Melanitta perspicillata/americana,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Common Murre,atx_136b0e66254b,,,,,avibase-64C58CEE,2024,2024,9,slash,Thick-billed/Common Murre,Uria lomvia/aalge,"","",murre,slash,Thick-billed/Common Murre,Uria lomvia/aalge,"",Thick-billed/Common Murre,Uria lomvia/aalge,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
White-winged Scoter,atx_3083477933a8,,,,,avibase-8C602FD9,2018,2018,1,slash,Velvet/White-winged/Stejneger's Scoter,Melanitta fusca/deglandi/stejnegeri,"","",whwsco,slash,Velvet/White-winged/Stejneger's Scoter,Melanitta fusca/deglandi/stejnegeri,"",Velvet/White-winged/Stejneger's Scoter,Melanitta fusca/deglandi/stejnegeri,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Western Grebe,atx_ebf17f77fb66,,,,,avibase-4728D9BF,1988,2025,64,slash,Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,"","",y00012,slash,Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,"",Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Clark's Grebe,atx_3c2dd2107fbb,,,,,avibase-4728D9BF,1988,2025,64,slash,Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,"","",y00012,slash,Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,"",Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,FALSE
Western Gull,atx_5a9a3495d0ea,,,,,avibase-BE959048,1989,2025,1499,slash,Western/Glaucous-winged Gull,Larus occidentalis/glaucescens,"","",y00656,slash,Western/Glaucous-winged Gull,Larus occidentalis/glaucescens,"",Western/Glaucous-winged Gull,Larus occidentalis/glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Glaucous-winged Gull,atx_725074cbfcb6,,,,,avibase-BE959048,1989,2025,1499,slash,Western/Glaucous-winged Gull,Larus occidentalis/glaucescens,"","",y00656,slash,Western/Glaucous-winged Gull,Larus occidentalis/glaucescens,"",Western/Glaucous-winged Gull,Larus occidentalis/glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Brant,atx_59441ff7abde,,,,,avibase-3C33827F,2024,2024,1,spuh,Branta sp.,Branta sp.,"","",branta1,spuh,Branta sp.,Branta sp.,"",Branta sp.,Branta sp.,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
Canada Goose,atx_b3d3ea90f9cb,,,,,avibase-3C33827F,2024,2024,1,spuh,Branta sp.,Branta sp.,"","",branta1,spuh,Branta sp.,Branta sp.,"",Branta sp.,Branta sp.,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,TRUE,candidate zero mask: ambiguous detection retained; named-species zero becomes NA only when the named species is not also reported,explicit manual lookup from official eBird concept label; no name parsing,mask_named_species_zero_only_when_named_species_not_codetected,TRUE
American Herring Gull,atx_7571c026ae99,,,,,avibase-43E850E2,2006,2025,151,hybrid,American Herring x Glaucous Gull (hybrid),Larus smithsonianus x hyperboreus,"","",x01131,hybrid,American Herring x Glaucous Gull (hybrid),Larus smithsonianus x hyperboreus,"",American Herring x Glaucous Gull (hybrid),Larus smithsonianus x hyperboreus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
American Herring Gull,atx_7571c026ae99,,,,,avibase-E22B6ADA,1998,2025,2821,hybrid,American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,"","",x00050,hybrid,American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,"",American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Glaucous-winged Gull,atx_725074cbfcb6,,,,,avibase-E22B6ADA,1998,2025,2821,hybrid,American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,"","",x00050,hybrid,American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,"",American Herring x Glaucous-winged Gull (hybrid),Larus smithsonianus x glaucescens,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
American Herring Gull,atx_7571c026ae99,,,,,avibase-FA82C17D,2003,2003,1,hybrid,American Herring/Vega/European Herring x Glaucous Gull (hybrid),Larus smithsonianus/vegae/argentatus x hyperboreus,"","",nelgul,hybrid,American Herring/Vega/European Herring x Glaucous Gull (hybrid),Larus smithsonianus/vegae/argentatus x hyperboreus,"",American Herring/Vega/European Herring x Glaucous Gull (hybrid),Larus smithsonianus/vegae/argentatus x hyperboreus,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
American Wigeon,atx_a113baee5693,,,,,avibase-11C2B1A1,2021,2025,27,hybrid,American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca,"","",x00646,hybrid,American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca,"",American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
American Wigeon,atx_a113baee5693,,,,,avibase-64C6F7F0,2015,2025,7,hybrid,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,"","",x00611,hybrid,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,"",American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Mallard,atx_815c98107028,,,,,avibase-64C6F7F0,2015,2025,7,hybrid,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,"","",x00611,hybrid,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,"",American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
American Wigeon,atx_a113baee5693,,,,,avibase-D280B584,2020,2021,7,hybrid,American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,"","",x00196,hybrid,American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,"",American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
Northern Pintail,atx_7d980a7c8c37,,,,,avibase-D280B584,2020,2021,7,hybrid,American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,"","",x00196,hybrid,American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,"",American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,TRUE,FALSE,preserve as a distinct reportable concept; no parent-species allocation and no parent zero mask proposed,explicit manual lookup from official eBird concept label; no name parsing,preserve_no_allocation_no_zero_mask,FALSE
