parent_candidate_name,analysis_taxon_id,analysis_taxon_key,proposed_role,source_taxon_id,source_first_observed_year,source_last_observed_year,source_all_bc_ebd_records,source_category,source_common_name,source_scientific_name,source_subspecies_common_name,source_subspecies_scientific_name,ebird_taxon_code,official_category,official_common_name,official_scientific_name,official_report_as,effective_source_common_name,effective_source_scientific_name,official_match,name_match,category_match,mapping_treatment,historical_taxonomy_review,zero_fill_eligible_candidate,review_stratum,taxonomy_snapshot_version,taxonomy_snapshot_sha256,approval_status,ambiguity_flag,zero_fill_mapping_eligible,final_mapping_decision,approved_taxonomy_version
Northern Pintail,atx_7d980a7c8c37,ebird_v2025:avibase-56CCA717,guild_only_exploratory,avibase-56CCA717,1988,2025,78798,species,Northern Pintail,Anas acuta,"","",norpin,species,Northern Pintail,Anas acuta,"",Northern Pintail,Anas acuta,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,guild_control_overlap,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
Northern Shoveler,atx_8f0345249398,ebird_v2025:avibase-ED4CE8E7,negative_control_candidate,avibase-ED4CE8E7,1988,2025,80499,species,Northern Shoveler,Spatula clypeata,"","",norsho,species,Northern Shoveler,Spatula clypeata,"",Northern Shoveler,Spatula clypeata,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,guild_control_overlap,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
Pacific Loon,atx_c34f23342a55,ebird_v2025:avibase-B7D7EF23,guild_only_exploratory,avibase-B7D7EF23,1988,2025,27800,species,Pacific Loon,Gavia pacifica,"","",pacloo,species,Pacific Loon,Gavia pacifica,"",Pacific Loon,Gavia pacifica,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,guild_control_overlap,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
Pelagic Cormorant,atx_35707a9578d5,ebird_v2025:avibase-A429B5B8,secondary_focal,avibase-A429B5B8,1988,2025,76690,species,Pelagic Cormorant,Urile pelagicus,"","",pelcor,species,Pelagic Cormorant,Urile pelagicus,"",Pelagic Cormorant,Urile pelagicus,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,exact_species,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
,,,,avibase-9A8E55D0,1988,2025,57146,species,Pied-billed Grebe,Podilymbus podiceps,"","",pibgre,species,Pied-billed Grebe,Podilymbus podiceps,"",Pied-billed Grebe,Podilymbus podiceps,TRUE,TRUE,TRUE,not_selected_pending,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_not_selected_or_unreliable,eBird Taxonomy v2025
Pigeon Guillemot,atx_8608f2ed61cf,ebird_v2025:avibase-2F5DF476,guild_only_exploratory,avibase-2F5DF476,1988,2025,35824,species,Pigeon Guillemot,Cepphus columba,"","",piggui,species,Pigeon Guillemot,Cepphus columba,"",Pigeon Guillemot,Cepphus columba,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,guild_control_overlap,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
Red-breasted Merganser,atx_c2d1fbbaf6d3,ebird_v2025:avibase-8DB64266,secondary_focal,avibase-8DB64266,1988,2025,57829,species,Red-breasted Merganser,Mergus serrator,"","",rebmer,species,Red-breasted Merganser,Mergus serrator,"",Red-breasted Merganser,Mergus serrator,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,exact_species,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
,,,,avibase-05DDE8C1,2023,2023,2,species,Red-faced Cormorant,Urile urile,"","",refcor,species,Red-faced Cormorant,Urile urile,"",Red-faced Cormorant,Urile urile,TRUE,TRUE,TRUE,not_selected_pending,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_not_selected_or_unreliable,eBird Taxonomy v2025
Red-necked Grebe,atx_86eda7ed9025,ebird_v2025:avibase-1CBD2CED,secondary_focal,avibase-1CBD2CED,1988,2025,49734,species,Red-necked Grebe,Podiceps grisegena,"","",rengre,species,Red-necked Grebe,Podiceps grisegena,"",Red-necked Grebe,Podiceps grisegena,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,exact_species,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
Red-throated Loon,atx_04cf65098f13,ebird_v2025:avibase-6C50988A,guild_only_exploratory,avibase-6C50988A,1988,2025,12960,species,Red-throated Loon,Gavia stellata,"","",retloo,species,Red-throated Loon,Gavia stellata,"",Red-throated Loon,Gavia stellata,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,guild_control_overlap,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
Rhinoceros Auklet,atx_6cbe5bbd310c,ebird_v2025:avibase-53D94597,guild_only_exploratory,avibase-53D94597,1988,2025,17191,species,Rhinoceros Auklet,Cerorhinca monocerata,"","",rhiauk,species,Rhinoceros Auklet,Cerorhinca monocerata,"",Rhinoceros Auklet,Cerorhinca monocerata,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,guild_control_overlap,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
Ring-billed Gull,atx_08bb40b40c0a,ebird_v2025:avibase-23863F65,secondary_focal,avibase-23863F65,1988,2025,48818,species,Ring-billed Gull,Larus delawarensis,"","",ribgul,species,Ring-billed Gull,Larus delawarensis,"",Ring-billed Gull,Larus delawarensis,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,exact_species,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
,,,,avibase-86182656,1988,2025,529,species,Sabine's Gull,Xema sabini,"","",sabgul,species,Sabine's Gull,Xema sabini,"",Sabine's Gull,Xema sabini,TRUE,TRUE,TRUE,not_selected_pending,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_not_selected_or_unreliable,eBird Taxonomy v2025
Short-billed Gull,atx_e0e678a61ad7,ebird_v2025:avibase-342F6965,primary_focal,avibase-342F6965,1988,2025,92206,species,Short-billed Gull,Larus brachyrhynchus,"","",mewgul2,species,Short-billed Gull,Larus brachyrhynchus,"",Short-billed Gull,Larus brachyrhynchus,TRUE,TRUE,TRUE,candidate_identity,TRUE,TRUE,exact_species,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
,,,,avibase-456C7FAE,1990,2021,115,species,Slaty-backed Gull,Larus schistisagus,"","",slbgul,species,Slaty-backed Gull,Larus schistisagus,"",Slaty-backed Gull,Larus schistisagus,TRUE,TRUE,TRUE,not_selected_pending,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_not_selected_or_unreliable,eBird Taxonomy v2025
Surf Scoter,atx_1930f23cc4f8,ebird_v2025:avibase-624078BA,primary_focal,avibase-624078BA,1988,2025,75845,species,Surf Scoter,Melanitta perspicillata,"","",sursco,species,Surf Scoter,Melanitta perspicillata,"",Surf Scoter,Melanitta perspicillata,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,exact_species,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
Surfbird,atx_1812dd827ede,ebird_v2025:avibase-11CF8C9A,guild_only_exploratory,avibase-11CF8C9A,1988,2025,5788,species,Surfbird,Calidris virgata,"","",surfbi,species,Surfbird,Calidris virgata,"",Surfbird,Calidris virgata,TRUE,TRUE,TRUE,candidate_identity,TRUE,TRUE,guild_control_overlap,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
,,,,avibase-FD1EF7BB,2007,2007,1,species,Vega Gull,Larus vegae,"","",veggul1,species,Vega Gull,Larus vegae,"",Vega Gull,Larus vegae,TRUE,TRUE,TRUE,not_selected_pending,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_not_selected_or_unreliable,eBird Taxonomy v2025
Western Grebe,atx_ebf17f77fb66,ebird_v2025:avibase-C6E1197B,secondary_focal,avibase-C6E1197B,1988,2025,18458,species,Western Grebe,Aechmophorus occidentalis,"","",wesgre,species,Western Grebe,Aechmophorus occidentalis,"",Western Grebe,Aechmophorus occidentalis,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,exact_species,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
Western Gull,atx_5a9a3495d0ea,ebird_v2025:avibase-575A3E3B,secondary_focal,avibase-575A3E3B,1988,2025,4684,species,Western Gull,Larus occidentalis,"","",wesgul,species,Western Gull,Larus occidentalis,"",Western Gull,Larus occidentalis,TRUE,TRUE,TRUE,candidate_identity,FALSE,TRUE,exact_species,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
White-winged Scoter,atx_3083477933a8,ebird_v2025:avibase-4800D6B6,primary_focal,avibase-4800D6B6,1988,2025,26733,species,White-winged Scoter,Melanitta deglandi,"","",whwsco2,species,White-winged Scoter,Melanitta deglandi,"",White-winged Scoter,Melanitta deglandi,TRUE,TRUE,TRUE,candidate_identity,TRUE,TRUE,exact_species,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,approved,FALSE,TRUE,approved_current_species_identity,eBird Taxonomy v2025
,,,,avibase-5349255D,1988,2025,1325,species,Yellow-billed Loon,Gavia adamsii,"","",yebloo,species,Yellow-billed Loon,Gavia adamsii,"",Yellow-billed Loon,Gavia adamsii,TRUE,TRUE,TRUE,not_selected_pending,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_not_selected_or_unreliable,eBird Taxonomy v2025
,,,,avibase-3C33827F,2024,2024,1,spuh,Branta sp.,Branta sp.,"","",branta1,spuh,Branta sp.,Branta sp.,"",Branta sp.,Branta sp.,TRUE,TRUE,TRUE,ambiguous_or_excluded_no_species_allocation,FALSE,FALSE,excluded_ambiguous,eBird Taxonomy v2025,38ae7e68a03b651e8056e2f4abfad898533a12dbd9343f0e01cb2723ec20aaeb,excluded,TRUE,FALSE,excluded_no_named_species_allocation,eBird Taxonomy v2025
