dataset_id,provider,source_version,environment_variable,expected_bytes,expected_sha256,checksum_scope,access,scope_notes
input_ebird_ebd,Cornell Lab of Ornithology,EBD_relMay-2026,HERRING_EBIRD_V2_EBD,14590250503,5578ccacb1520040d46cd153a9cfef47b48233515ce5d923fcb732a7e904adee,file,restricted_do_not_redistribute,British Columbia source release through May 2026
input_ebird_sed,Cornell Lab of Ornithology,EBD_relMay-2026_matching_SED,HERRING_EBIRD_V2_SED,757638279,9b5b1893ff5b37c9a4a6faa596e71a5894dcb81bafee214ace33c4beee85b6ed,file,restricted_do_not_redistribute,Matching checklist effort metadata
input_herring,Fisheries and Oceans Canada,Pacific_herring_spawn_index_data_2025,HERRING_EBIRD_V2_HERRING,3545779,6d3b2c08e3586bde52f5fe2af602c63014468b54e49dc906bd1f8dfe6706e8ac,file,open_government_licence_canada,Source years 1951 through 2025
input_shoreline,Government of British Columbia,FWA_COASTLINES_SP,HERRING_EBIRD_V2_SHORELINE,20548809,d5dc7c8f8e7ab59b3f0df2d08e130155ce1ee8c95195249baa54616b59bf8953,shapefile_bundle,open_government_licence_bc,Approved sidecar bundle checksum
input_sections,Fisheries and Oceans Canada,SectionsIntegrated_2018,HERRING_EBIRD_V2_SECTIONS,316944,f91ae390a60e93fc3da7d77f38740b893b280f0e1386cb58716c70ec9b8e1d24,shapefile_bundle,open_government_licence_canada,Approved section sidecar bundle checksum
