"model_id","region","unit_label","unit_class","outcome","contrast","effect_scale","estimate","standard_error","conf_low","conf_high","p_value","q_value","n","status","partial_pool_estimate_v2","partial_pool_standard_error_v2","partial_pool_conf_low_v2","partial_pool_conf_high_v2","pooling_reason_code_v2","analysis_role"
"M02","SoG","Glaucous-winged Gull","species","detection","active_near","log_odds",0.576154733578653,0.0244435793932527,0.528245317967878,0.624064149189429,7.68335445157702e-123,1.25494789375758e-121,217037,"completed",0.575164586104203,0.0244095396995327,0.527322767413918,0.623006404794487,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","SoG","Harlequin Duck","species","detection","active_near","log_odds",-0.0467128288988454,0.0486534956916646,-0.142073680454508,0.0486480226568173,0.33699860301452,0.423408501223372,217200,"completed",-0.0437915367042314,0.0483867129238804,-0.138627751365316,0.0510446779568529,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","SoG","Short-billed Gull","species","detection","active_near","log_odds",0.434266124324129,0.0328728343898263,0.36983536892007,0.498696879728189,7.63298260795387e-40,3.40014679808854e-39,217200,"completed",0.43319198611251,0.0327901791805684,0.368924415871981,0.49745955635304,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","SoG","Surf Scoter","species","detection","active_near","log_odds",0.18520342049655,0.0384307287013151,0.109879192241972,0.260527648751128,1.44171615922642e-06,2.61644784452203e-06,217183,"completed",0.185444573264455,0.0382988438407643,0.110380218687033,0.260508927841876,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","SoG","White-winged Scoter","species","detection","active_near","log_odds",0.0161637368385513,0.0673426908457392,-0.115827937219098,0.1481554108962,0.810313092198908,0.882340922616589,217199,"completed",0.0204005313462903,0.0666405300778115,-0.110212507516878,0.151013570209459,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","SoG","Glaucous-winged Gull","species","positive_count","active_near","log_expected_positive_numeric_count",0.219103656666032,0.0217966569151451,0.176382209112347,0.261825104219716,9.26600236324715e-24,1.5134470526637e-22,85053,"completed",0.21864109444907,0.0217342617831047,0.17604272412362,0.261239464774521,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","SoG","Harlequin Duck","species","positive_count","active_near","log_expected_positive_numeric_count",0.274712012986695,0.0484878566810616,0.179675813891814,0.369748212081576,1.49898456654358e-08,6.12085364671962e-08,12030,"completed",0.270934981495328,0.0478123983348392,0.17722440274456,0.364645560246096,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","SoG","Short-billed Gull","species","positive_count","active_near","log_expected_positive_numeric_count",0.392739897618259,0.0470650398266561,0.300492419558013,0.484987375678505,7.56066347757559e-17,6.17454184002006e-16,22003,"completed",0.386094014079017,0.0464465712802423,0.29506040716437,0.477127620993664,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","SoG","Surf Scoter","species","positive_count","active_near","log_expected_positive_numeric_count",0.536771296529535,0.0603800139448665,0.418426469197597,0.655116123861473,6.73478917262046e-19,8.25011673646007e-18,16632,"completed",0.519928023685637,0.0590904598977998,0.404112850456041,0.635743196915233,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
"M02","SoG","White-winged Scoter","species","positive_count","active_near","log_expected_positive_numeric_count",0.187063994930822,0.109189407108464,-0.0269472430017673,0.401075232863412,0.0867409820877264,0.137106713622535,4706,"completed",0.180901629898507,0.102073315013068,-0.0191583913097177,0.380961651106731,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_priority_a"
