"model_id","region","unit_label","unit_class","outcome","contrast","effect_scale","estimate","standard_error","conf_low","conf_high","p_value","q_value","n","status","partial_pool_estimate_v2","partial_pool_standard_error_v2","partial_pool_conf_low_v2","partial_pool_conf_high_v2","pooling_reason_code_v2","analysis_role"
"M01","SoG","alcid_piscivore","guild","detection","active_near","log_odds",-0.218486692643875,0.0577487595254672,-0.331674261313791,-0.105299123973959,0.000154700109409361,0.000176800125039269,217200,"completed",-0.199159843940893,0.056585272162533,-0.310064939434855,-0.0882547484469317,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_core"
"M01","SoG","falsification","guild","detection","active_near","log_odds",0.419808807994757,0.0405357296577674,0.340358777865532,0.499258838123981,3.90956062623366e-25,6.25529700197386e-25,217200,"completed",0.416724087221058,0.0401271062533097,0.338076404160759,0.495371770281357,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_core"
"M01","SoG","gull_roe","guild","detection","active_near","log_odds",0.5928154869605,0.0245025708779913,0.544790448039637,0.640840525881363,2.57224182707033e-129,2.05779346165627e-128,217055,"completed",0.590389467446257,0.0244114491128418,0.542543906374655,0.638235028517859,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_core"
"M01","SoG","intertidal_roe_shorebird","guild","detection","active_near","log_odds",-0.0903754942399086,0.0409955749624744,-0.170726821166358,-0.0100241673134588,0.0274879160968532,0.0274879160968532,217200,"completed",-0.0830663765058356,0.0405730319778512,-0.162588057926016,-0.00354469508565532,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_core"
"M01","SoG","piscivore_active_spawn","guild","detection","active_near","log_odds",0.180555520412923,0.0251597463905863,0.131242417487374,0.229868623338472,7.1589335130032e-13,9.54524468400427e-13,217160,"completed",0.181224303180808,0.0250611242485569,0.132105402241553,0.230343204120063,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_core"
"M01","SoG","roe_diving_seaduck","guild","detection","active_near","log_odds",0.48351828591264,0.0253247807956997,0.433881715553069,0.533154856272212,2.9040084564275e-81,1.161603382571e-80,216912,"completed",0.481794373474403,0.0252242129437096,0.432355824566363,0.531232922382442,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_core"
"M01","SoG","shoreline_scavenger","guild","detection","active_near","log_odds",0.34002229947755,0.0324107720322305,0.276497186294379,0.403547412660722,9.49897556759407e-26,1.89979511351881e-25,217200,"completed",0.3390665128391,0.0322007591232723,0.275954184682636,0.402178840995563,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_core"
"M01","SoG","surface_vegetation_roe","guild","detection","active_near","log_odds",0.40236692637664,0.0255002984301209,0.352386341453603,0.452347511299677,4.34625494771994e-56,1.15900131939198e-55,217162,"completed",0.401271347845605,0.0253976335403895,0.351492900813895,0.451049794877315,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_core"
"M01","SoG","alcid_piscivore","guild","positive_count","active_near","log_expected_positive_numeric_count",-0.378785018770327,0.0708931272893493,-0.517735548257452,-0.239834489283202,9.34812090110574e-08,1.24641612014743e-07,9690,"completed",-0.341534448117729,0.0684874043102796,-0.47576729396051,-0.207301602274947,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_core"
"M01","SoG","falsification","guild","positive_count","active_near","log_expected_positive_numeric_count",0.461407766014585,0.0499012662206603,0.363601284222091,0.559214247807079,2.56274011798051e-20,6.83397364794803e-20,18897,"completed",0.451765976069108,0.049040333751012,0.355648688127301,0.547883264010916,"INCLUDED_PRIMARY_REPRESENTATION","confirmatory_registered_core"
