"v1_effect_row_id","pooling_family_id_v2","component_evidence_id","model_id","canonical_model_id","included_in_future_estimator","disposition_reason_code","numeric_input_reason_code"
"v1r_eaf675f24c96965af71538a6","pf2_ad640f92d3d5c42f74654e10","ce2_85380e5f042dd43e677357e6","M12","M02",FALSE,"EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION"
"v1r_eaf85c3d863452f7044e2e7a","pf2_d38e5624e00d6ce338020bda","ce2_a70a1c028402daf58e35b6cf","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_eb05f2172d88355ece0248a6","pf2_e28aa8a93065ca93d76aa9b1","ce2_2590ff696c7ce2ee3ad25407","M11","M02",FALSE,"EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION"
"v1r_eb0cf9827602f4e234e1f961","pf2_8f08065cb779fadd37dc476c","ce2_d1f0375c57b52ceb8c3db27d","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_eb1bae2cc8db4521627ef159","pf2_58ffdfbc0d66c69125176cc1","ce2_b5b123d81f11cebc2fb046cc","M08","M08",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_eb27828e83f5b66193203e32","pf2_61a0e68c3d7e80dd02817006","ce2_c6f3532879a66baa1be8629d","M08","M08",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_eb2a64946cf306132de5a601","pf2_b3e031366dd65e8f4df143af","ce2_db512149313f4d291ed278e0","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_eb42ca41557809d6479ee56c","pf2_dae62993b0f12a56526d8e0f","ce2_37f97a400cc889e30d0ec41e","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_eb45ffc69439114477ac549f","pf2_014e32cc75613e964bccf940","ce2_05aa881e7fb6a84273a5b7dd","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_eb659c380590a95e6adc48ca","pf2_8f08065cb779fadd37dc476c","ce2_8a293f16d704cdc9f2f9a111","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_eb6f28501292ab7ec5dd8861","pf2_74bfe919efb974feb8c48923","ce2_15098d64fb1de2366fae0830","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_eb7166fa5986946f4a92213b","pf2_dae62993b0f12a56526d8e0f","ce2_a23f86a26d3ecd6628d11fb5","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_eb8355f6039c838152fdb915","pf2_69d6fbb2f9a85b6402fe3d96","ce2_6c08fcd3f85340ed3dfb2076","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_eb93a94fb5885766da321408","pf2_91a7602799863c6b7e560c5a","ce2_0a4eecadd6968a662d574829","M11","M02",FALSE,"EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION"
"v1r_eb998af03fb39c6c1760506b","pf2_c415098f6f092326d86b4aa9","ce2_77d544ac095359c98ef56efa","M12","M02",FALSE,"EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION"
"v1r_eba8a9d8e01b56e51f7d7441","pf2_e28aa8a93065ca93d76aa9b1","ce2_78a3ce2217bf4f36e1e01776","M11","M02",FALSE,"EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION","EXCLUDED_DUPLICATE_COMPONENT_REPRESENTATION"
"v1r_ebaa71c209f4b5bfb4751793","pf2_8f08065cb779fadd37dc476c","ce2_76ce972ef5d190199ebee269","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ebab46a588d4d4b72e919127","pf2_748f22e81726d183a50e8679","ce2_b12a7d74852ee4a42755b952","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ebba664fae8ce6dd0f62a6ec","pf2_86ea7f60d851e93adaa5463a","ce2_0db3cb5dae1ec00759511dfe","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ebdb29c9e6458dbdf065964c","pf2_8f08065cb779fadd37dc476c","ce2_e204a9b01770dca112ab6dcc","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ebe016f069286e6fe9f94a8e","pf2_b1169eb051ee8f774a8b120a","ce2_f01cb330ee19ba46979dd630","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ebe05f364e2294a0c0a72dee","pf2_83de5c75cd8e3eed9c391625","ce2_ef408313a56c51aad7f49d76","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ebe927f2c40d3ec736c284e1","pf2_09fa5f08ca9b9221d529eeb6","ce2_cbf4e28e90bd5b041a7e278d","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ebf388e76f6cc2e0fa644192","pf2_440ab72a650d04c21f6d8931","ce2_a06d4b68b9fd91ea722bd34d","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec0ad6035452675922ecf06c","pf2_83de5c75cd8e3eed9c391625","ce2_ba28c46f99f1330aa076c7d1","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec0ffb1816081789939a9773","pf2_592ea580069a21d903484077","ce2_257790a8c62a5b9296c8e8f5","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec213949a0a214574f3560f4","pf2_e2b001e4dc833b785d92a998","ce2_559fe0d18a56e2ccfc65d607","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec25a63995585ab5d5acb08b","pf2_2f067f150944351215dcccee","ce2_1e26b849a759ae39df2cd540","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec26c1918f3683c74dfccbde","pf2_e2b001e4dc833b785d92a998","ce2_bda94af6110d296a2c58e8d7","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec2d7ba4af4419be0ef36da4","pf2_dae62993b0f12a56526d8e0f","ce2_9539d0b1db3db4376016aec7","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec3d7934698f19be80af1504","pf2_60e186458b114306b9897a8d","ce2_0ef235d5c2d87229acad025f","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec6bf3be61f1840d1f47e939","pf2_0bdfe4f2895698685dec17c5","ce2_5e6a62376d68f2fbed044606","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec76e9a5c9ae5be8abd37316","pf2_e91dd4cce53a51fc4da933ae","ce2_b994546b79da3d018c1f3591","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec79f410261e3525ba4bd8eb","pf2_4b64abd9ea661f9fc035b3c0","ce2_c7dc6f997e5912c3343190da","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec7a79ff081f85daa5f7b85a","pf2_78405cc1c62824e523c93fbf","ce2_a79852e7a7d64989ddc02108","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec8cf055b227122f14c52c4e","pf2_ccfcd821294d4a4907199d60","ce2_ccf331800f748500dc15d694","M02","M02",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
"v1r_ec9260722e8489bfdb3cc2d0","pf2_f895c6e22b514b1ae38f7025","ce2_781f9c127ddb3493f8e97de3","M05","M05",TRUE,"INCLUDED_PRIMARY_REPRESENTATION","INCLUDED_PRIMARY_REPRESENTATION"
